"cond","needs","nfc","age","gender","relation_type","rel_val","expect"
2,6.75,4.26666666666667,23,"Woman","Casually Dating",3.6,4
1,3.625,5.2,18,"Man","Friendship",4.2,4
2,4.125,4.86666666666667,24,"Man","Friendship",5,2
1,1,4.13333333333333,24,"Woman","Friendship",4.6,5
3,3.375,5.06666666666667,29,"Woman","Casually Dating",2.8,1
3,3.125,6.26666666666667,21,"Woman","Friendship",5.8,7
2,5.25,5.33333333333333,26,"Woman","Friendship",4.2,5
1,1.25,4.06666666666667,23,"Woman","Romantic Relationship",6.4,5
2,6.375,3.66666666666667,29,"Man","Friendship",5.2,4
2,6.875,5.06666666666667,24,"Other","Friendship",6.4,5
1,2.5,4.86666666666667,28,"Man","Friendship",4,2
3,2.125,6.13333333333333,27,"Man","Friendship",3.8,7
2,4.875,4.53333333333333,26,"Man","Romantic Relationship",4.4,3
1,2.625,3.73333333333333,22,"Woman","Romantic Relationship",2.2,6
3,2.375,4.93333333333333,25,"Man","Romantic Relationship",4.4,6
2,6,3.13333333333333,27,"Man","Friendship",5.6,5
1,1.375,1.8,29,"Man","Casually Dating",3.6,7
3,3,4.2,28,"Man","Romantic Relationship",6.4,3
1,3.875,4.2,21,"Other","Romantic Relationship",5,7
2,5.5,6.06666666666667,19,"Man","Romantic Relationship",7,5
2,5.875,4.26666666666667,26,"Woman","Friendship",6.2,4
3,2,3.73333333333333,28,"Woman","Romantic Relationship",7,6
1,1.625,3.86666666666667,27,"Man","Casually Dating",3,6
2,6.5,3.46666666666667,26,"Man","Romantic Relationship",7,6
3,3.5,4.06666666666667,21,"Man","Casually Dating",7,2
1,2.75,4.6,21,"Woman","Friendship",5.4,6
1,1.75,4.06666666666667,26,"Man","Friendship",5.8,7
3,3.75,5.4,25,"Woman","Friendship",4.6,7
2,6.125,4.06666666666667,27,"Man","Casually Dating",6.4,4
2,6.125,3.66666666666667,21,"Man","Casually Dating",6,3
1,2.875,2.6,22,"Man","Friendship",5,7
3,2,5.06666666666667,27,"Woman","Friendship",5.8,6
3,2.875,3.86666666666667,23,"Man","Romantic Relationship",6.2,7
2,5.75,3.06666666666667,28,"Woman","Friendship",5.8,2
3,2.125,4.73333333333333,28,"Woman","Romantic Relationship",6.6,4
1,2.125,3.33333333333333,19,"Woman","Casually Dating",6.2,6
3,1.375,6.26666666666667,20,"Woman","Friendship",6.4,7
1,1.375,5.26666666666667,19,"Woman","Casually Dating",5.4,6
2,6.75,6.2,29,"Woman","Friendship",3.6,7
3,2.625,3.8,21,"Woman","Friendship",6,7
3,1,4,26,"Man","Romantic Relationship",7,7
3,1.5,6.46666666666667,29,"Woman","Friendship",5.6,6
3,2.125,6.26666666666667,20,"Woman","Friendship",5.6,4
1,4,5.53333333333333,27,"Man","Romantic Relationship",7,7
2,6.25,4.86666666666667,28,"Woman","Friendship",7,7
2,6.375,6,25,"Man","Friendship",7,6
3,2.75,4.13333333333333,25,"Man","Romantic Relationship",7,4
2,5.5,4.66666666666667,22,"Man","Casually Dating",4,2
1,2.25,5.06666666666667,26,"Man","Casually Dating",4.4,6
2,5.75,6.53333333333333,23,"Man","Casually Dating",6.8,2
3,2.875,3.53333333333333,29,"Man","Casually Dating",5.6,3
1,3.125,5.13333333333333,19,"Woman","Casually Dating",2.8,7
1,2.75,4.4,25,"Woman","Casually Dating",4.2,6
1,2.875,4.93333333333333,26,"Man","Friendship",3.8,4
3,1.125,4.46666666666667,27,"Man","Romantic Relationship",6.8,4
3,3,5.93333333333333,28,"Woman","Friendship",1.6,7
3,3.5,4.4,25,"Woman","Friendship",4.4,3
2,6.375,4.93333333333333,29,"Other","Romantic Relationship",7,3
2,5.5,5,28,"Man","Friendship",6,3
1,1.25,4.6,26,"Woman","Casually Dating",3.6,7
3,2.125,4.46666666666667,25,"Man","Friendship",4,6
2,5.875,5.66666666666667,28,"Man","Friendship",2.6,3
3,1.5,5.53333333333333,27,"Woman","Friendship",4.2,6
1,2,6.06666666666667,29,"Woman","Casually Dating",4.2,5
3,2.75,5.53333333333333,18,"Woman","Casually Dating",6.2,3
1,4.375,2.8,24,"Woman","Friendship",6.2,6
2,6.625,6.73333333333333,25,"Man","Friendship",7,1
2,6.125,4.33333333333333,21,"Man","Friendship",5.2,4
3,3.5,4.13333333333333,24,"Man","Romantic Relationship",6.4,6
