"condition","bonding","pain","unpleasant","positive","negative","threat","challenge","groupsize","age","gender"
"Control",3.42857142857143,1,1,2.4,1,1,2.33333333333333,3,20,"Male"
"Control",4.85714285714286,1,1,4,1.6,1.5,4.16666666666667,3,25,"Female"
"Control",1.71428571428571,1,1,2.2,1.6,1,2,3,22,"Male"
"Control",1.71428571428571,2,2,4.1,1,1.16666666666667,3,5,23,"Male"
"Control",3.85714285714286,3,4,4.3,2.4,2.5,4.83333333333333,5,26,"Male"
"Control",3.14285714285714,3,3,2.3,1,1,1.83333333333333,5,26,"Female"
"Control",4.14285714285714,1,1,2.6,1.1,1,2.33333333333333,5,23,"Female"
"Control",3.14285714285714,1,1,3,1.1,1,1.5,4,20,"Female"
"Control",4.42857142857143,2,2,2.6,1.3,1,2,4,24,"Female"
"Control",3.71428571428571,2,1,3.2,1.7,1,2.33333333333333,4,21,"Female"
"Control",3,1,1,1.6,1,1,1.16666666666667,4,22,"Female"
"Control",3.14285714285714,1,1,2.6,1.1,1.16666666666667,2,2,22,"Female"
"Control",4.14285714285714,1,2,2.1,1.7,1,2.83333333333333,2,20,"Female"
"Control",4.28571428571429,2,6,3.1,1.9,1.16666666666667,2.83333333333333,3,22,"Female"
"Control",2.42857142857143,2,2,2,1.1,1.16666666666667,1.66666666666667,3,28,"Female"
"Control",2.71428571428571,2,1,2.4,1.1,1,1.66666666666667,2,24,"Male"
"Control",4.42857142857143,4,3,3.5,1.3,1,3.83333333333333,2,20,"Male"
"Control",3.42857142857143,1,1,2.5,1,1,2.5,2,21,"Female"
"Control",1.28571428571429,1,1,1.1,1,1,1.16666666666667,2,21,"Female"
"Control",1.28571428571429,1,1,2.9,1,1,1.83333333333333,3,21,"Female"
"Control",3,2,1,3.2,1.7,1.16666666666667,2.66666666666667,3,25,"Female"
"Control",3,1,1,3.6,1,1,2.83333333333333,3,23,"Female"
"Control",2.85714285714286,1,2,3.2,1.5,1.16666666666667,3.16666666666667,5,23,"Male"
"Control",2.14285714285714,1,1,2.8,1,1,2.33333333333333,5,18,"Female"
"Control",4.71428571428571,4,3,3.6,1.1,1,2.83333333333333,5,23,"Female"
"Control",1,2,2,1.1,1,1,1.16666666666667,5,22,"Female"
"Control",3.71428571428571,1,1,3.7,1,1,1.33333333333333,5,26,"Female"
"Pain",4.71428571428571,3,3,3.5,1.1,1.16666666666667,3.33333333333333,3,21,"Female"
"Pain",4.85714285714286,3,6,3.5,1.4,1.66666666666667,2.16666666666667,3,23,"Female"
"Pain",4.14285714285714,5,5,3.8,1,1,3.66666666666667,3,24,"Female"
"Pain",1.28571428571429,4,3,2.6,1.3,1,2.33333333333333,2,23,"Male"
"Pain",2.28571428571429,7,7,3.3,1.4,1.5,3.33333333333333,2,21,"Female"
"Pain",4.42857142857143,4,4,4,1,1,2.66666666666667,4,22,"Male"
"Pain",3.57142857142857,6,6,3.4,1.1,1,3.5,4,18,"Female"
"Pain",4.42857142857143,7,8,3.9,1.2,2.16666666666667,3.66666666666667,4,32,"Male"
"Pain",3.57142857142857,7,8,4.4,2.3,2,4.5,4,23,"Male"
"Pain",3.42857142857143,7,5,2.3,1.7,1.5,3.33333333333333,2,22,"Female"
"Pain",4.14285714285714,2,3,4.3,1.1,1,3.5,2,20,"Female"
"Pain",3.85714285714286,7,6,3.8,1,1,2.5,5,22,"Male"
"Pain",4.57142857142857,3,3,3.1,1.1,1,2.66666666666667,5,18,"Male"
"Pain",4.57142857142857,5,6,3.2,1.4,1,2.16666666666667,5,20,"Female"
"Pain",4.28571428571429,7,6,3,1.1,1,2.5,5,19,"Female"
"Pain",1.42857142857143,9,10,2.2,2.7,1.5,2.16666666666667,5,21,"Female"
"Pain",4.28571428571429,7,6,1.7,1,1,1.33333333333333,4,20,"Female"
"Pain",3.57142857142857,6,4,2.6,1,1.5,2,4,21,"Female"
"Pain",3.57142857142857,6,7,1.7,1.1,1,2.33333333333333,4,21,"Female"
"Pain",3.42857142857143,7,9,4.2,1.7,1.83333333333333,4.5,4,19,"Male"
"Pain",2.28571428571429,10,9,1.8,1.2,3.5,2,2,23,"Female"
"Pain",4,6,6,2.7,1.2,1,2.66666666666667,2,21,"Female"
"Pain",4.42857142857143,8,7,2.9,1.8,2.16666666666667,2.16666666666667,2,22,"Female"
"Pain",4.71428571428571,5,6,2.3,1,1,2.33333333333333,2,21,"Male"
"Pain",4.71428571428571,8,7,2.2,2.2,1,1.16666666666667,5,23,"Male"
"Pain",2.14285714285714,6,4,3.7,1,1.16666666666667,2.33333333333333,5,25,"Female"
"Pain",3.57142857142857,9,8,2.2,1,1,1.33333333333333,5,23,"Female"
