"id","writer","cond","partner_time","task_time","room_time"
"1",TRUE,"video",84.626,193.868,20.026
"1",FALSE,"video",122.026,144.806,33.15
"2",TRUE,"video",86.122,125.63,88.74
"2",FALSE,"video",89.828,116.518,93.5
"3",FALSE,"f2f",1.632,255.816,41.48
"4",FALSE,"video",118.694,160.956,17.578
"4",TRUE,"video",24.684,245.446,21.828
"5",TRUE,"video",43.35,253.266,3.91
"5",FALSE,"video",143.276,145.01,8.976
"6",FALSE,"f2f",15.606,240.584,40.63
"6",TRUE,"f2f",42.908,202.912,51.85
"7",FALSE,"f2f",185.64,84.728,24.922
"7",TRUE,"f2f",69.428,120.19,103.156
"8",FALSE,"video",31.586,207.502,59.67
"8",TRUE,"video",105.672,182.58,6.018
"9",FALSE,"video",22.236,83.062,192.848
"9",TRUE,"video",36.686,246.228,11.458
"10",FALSE,"f2f",75.514,182.036,40.834
"10",TRUE,"f2f",120.054,135.932,40.766
"11",FALSE,"video",42.194,171.632,83.334
"12",FALSE,"video",53.21,193.528,49.334
"12",TRUE,"video",106.216,175.712,13.6
"13",FALSE,"f2f",55.454,126.072,117.436
"13",TRUE,"f2f",48.756,191.454,52.802
"14",TRUE,"video",114.342,160.718,23.12
"14",FALSE,"video",137.258,103.462,58.684
"15",FALSE,"video",133.722,151.674,15.164
"15",TRUE,"video",54.196,238.34,4.25
"16",TRUE,"f2f",10.302,184.348,100.742
"16",FALSE,"f2f",60.826,190.434,49.266
"17",FALSE,"f2f",135.796,128.18,29.716
"18",FALSE,"video",145.044,117.436,38.046
"18",TRUE,"video",53.346,234.328,7.276
"19",TRUE,"f2f",24.616,254.422,19.244
"19",FALSE,"f2f",54.842,146.744,98.634
"20",FALSE,"video",25.908,269.926,3.128
"20",TRUE,"video",68.102,230.112,0.748
"21",FALSE,"video",90.066,121.958,87.414
"21",TRUE,"video",33.728,175.644,87.516
"22",FALSE,"f2f",9.86,177.344,111.112
"22",TRUE,"f2f",18.156,193.154,87.074
"23",FALSE,"f2f",30.872,180.982,85.51
"23",TRUE,"f2f",16.524,212.262,70.108
"24",TRUE,"video",12.002,262.106,25.092
"24",FALSE,"video",28.118,253.946,15.266
"25",TRUE,"video",41.446,228.922,26.758
"25",FALSE,"video",121.176,160.072,20.57
"26",FALSE,"f2f",35.36,189.278,74.698
"26",TRUE,"f2f",3.978,268.566,21.624
"27",TRUE,"f2f",12.648,240.04,43.248
"27",FALSE,"f2f",21.522,194.854,81.362
"28",TRUE,"video",37.706,189.652,71.91
"28",FALSE,"video",287.062,1.156,11.05
"29",TRUE,"video",83.232,198.628,16.592
"29",FALSE,"video",251.634,27.948,22.236
"30",TRUE,"f2f",4.896,278.358,14.178
"31",FALSE,"video",165.682,108.63,25.772
"31",TRUE,"video",19.652,170.578,103.564
"32",TRUE,"f2f",3.06,247.826,48.416
"32",FALSE,"f2f",39.542,191.08,71.026
"33",FALSE,"video",22.644,232.73,46.274
"33",TRUE,"video",93.364,190.672,15.538
"34",TRUE,"f2f",112.2,112.982,74.698
"35",FALSE,"video",100.368,184.926,13.906
"35",TRUE,"video",26.758,259.318,10.098
"36",FALSE,"video",44.812,251.906,1.19
"36",TRUE,"video",9.52,207.468,79.084
"37",TRUE,"f2f",8.84,197.608,90.066
"38",TRUE,"video",29.036,247.112,19.278
"38",FALSE,"video",26.35,270.708,3.128
"39",FALSE,"video",189.958,108.46,2.346
"39",TRUE,"video",22.406,258.842,16.286
"40",FALSE,"f2f",16.762,237.49,46.274
"40",TRUE,"f2f",2.72,236.368,58.922
"41",FALSE,"f2f",40.392,103.02,157.556
"42",TRUE,"video",42.636,201.722,52.326
"42",FALSE,"video",115.838,156.06,24.446
"43",TRUE,"video",49.368,237.218,9.52
"43",FALSE,"video",129.132,109.514,62.322
"44",TRUE,"f2f",56.372,239.088,3.502
"44",FALSE,"f2f",15.47,242.454,43.826
"45",FALSE,"f2f",217.158,75.004,8.874
"45",TRUE,"f2f",70.04,109.208,120.054
"46",TRUE,"video",211.616,59.398,28.016
"46",FALSE,"video",173.74,108.154,17.374
"47",TRUE,"video",83.912,160.208,52.598
"47",FALSE,"video",51.578,226.304,21.828
"48",TRUE,"f2f",35.904,218.212,41.752
"49",FALSE,"f2f",77.792,158.882,63.274
"49",TRUE,"f2f",36.652,183.226,73.814
"50",TRUE,"video",127.806,165.75,7.072
"50",FALSE,"video",145.792,148.75,6.426
"51",FALSE,"video",157.692,132.226,11.016
"51",TRUE,"video",47.634,217.328,34.68
"52",FALSE,"f2f",19.72,192.338,89.284
"52",TRUE,"f2f",14.212,194.922,90.678
"53",TRUE,"f2f",26.656,253.946,20.434
"54",FALSE,"video",152.218,142.188,7.038
"54",TRUE,"video",37.706,244.154,18.292
"55",TRUE,"video",51.204,232.628,14.824
"55",FALSE,"video",52.802,233.614,14.79
"56",FALSE,"f2f",28.73,160.582,110.976
"56",TRUE,"f2f",42.84,223.924,29.682
"57",TRUE,"f2f",28.016,240.89,31.11
"57",FALSE,"f2f",48.518,214.642,37.468
"58",FALSE,"video",121.108,152.728,27.03
"58",TRUE,"video",24.038,220.592,53.04
"59",TRUE,"video",96.56,158.066,44.268
"59",FALSE,"video",193.154,69.666,38.386
"60",TRUE,"f2f",8.364,267.648,20.638
"60",FALSE,"f2f",157.046,106.624,36.992
"61",TRUE,"f2f",9.214,281.792,7.582
"61",FALSE,"f2f",90.814,160.956,49.538
"62",TRUE,"video",58.14,183.158,58.65
"63",FALSE,"video",255.85,6.46,38.624
"64",FALSE,"f2f",163.336,111.962,26.316
"64",TRUE,"f2f",84.32,189.414,26.554
"65",FALSE,"f2f",233.682,60.894,7.004
"65",TRUE,"f2f",43.35,223.958,32.436
"66",TRUE,"video",59.296,233.512,6.052
"66",FALSE,"video",110.228,105.434,85.476
"67",TRUE,"video",23.902,267.172,7.82
"67",FALSE,"video",83.13,192.678,25.67
"68",TRUE,"f2f",87.448,195.84,16.082
"68",FALSE,"f2f",16.796,252.824,31.382
"69",FALSE,"video",110.602,189.448,0.34
"69",TRUE,"video",167.62,116.382,16.626
"70",TRUE,"video",22.27,266.492,8.228
"70",FALSE,"video",118.456,171.292,11.356
"71",FALSE,"f2f",114.308,63.478,124.61
"71",TRUE,"f2f",55.046,153.578,89.624
"72",FALSE,"f2f",46.682,253.436,1.564
"72",TRUE,"f2f",42.806,225.352,30.328
"73",FALSE,"video",191.352,86.938,23.12
"73",TRUE,"video",81.328,207.604,10.132
"74",TRUE,"video",79.764,185.062,33.048
"74",FALSE,"video",89.148,199.206,12.444
"75",FALSE,"f2f",68.578,205.088,27.608
"75",TRUE,"f2f",20.638,213.554,65.518
"76",FALSE,"video",76.976,216.24,7.922
"76",TRUE,"video",98.192,135.762,65.62
"77",FALSE,"f2f",69.598,159.528,72.114
"77",TRUE,"f2f",23.29,154.36,121.72
"78",TRUE,"video",74.562,210.97,13.362
"79",TRUE,"f2f",6.426,265.982,26.724
"79",FALSE,"f2f",41.65,146.03,113.356
"80",FALSE,"f2f",64.532,233.478,3.706
"80",TRUE,"f2f",6.426,257.89,35.53
"81",TRUE,"video",126.174,137.734,35.292
"81",FALSE,"video",30.6,179.928,91.358
"82",TRUE,"video",26.758,272.442,1.122
"83",TRUE,"f2f",23.97,195.636,78.846
"83",FALSE,"f2f",9.112,245.99,45.764
"84",TRUE,"f2f",1.836,282.37,16.49
"84",FALSE,"f2f",100.606,112.03,86.564
"85",FALSE,"video",195.908,81.192,24.582
"85",TRUE,"video",154.904,120.53,24.65
"86",FALSE,"video",123.454,79.832,97.784
"86",TRUE,"video",23.46,234.362,42.568
"87",FALSE,"f2f",59.16,180.2,62.186
"87",TRUE,"f2f",28.866,224.23,47.532
"88",TRUE,"video",55.658,234.226,11.39
"88",FALSE,"video",47.872,209.27,44.608
"89",TRUE,"f2f",31.722,225.182,42.67
"89",FALSE,"f2f",158.134,39.848,103.258
"90",FALSE,"f2f",146.574,52.768,102.714
"90",TRUE,"f2f",27.574,242.794,29.308
"91",TRUE,"video",126.344,160.038,13.362
"91",FALSE,"video",154.53,142.086,4.556
"92",TRUE,"f2f",40.052,201.416,58.922
"93",TRUE,"video",100.98,189.006,10.438
"93",FALSE,"video",165.716,68.782,66.606
"94",FALSE,"f2f",71.944,126.752,102.816
"94",TRUE,"f2f",10.88,220.354,68.884
"95",TRUE,"video",94.826,113.356,92.514
"95",FALSE,"video",129.642,101.354,69.666
"96",TRUE,"f2f",9.554,173.91,116.586
"96",FALSE,"f2f",93.602,104.618,102.612
"97",FALSE,"f2f",179.452,109.14,13.192
"97",TRUE,"f2f",141.78,148.07,10.846
"98",FALSE,"video",111.35,172.754,17.544
"98",TRUE,"video",93.33,155.21,50.728
"99",TRUE,"video",44.982,248.302,4.794
"99",FALSE,"video",116.654,151.504,33.796
"100",TRUE,"f2f",29.784,182.478,86.428
"101",TRUE,"f2f",31.008,214.744,54.604
"101",FALSE,"f2f",5.576,144.738,151.028
"102",TRUE,"video",26.146,262.684,10.234
"102",FALSE,"video",130.662,167.892,2.992
"103",FALSE,"video",137.02,142.324,22.916
"103",TRUE,"video",68.476,208.794,23.222
"104",TRUE,"f2f",6.834,213.078,79.356
"105",TRUE,"video",29.172,180.064,90.406
"105",FALSE,"video",163.404,39.576,99.484
"106",TRUE,"video",52.054,217.634,30.328
"106",FALSE,"video",62.764,225.012,14.518
"107",FALSE,"f2f",14.45,144.908,142.528
"107",TRUE,"f2f",35.496,195.704,68.85
"108",FALSE,"video",44.948,146.098,109.888
"108",TRUE,"video",5.338,266.084,29.036
"109",FALSE,"video",118.048,183.226,0.544
"110",FALSE,"f2f",36.584,9.656,254.15
"110",TRUE,"f2f",72.386,171.36,56.95
"111",TRUE,"f2f",25.364,214.166,59.024
"111",FALSE,"f2f",106.998,190.332,3.672
"112",TRUE,"video",117.47,165.376,18.156
"112",FALSE,"video",137.19,75.344,81.94
"113",TRUE,"f2f",5.032,277.032,17.306
"113",FALSE,"f2f",168.878,99.212,33.796
"114",TRUE,"video",30.396,258.196,9.826
"114",FALSE,"video",131.342,105.23,64.022
"115",TRUE,"video",90.032,209.202,1.02
"115",FALSE,"video",225.216,68.884,7.65
"116",FALSE,"f2f",94.758,168.198,37.876
"116",TRUE,"f2f",24.004,208.42,68.204
"117",TRUE,"video",81.158,205.972,12.682
"117",FALSE,"video",197.778,94.928,2.72
"118",TRUE,"f2f",44.914,182.274,72.114
"118",FALSE,"f2f",8.806,268.43,19.822
"119",TRUE,"video",36.346,230.656,30.668
"119",FALSE,"video",95.132,204.612,1.904
"120",TRUE,"video",86.564,213.52,0.17
