"cond","nidea","ncreative","select_creative","top_creative","avg_creative","study"
"video",12,6,5,5,4.25,"1"
"f2f",18,13,5,5.25,4.416666667,"1"
"video",22,10,5.25,5.25,4.215909091,"1"
"f2f",21,6,3,5.25,4.071428571,"1"
"video",14,8,4.5,5.5,4.446428571,"1"
"f2f",24,14,5.5,5.5,4.458333333,"1"
"video",12,6,4.25,5,4.270833333,"1"
"f2f",15,7,4.75,5,4.2,"1"
"video",20,10,5,6,4.375,"1"
"f2f",31,11,3.75,5.75,4.225806452,"1"
"video",14,5,5.25,5.5,4.25,"1"
"f2f",14,5,5.5,5.5,4.267857143,"1"
"video",15,7,4.75,5,4.35,"1"
"f2f",18,8,4.75,5.5,4.291666667,"1"
"video",14,8,5.25,5.25,4.517857143,"1"
"f2f",12,5,3.5,5,4.166666667,"1"
"video",12,6,5.25,5.5,4.3125,"1"
"f2f",13,5,NA,5.75,4.346153846,"1"
"video",21,7,5.5,5.5,4.119047619,"1"
"f2f",16,8,5,5.5,4.3125,"1"
"video",11,5,5.25,5.25,4.431818182,"1"
"f2f",14,7,4,5.25,4.303571429,"1"
"video",13,10,5.5,6,4.75,"1"
"f2f",12,9,4.75,5.5,4.645833333,"1"
"video",15,6,5,5,4.1,"1"
"f2f",17,4,NA,5,4,"1"
"video",13,4,5.75,5.75,4.25,"1"
"f2f",11,4,5.25,5.25,4.204545455,"1"
"video",27,16,4.75,5.25,4.416666667,"1"
"f2f",11,4,4.75,5.25,4.136363636,"1"
"video",13,2,4.25,5.5,3.961538462,"1"
"f2f",7,3,4.25,6,4.535714286,"1"
"video",6,1,3.5,4.75,4.166666667,"1"
"f2f",24,10,4,6,4.260416667,"1"
"video",20,6,NA,6,4.125,"1"
"f2f",19,7,5,5,4.078947368,"1"
"video",11,4,5,5.5,4.159090909,"1"
"f2f",13,7,4.5,5.25,4.384615385,"1"
"video",16,9,3.75,6,4.453125,"1"
"f2f",12,6,5.25,5.5,4.395833333,"1"
"video",21,11,4.75,5.25,4.357142857,"1"
"f2f",20,9,4.25,6,4.275,"1"
"video",16,8,4.75,6.25,4.4375,"1"
"f2f",17,6,3.5,5,4.161764706,"1"
"video",17,8,5.5,5.5,4.382352941,"1"
"f2f",22,9,6,6,4.318181818,"1"
"video",29,10,4,5.75,4.181034483,"1"
"f2f",16,7,4.75,5.25,4.296875,"1"
"video",15,8,5,5.75,4.5,"1"
"f2f",21,10,4.25,5.5,4.261904762,"1"
"video",15,5,4.75,6,4.25,"1"
"f2f",21,13,5.75,5.75,4.547619048,"1"
"video",10,6,4.5,5,4.25,"1"
"f2f",10,4,4,5.25,4.3,"1"
"video",12,5,5.25,5.5,4.395833333,"1"
"f2f",23,14,4.5,5.25,4.456521739,"1"
"video",11,6,2.75,5.5,4.431818182,"1"
"f2f",10,6,4.75,5.5,4.45,"1"
"video",21,8,4,5.5,4.166666667,"1"
"f2f",12,6,4.75,5.5,4.333333333,"1"
"video",12,4,NA,5.75,4.020833333,"1"
"f2f",20,5,3.75,5,3.975,"1"
"video",16,6,4.75,5.5,4.1875,"1"
"f2f",21,9,NA,5.5,4.214285714,"1"
"video",9,2,3.75,5.25,4.083333333,"1"
"f2f",13,7,5,5.5,4.442307692,"1"
"video",1,1,NA,4.75,4.75,"1"
"f2f",13,7,NA,4.75,4.269230769,"1"
"video",13,6,4.5,5.25,4.173076923,"1"
"f2f",11,8,5.25,5.5,4.545454545,"1"
"video",10,3,4.5,5,3.95,"1"
"f2f",13,5,3,5.25,4.211538462,"1"
"video",11,5,5.25,5.5,4.431818182,"1"
"f2f",13,6,3,5,4.173076923,"1"
"video",8,1,NA,4.75,3.8125,"1"
"f2f",17,6,3.75,5.5,4.205882353,"1"
"video",6,2,5,5,4.291666667,"1"
"f2f",23,11,4.75,5.5,4.369565217,"1"
"video",13,6,5,5.5,4.230769231,"1"
"f2f",28,14,5,5.25,4.294642857,"1"
"video",7,4,4.5,5,4.285714286,"1"
"f2f",23,10,4,5.5,4.239130435,"1"
"video",24,10,5.25,5.75,4.302083333,"1"
"f2f",15,6,3,5.5,4.133333333,"1"
"video",9,3,4.25,5,4.333333333,"1"
"f2f",10,4,5.25,5.25,4.175,"1"
"video",23,12,4.75,5.5,4.434782609,"1"
"f2f",14,6,5,5.5,4.375,"1"
"video",20,8,4.75,5.25,4.1,"1"
"f2f",23,5,3.75,5.25,4.119565217,"1"
"video",11,5,4.5,5.25,4.295454545,"1"
"f2f",22,8,3.75,5.75,4.375,"1"
"video",20,13,5,5,4.375,"1"
"f2f",20,9,4.75,5.5,4.225,"1"
"video",10,5,3.75,5.75,4.6,"1"
"f2f",12,8,4.5,5.5,4.479166667,"1"
"video",7,4,5,5.25,4.392857143,"1"
"f2f",8,2,2.75,5,3.90625,"1"
"video",13,5,3.25,5,4.057692308,"1"
"f2f",16,8,4.75,5.75,4.40625,"1"
"video",5,2,5.25,5.25,4.4,"1"
"f2f",9,3,4.25,6,4.166666667,"1"
"video",13,4,5.5,5.5,4,"1"
"f2f",22,8,5.5,5.5,4.227272727,"1"
"video",11,4,3.75,5.25,4.090909091,"1"
"f2f",14,10,4.5,5.75,4.785714286,"1"
"video",23,12,4.75,5.5,4.380434783,"1"
"f2f",13,7,4.25,5.25,4.269230769,"1"
"video",17,7,5.25,5.25,4.279411765,"1"
"f2f",26,13,5,5.25,4.211538462,"1"
"video",10,7,5.5,5.5,4.575,"1"
"f2f",9,4,5.25,5.25,4.361111111,"1"
"video",4,1,5.25,5.25,4.25,"1"
"f2f",7,4,4.5,5.25,4.392857143,"1"
"video",6,2,5.25,5.25,4.333333333,"1"
"f2f",22,9,4.5,5.25,4.079545455,"1"
"video",10,6,4.75,5.25,4.5,"1"
"f2f",17,10,5,5.5,4.367647059,"1"
"video",22,6,4,5.75,4.113636364,"1"
"f2f",13,9,5.25,5.5,4.557692308,"1"
"video",10,5,4.75,5.75,4.225,"1"
"f2f",13,8,4.75,5.75,4.384615385,"1"
"video",16,6,3.25,5,4.171875,"1"
"f2f",22,9,4.75,5.5,4.284090909,"1"
"video",12,3,5.25,5.25,3.875,"1"
"f2f",15,10,5,5.5,4.4,"1"
"video",8,4,4,5.5,4.21875,"1"
"f2f",7,3,4.75,5,4.428571429,"1"
"video",7,3,NA,5,4.25,"1"
"f2f",24,12,4.75,6,4.427083333,"1"
"video",23,15,5.25,5.25,4.489130435,"1"
"f2f",9,3,3.75,5.5,4.277777778,"1"
"video",8,4,4.5,5.25,4.34375,"1"
"f2f",20,6,4,5.75,4.125,"1"
"video",14,7,5,5.75,4.392857143,"1"
"f2f",25,10,5,5.5,4.22,"1"
"video",13,5,5.25,5.25,4.25,"1"
"f2f",10,6,3.5,5,4.325,"1"
"video",21,11,4.25,5.5,4.357142857,"1"
"f2f",11,6,5.5,5.75,4.386363636,"1"
"video",21,10,5.25,5.25,4.285714286,"1"
"f2f",12,4,3.5,5,4.0625,"1"
"video",18,9,4.5,5.5,4.402777778,"1"
"f2f",12,5,3.75,5,4.020833333,"1"
"video",15,5,5,5.25,4.2,"1"
"f2f",16,7,4.75,5.25,4.28125,"1"
"video",15,5,4,5.25,4.2,"1"
"f2f",21,10,4.75,5,4.154761905,"1"
"video",9,4,4.5,5.5,4.027777778,"1"
"f2f",13,5,4.75,5.25,4.173076923,"1"
"video",8,3,3.5,5.25,3.59375,"2"
"video",12,6,4.25,4.25,3.5,"2"
"f2f",10,7,4,4.5,3.65,"2"
"f2f",14,5,3.5,4.75,3.464285714,"2"
"video",10,4,4,4.5,3.5,"2"
"video",12,6,4,5,3.708333333,"2"
"f2f",27,8,4.25,4.5,3.25,"2"
"f2f",33,11,3.25,5.5,3.333333333,"2"
"video",20,7,4,4.25,3.1375,"2"
"video",22,7,3.25,5.75,3.488636364,"2"
"f2f",16,9,4,5,3.671875,"2"
"video",46,18,3.75,5,3.25,"2"
"video",14,8,4.75,4.75,3.589285714,"2"
"f2f",14,7,3,5,3.857142857,"2"
"f2f",16,10,4.25,4.5,3.640625,"2"
"video",12,6,3.5,4.75,3.625,"2"
"video",16,8,5,5,3.671875,"2"
"f2f",49,24,3,5.25,3.525510204,"2"
"f2f",13,7,3.5,4.5,3.596153846,"2"
"video",9,5,4.5,5.25,4.027777778,"2"
"f2f",5,4,3.5,5,4.35,"2"
"video",15,6,2.75,5,3.3,"2"
"video",27,12,3.75,4.75,3.453703704,"2"
"f2f",22,13,4.75,5,3.75,"2"
"f2f",28,16,3,4.75,3.580357143,"2"
"video",26,12,4.25,4.5,3.519230769,"2"
"video",13,6,4,4.5,3.673076923,"2"
"f2f",17,9,4.25,4.25,3.529411765,"2"
"f2f",15,4,4,4,3.15,"2"
"video",17,11,4.5,4.5,3.691176471,"2"
"video",13,7,2.5,4.5,3.576923077,"2"
"f2f",21,10,4.25,5,3.583333333,"2"
"video",18,6,3,4,3.319444444,"2"
"f2f",21,15,3,5.25,3.952380952,"2"
"video",9,4,4,4.75,3.722222222,"2"
"f2f",10,6,3,4.5,3.7,"2"
"video",16,8,4.5,4.5,3.703125,"2"
"video",14,5,4,4.75,3.428571429,"2"
"f2f",19,6,3.5,5,3.381578947,"2"
"video",16,5,3,4.75,3.375,"2"
"video",17,8,2.75,5.25,3.514705882,"2"
"f2f",6,4,4,4,3.583333333,"2"
"f2f",16,9,4.5,4.75,3.765625,"2"
"video",19,6,5.25,5.25,3.342105263,"2"
"video",20,11,4.5,5,3.625,"2"
"f2f",22,8,3.25,4.75,3.409090909,"2"
"f2f",12,8,4.75,4.75,3.541666667,"2"
"video",17,8,3.5,4.5,3.470588235,"2"
"video",9,4,5,5,3.305555556,"2"
"f2f",33,11,2.75,4.75,3.371212121,"2"
"f2f",12,4,3,4.75,3.416666667,"2"
"video",15,8,3.5,4.75,3.716666667,"2"
"video",16,8,5.25,5.25,3.765625,"2"
"f2f",10,6,3.75,4.5,3.4,"2"
"f2f",21,7,3.25,4.25,3.238095238,"2"
"video",17,9,3.5,4.5,3.602941176,"2"
"video",10,3,4,5,3.25,"2"
"f2f",41,14,4.5,4.5,3.420731707,"2"
"f2f",23,9,3,4.75,3.456521739,"2"
"video",17,6,3.5,4.75,3.382352941,"2"
"video",16,3,3,4.25,3.21875,"2"
"f2f",19,10,4.5,5,3.644736842,"2"
"f2f",40,13,3.75,4.5,3.40625,"2"
"video",26,10,4.5,4.5,3.336538462,"2"
