"id","gender","age","color","pcorr"
1,"female",21,"col",0.69
1,"female",21,"mix",0.69
1,"female",21,"mon",0.94
2,"female",27,"col",0.81
2,"female",27,"mix",0.81
2,"female",27,"mon",0.94
3,"female",26,"col",0.69
3,"female",26,"mix",0.63
3,"female",26,"mon",0.5
4,"female",18,"col",1
4,"female",18,"mix",0.75
4,"female",18,"mon",1
5,"female",19,"col",0.81
5,"female",19,"mix",0.88
5,"female",19,"mon",0.94
6,"female",24,"col",0.81
6,"female",24,"mix",0.63
6,"female",24,"mon",0.63
7,"female",18,"col",0.81
7,"female",18,"mix",0.63
7,"female",18,"mon",0.75
8,"female",18,"col",0.88
8,"female",18,"mix",0.69
8,"female",18,"mon",0.94
9,"female",18,"col",0.94
9,"female",18,"mix",0.88
9,"female",18,"mon",0.81
10,"female",19,"col",0.81
10,"female",19,"mix",0.63
10,"female",19,"mon",0.81
11,"female",26,"col",0.63
11,"female",26,"mix",0.38
11,"female",26,"mon",0.69
12,"female",18,"col",1
12,"female",18,"mix",0.94
12,"female",18,"mon",0.88
13,"female",19,"col",0.88
13,"female",19,"mix",0.88
13,"female",19,"mon",0.88
14,"female",21,"col",0.75
14,"female",21,"mix",0.5
14,"female",21,"mon",0.94
15,"female",21,"col",0.69
15,"female",21,"mix",0.69
15,"female",21,"mon",0.5
16,"female",18,"col",0.88
16,"female",18,"mix",0.81
16,"female",18,"mon",0.88
17,"female",19,"col",0.88
17,"female",19,"mix",0.69
17,"female",19,"mon",0.75
18,"female",19,"col",0.88
18,"female",19,"mix",0.75
18,"female",19,"mon",0.75
19,"male",20,"col",0.88
19,"male",20,"mix",0.88
19,"male",20,"mon",0.94
20,"female",19,"col",0.88
20,"female",19,"mix",0.81
20,"female",19,"mon",0.69
21,"female",19,"col",1
21,"female",19,"mix",1
21,"female",19,"mon",1
22,"female",19,"col",0.88
22,"female",19,"mix",1
22,"female",19,"mon",0.94
23,"female",35,"col",0.94
23,"female",35,"mix",0.63
23,"female",35,"mon",0.81
24,"female",21,"col",0.75
24,"female",21,"mix",0.63
24,"female",21,"mon",0.5
25,"male",21,"col",0.75
25,"male",21,"mix",0.38
25,"male",21,"mon",0.63
26,"male",27,"col",0.63
26,"male",27,"mix",0.38
26,"male",27,"mon",0.5
27,"female",19,"col",0.44
27,"female",19,"mix",0.63
27,"female",19,"mon",0.69
28,"female",19,"col",0.81
28,"female",19,"mix",0.5
28,"female",19,"mon",0.69
29,"female",18,"col",0.88
29,"female",18,"mix",0.81
29,"female",18,"mon",1
30,"male",21,"col",0.44
30,"male",21,"mix",0.25
30,"male",21,"mon",0.44
31,"female",21,"col",0.31
31,"female",21,"mix",0.31
31,"female",21,"mon",0.19
32,"female",19,"col",0.81
32,"female",19,"mix",0.81
32,"female",19,"mon",0.88
33,"female",20,"col",0.69
33,"female",20,"mix",0.69
33,"female",20,"mon",0.88
34,"female",18,"col",0.81
34,"female",18,"mix",0.69
34,"female",18,"mon",0.75
35,"female",18,"col",0.5
35,"female",18,"mix",0.56
35,"female",18,"mon",1
36,"female",18,"col",0.69
36,"female",18,"mix",0.88
36,"female",18,"mon",0.81
37,"female",19,"col",0.81
37,"female",19,"mix",0.5
37,"female",19,"mon",0.75
38,"female",19,"col",0.88
38,"female",19,"mix",0.94
38,"female",19,"mon",0.94
39,"male",23,"col",0.63
39,"male",23,"mix",0.5
39,"male",23,"mon",0.63
40,"female",20,"col",0.69
40,"female",20,"mix",0.75
40,"female",20,"mon",0.75
41,"female",25,"col",0.63
41,"female",25,"mix",0.19
41,"female",25,"mon",0.75
42,"female",20,"col",1
42,"female",20,"mix",0.69
42,"female",20,"mon",0.81
43,"female",19,"col",0.88
43,"female",19,"mix",0.88
43,"female",19,"mon",0.63
44,"female",18,"col",0.69
44,"female",18,"mix",0.56
44,"female",18,"mon",0.88
45,"female",47,"col",0.56
45,"female",47,"mix",0.5
45,"female",47,"mon",0.63
46,"female",19,"col",0.94
46,"female",19,"mix",0.88
46,"female",19,"mon",1
47,"female",20,"col",0.88
47,"female",20,"mix",0.75
47,"female",20,"mon",0.94
48,"female",21,"col",0.88
48,"female",21,"mix",0.88
48,"female",21,"mon",0.94
49,"female",37,"col",0.88
49,"female",37,"mix",0.88
49,"female",37,"mon",0.81
50,"female",19,"col",0.69
50,"female",19,"mix",0.56
50,"female",19,"mon",0.75
51,"male",22,"col",0.81
51,"male",22,"mix",0.63
51,"male",22,"mon",0.75
52,"female",18,"col",0.88
52,"female",18,"mix",0.63
52,"female",18,"mon",0.69
