"id","reltime","task","occurence","eda","hr"
"1",0,"baseline",1,20.60959,88.4956
"1",1,"baseline",1,21.41062,88.31564
"1",2,"baseline",1,22.26244,78.13892
"1",3,"baseline",1,24.221,65.82009
"1",4,"baseline",1,24.23851,65.1329
"1",5,"baseline",1,23.63703,66.83456
"1",6,"baseline",1,23.26847,66.70539
"1",7,"baseline",1,23.04362,69.15847
"1",8,"baseline",1,22.87457,73.5778
"1",9,"baseline",1,22.71512,73.57368
"1",10,"baseline",1,22.55975,71.39382
"1",11,"baseline",1,22.41094,70.26676
"1",12,"baseline",1,22.27228,67.8211
"1",13,"baseline",1,22.12351,68.24422
"1",14,"baseline",1,21.98858,70.01916
"1",15,"baseline",1,21.84729,67.91719
"1",16,"baseline",1,21.7192,70.00294
"1",17,"baseline",1,21.58649,73.81567
"1",18,"baseline",1,21.44657,79.84285
"1",19,"baseline",1,21.37521,78.41889
"1",20,"baseline",1,21.39226,71.33869
"1",21,"baseline",1,21.28763,64.44063
"1",22,"baseline",1,21.15941,64.08132
"1",23,"baseline",1,21.03732,64.61192
"1",24,"baseline",1,20.90983,66.36382
"1",25,"baseline",1,20.79689,71.66708
"1",26,"baseline",1,20.68069,72.18582
"1",27,"baseline",1,20.55382,74.10958
"1",28,"baseline",1,20.42292,75.38863
"1",29,"baseline",1,20.29458,73.05839
"1",30,"baseline",1,20.17722,73.19957
"1",31,"baseline",1,20.04006,73.44054
"1",32,"baseline",1,20.0016,73.46692
"1",33,"baseline",1,19.89912,77.74506
"1",34,"baseline",1,19.76036,76.96821
"1",35,"baseline",1,19.61509,72.14086
"1",36,"baseline",1,19.47821,69.64249
"1",37,"baseline",1,19.32688,70.07915
"1",38,"baseline",1,19.18267,69.74096
"1",39,"baseline",1,19.03909,71.91389
"1",40,"baseline",1,18.90534,74.70337
"1",41,"baseline",1,18.76156,73.1284
"1",42,"baseline",1,18.62394,75.24899
"1",43,"baseline",1,18.47789,72.78878
"1",44,"baseline",1,18.34011,71.5462
"1",45,"baseline",1,18.20123,74.3906
"1",46,"baseline",1,18.06467,74.11097
"1",47,"baseline",1,17.93986,72.59428
"1",48,"baseline",1,17.80873,76.49483
"1",49,"baseline",1,17.67315,72.83319
"1",50,"baseline",1,17.53916,73.25716
"1",51,"baseline",1,17.42099,77.16123
"1",52,"baseline",1,17.29512,78.07889
"1",53,"baseline",1,17.18969,79.31677
"1",54,"baseline",1,17.08089,76.8494
"1",55,"baseline",1,16.95226,73.38587
"1",56,"baseline",1,16.85273,73.65765
"1",57,"baseline",1,16.65192,76.45829
"1",58,"baseline",1,16.81512,76.67366
"1",59,"baseline",1,17.04624,77.49932
"1",60,"baseline",1,18.77687,72.98271
"1",61,"baseline",1,19.02877,71.24367
"1",62,"baseline",1,18.67619,72.24284
"1",63,"baseline",1,18.47396,74.22381
"1",64,"baseline",1,18.38055,80.64497
