"task","nviolation","id"
"phone",8,"6"
"watch",4,"6"
"speaker",10,"6"
"texting",12,"6"
"phone",1,"11"
"watch",5,"11"
"speaker",0,"11"
"texting",7,"11"
"phone",5,"26"
"watch",6,"26"
"speaker",14,"26"
"texting",26,"26"
"phone",2,"21"
"watch",1,"21"
"speaker",9,"21"
"texting",10,"21"
"phone",5,"7"
"watch",4,"7"
"speaker",2,"7"
"texting",6,"7"
"phone",9,"9"
"watch",5,"9"
"speaker",5,"9"
"texting",16,"9"
"phone",16,"2"
"watch",3,"2"
"speaker",3,"2"
"texting",10,"2"
"phone",5,"29"
"watch",2,"29"
"speaker",6,"29"
"texting",10,"29"
"phone",5,"13"
"watch",5,"13"
"speaker",2,"13"
"texting",8,"13"
"phone",7,"8"
"watch",9,"8"
"speaker",11,"8"
"texting",28,"8"
"phone",5,"30"
"watch",4,"30"
"speaker",4,"30"
"texting",13,"30"
"phone",5,"27"
"watch",9,"27"
"speaker",20,"27"
"texting",8,"27"
"phone",6,"5"
"watch",6,"5"
"speaker",6,"5"
"texting",18,"5"
"phone",3,"28"
"watch",4,"28"
"speaker",4,"28"
"texting",2,"28"
"phone",6,"16"
"watch",3,"16"
"speaker",11,"16"
"texting",4,"16"
"phone",5,"18"
"watch",7,"18"
"speaker",7,"18"
"texting",2,"18"
"phone",5,"12"
"watch",8,"12"
"speaker",6,"12"
"texting",11,"12"
"phone",5,"1"
"watch",2,"1"
"speaker",6,"1"
"texting",9,"1"
"phone",3,"22"
"watch",13,"22"
"speaker",10,"22"
"texting",12,"22"
"phone",16,"20"
"watch",14,"20"
"speaker",7,"20"
"texting",46,"20"
"phone",10,"23"
"watch",8,"23"
"speaker",5,"23"
"texting",10,"23"
"phone",2,"25"
"watch",1,"25"
"speaker",2,"25"
"texting",3,"25"
"phone",3,"14"
"watch",9,"14"
"speaker",5,"14"
"texting",4,"14"
"phone",4,"24"
"watch",6,"24"
"speaker",10,"24"
"texting",7,"24"
"phone",33,"19"
"watch",30,"19"
"speaker",24,"19"
"texting",67,"19"
"phone",12,"3"
"watch",4,"3"
"speaker",9,"3"
"texting",6,"3"
"phone",3,"4"
"watch",6,"4"
"speaker",4,"4"
"texting",14,"4"
"phone",4,"17"
"watch",6,"17"
"speaker",2,"17"
"texting",4,"17"
"phone",9,"10"
"watch",7,"10"
"speaker",4,"10"
"texting",19,"10"
"phone",2,"31"
"watch",10,"31"
"speaker",3,"31"
"texting",9,"31"
"phone",12,"15"
"watch",7,"15"
"speaker",10,"15"
"texting",18,"15"
