"format","amount","purchased","age","gender"
"quantity-integrated",0,0,34,"male"
"quantity-integrated",0,0,25,"female"
"quantity-sequential",0,0,21,"male"
"quantity-sequential",0,0,42,"male"
"quantity-sequential",0,0,53,"female"
"quantity-sequential",0,0,34,"male"
"quantity-integrated",1,1,27,"female"
"quantity-integrated",0,0,34,"male"
"quantity-integrated",0,0,54,"male"
"quantity-sequential",0,0,36,"female"
"quantity-sequential",0,0,63,"male"
"quantity-integrated",0,0,26,"male"
"quantity-sequential",0,0,32,"male"
"quantity-integrated",2,1,39,"male"
"quantity-sequential",0,0,23,"female"
"quantity-integrated",0,0,38,"male"
"quantity-integrated",0,0,65,"male"
"quantity-sequential",2,1,43,"male"
"quantity-integrated",2,1,57,"female"
"quantity-sequential",0,0,66,"female"
"quantity-integrated",0,0,68,"male"
"quantity-sequential",0,0,52,"male"
"quantity-sequential",0,0,71,"male"
"quantity-sequential",0,0,31,"female"
"quantity-integrated",0,0,51,"male"
"quantity-sequential",0,0,32,"male"
"quantity-integrated",0,0,41,"male"
"quantity-sequential",0,0,12077,"male"
"quantity-sequential",0,0,51,"male"
"quantity-integrated",0,0,48,"female"
"quantity-integrated",2,1,27,"male"
"quantity-integrated",0,0,44,"female"
"quantity-sequential",0,0,33,"male"
"quantity-sequential",0,0,40,"female"
"quantity-integrated",0,0,29,"female"
"quantity-integrated",1,1,45,"female"
"quantity-sequential",1,1,30,"male"
"quantity-sequential",0,0,30,"male"
"quantity-integrated",2,1,28,"female"
"quantity-integrated",0,0,50,"female"
"quantity-sequential",0,0,41,"female"
"quantity-sequential",0,0,23,"female"
"quantity-integrated",2,1,56,"male"
"quantity-integrated",2,1,28,"female"
"quantity-sequential",2,1,43,"male"
"quantity-sequential",1,1,37,"male"
"quantity-integrated",0,0,35,"female"
"quantity-sequential",0,0,34,"female"
"quantity-integrated",0,0,23,"male"
"quantity-integrated",2,1,63,"male"
"quantity-sequential",0,0,40,"male"
"quantity-sequential",0,0,52,"female"
"quantity-sequential",2,1,29,"female"
"quantity-sequential",0,0,35,"male"
"quantity-integrated",0,0,41,"male"
"quantity-sequential",0,0,64,"female"
"quantity-sequential",0,0,27,"male"
"quantity-integrated",0,0,24,"male"
"quantity-sequential",0,0,38,"female"
"quantity-sequential",0,0,28,"male"
"quantity-sequential",0,0,22,"female"
"quantity-integrated",2,1,42,"male"
"quantity-integrated",0,0,34,"male"
"quantity-integrated",0,0,45,"female"
"quantity-sequential",0,0,37,"female"
"quantity-sequential",1,1,32,"male"
"quantity-sequential",0,0,69,"female"
"quantity-integrated",0,0,62,"female"
"quantity-sequential",2,1,38,"male"
"quantity-integrated",0,0,64,"male"
"quantity-integrated",0,0,32,"male"
"quantity-integrated",0,0,34,"male"
"quantity-integrated",0,0,51,"female"
"quantity-integrated",0,0,43,"female"
"quantity-sequential",0,0,54,"male"
"quantity-sequential",0,0,44,"male"
"quantity-sequential",0,0,60,"male"
"quantity-integrated",0,0,48,"male"
"quantity-integrated",0,0,53,"female"
"quantity-sequential",0,0,67,"female"
"quantity-sequential",0,0,65,"female"
"quantity-integrated",0,0,55,"female"
"quantity-integrated",0,0,43,"male"
"quantity-integrated",0,0,71,"female"
"quantity-sequential",0,0,22,"female"
"quantity-integrated",0,0,57,"female"
"quantity-sequential",0,0,44,"female"
"quantity-sequential",0,0,36,"female"
"quantity-integrated",0,0,46,"male"
"quantity-integrated",0,0,68,"male"
"quantity-integrated",0,0,69,"female"
"quantity-integrated",0,0,33,"female"
"quantity-sequential",0,0,36,"female"
"quantity-sequential",0,0,34,"female"
"quantity-sequential",0,0,67,"male"
"quantity-integrated",0,0,68,"male"
"quantity-integrated",0,0,34,"male"
"quantity-integrated",1,1,23,"male"
"quantity-sequential",0,0,55,"male"
"quantity-sequential",0,0,55,"female"
"quantity-integrated",2,1,32,"male"
"quantity-sequential",0,0,27,"male"
"quantity-sequential",0,0,43,"female"
"quantity-integrated",1,1,32,"female"
"quantity-integrated",0,0,54,"male"
"quantity-sequential",1,1,38,"male"
"quantity-sequential",0,0,29,"female"
"quantity-sequential",0,0,26,"male"
"quantity-sequential",3,1,36,"female"
"quantity-integrated",0,0,43,"female"
"quantity-integrated",0,0,26,"male"
"quantity-integrated",0,0,40,"male"
"quantity-sequential",1,1,35,"female"
"quantity-sequential",0,0,22,"female"
"quantity-sequential",0,0,64,"male"
"quantity-integrated",1,1,52,"male"
"quantity-integrated",0,0,46,"female"
"quantity-sequential",0,0,21,"male"
"quantity-integrated",0,0,25,"male"
"quantity-integrated",2,1,46,"male"
"quantity-sequential",0,0,27,"male"
"quantity-sequential",0,0,32,"male"
"quantity-integrated",0,0,59,"female"
"quantity-integrated",0,0,43,"female"
"quantity-sequential",0,0,49,"male"
"quantity-integrated",0,0,45,"male"
"quantity-sequential",0,0,47,"female"
"quantity-integrated",0,0,27,"male"
"quantity-integrated",0,0,33,"female"
"quantity-sequential",0,0,48,"male"
"quantity-sequential",0,0,36,"female"
"quantity-sequential",0,0,23,"female"
"quantity-integrated",0,0,26,"female"
"quantity-integrated",0,0,67,"female"
"quantity-integrated",0,0,49,"male"
"quantity-sequential",0,0,47,"male"
"quantity-sequential",0,0,20,"male"
"quantity-sequential",0,0,31,"female"
"quantity-integrated",1,1,30,"male"
"quantity-integrated",0,0,68,"female"
"quantity-integrated",0,0,50,"male"
"quantity-sequential",0,0,30,"male"
"quantity-integrated",0,0,24,"female"
"quantity-sequential",0,0,36,"male"
"quantity-sequential",0,0,30,"female"
"quantity-integrated",0,0,34,"male"
"quantity-integrated",0,0,47,"male"
