"gender","age","format","purchased","amount","meanval","elength"
"male",35,"quantity-integrated",0,0,0.193548387,249
"female",25,"quantity-integrated",1,1,0.647058824,216
"male",43,"quantity-sequential",0,0,0.3,161
"female",35,"quantity-sequential",0,0,0.265625,109
"female",36,"quantity-integrated",0,0,0.318181818,164
"female",62,"quantity-sequential",0,0,0.064516129,22
"male",30,"quantity-integrated",1,1,0.564516129,158
"male",26,"quantity-integrated",0,0,0.117647059,57
"female",41,"quantity-integrated",0,0,0.227272727,99
"male",28,"quantity-integrated",0,0,0.382352941,89
"female",23,"quantity-sequential",0,0,0.272727273,99
"female",22,"quantity-sequential",0,0,0.227272727,120
"female",25,"quantity-integrated",0,0,0.225806452,206
"female",23,"quantity-sequential",1,2,0.333333333,132
"male",31,"quantity-integrated",0,0,0.35483871,232
"male",32,"quantity-integrated",0,0,0.403225806,39
"female",45,"quantity-sequential",0,0,0.348484848,102
"female",23,"quantity-integrated",1,1,0.676470588,130
"female",55,"quantity-sequential",1,3,0.53030303,78
"male",41,"quantity-sequential",0,0,0.274193548,152
"male",30,"quantity-sequential",0,0,0.242424242,72
"female",47,"quantity-integrated",0,0,0.333333333,301
"female",36,"quantity-integrated",1,1,0.65625,349
"female",55,"quantity-sequential",0,0,0.451612903,212
"male",45,"quantity-sequential",0,0,0.367647059,232
"male",44,"quantity-sequential",0,0,0.548387097,246
"female",55,"quantity-sequential",0,0,0.177419355,47
"male",31,"quantity-sequential",0,0,0.5,386
"female",35,"quantity-integrated",1,3,0.728571429,40
"female",48,"quantity-integrated",1,2,0.482758621,45
"female",58,"quantity-sequential",1,4,0.596774194,98
"male",24,"quantity-sequential",0,0,0.403225806,181
"female",24,"quantity-sequential",0,0,0.482758621,218
"male",41,"quantity-integrated",0,0,0.212121212,104
"male",29,"quantity-integrated",0,0,0.393939394,231
"male",31,"quantity-integrated",0,0,0.338709677,93
"female",29,"quantity-sequential",1,2,0.318181818,22
"male",18,"quantity-integrated",0,0,0.28125,259
"female",45,"quantity-sequential",0,0,0.318181818,206
"male",31,"quantity-integrated",1,1,0.727272727,236
"female",25,"quantity-sequential",0,0,0.140625,60
"female",50,"quantity-sequential",1,1,0.348484848,72
"male",40,"quantity-integrated",0,0,0.306451613,319
"male",50,"quantity-integrated",1,1,0.191176471,47
"female",30,"quantity-sequential",1,2,0.633333333,373
"male",25,"quantity-integrated",0,0,0.147058824,107
"male",29,"quantity-integrated",0,0,0.303030303,189
"male",33,"quantity-integrated",1,1,0.803030303,214
"male",48,"quantity-integrated",1,1,0.424242424,204
"female",45,"quantity-integrated",0,0,0.566666667,145
"female",35,"quantity-sequential",1,2,0.64516129,306
"female",35,"quantity-sequential",0,0,0.3125,75
"male",20,"quantity-integrated",1,1,0.453125,77
"male",65,"quantity-integrated",0,0,0.411764706,152
"female",46,"quantity-sequential",0,0,0.338709677,159
"male",29,"quantity-sequential",0,0,0.140625,87
"female",29,"quantity-integrated",0,0,0.086206897,23
"female",25,"quantity-integrated",0,0,0.257575758,230
"male",38,"quantity-integrated",0,0,0.602941176,328
"female",63,"quantity-integrated",0,0,0.424242424,191
"male",26,"quantity-integrated",0,0,0.177419355,40
"female",36,"quantity-integrated",0,0,0.53030303,263
"male",38,"quantity-integrated",1,2,0.870967742,173
"male",25,"quantity-sequential",1,1,0.53030303,82
"male",58,"quantity-integrated",0,0,0.203125,132
"male",31,"quantity-sequential",0,0,0.265625,107
"male",41,"quantity-sequential",0,0,0.316666667,108
"male",29,"quantity-integrated",1,3,0.257575758,22
"male",24,"quantity-integrated",1,1,0.4375,70
"male",32,"quantity-sequential",0,0,0.322580645,88
"male",28,"quantity-integrated",0,0,0.451612903,168
"male",56,"quantity-integrated",1,4,0.387096774,29
"female",25,"quantity-sequential",1,2,0.516129032,96
"male",19,"quantity-sequential",1,3,0.71875,69
"female",64,"quantity-sequential",0,0,0.535714286,133
"male",23,"quantity-sequential",0,0,0.46875,151
"female",38,"quantity-integrated",1,2,0.709677419,185
"male",53,"quantity-sequential",1,1,0.117647059,66
"male",33,"quantity-integrated",0,0,0.451612903,346
"male",28,"quantity-integrated",0,0,0.112903226,48
"male",28,"quantity-sequential",1,1,0.672413793,143
"male",30,"quantity-sequential",0,0,0.467741935,167
"female",31,"quantity-integrated",0,0,0.136363636,101
"female",22,"quantity-integrated",0,0,0.606060606,207
"female",21,"quantity-integrated",1,1,0.734375,337
"male",33,"quantity-sequential",0,0,0.103448276,96
"female",47,"quantity-sequential",0,0,0.580645161,443
"male",28,"quantity-sequential",0,0,0.133333333,23
"female",36,"quantity-integrated",0,0,0.671875,160
"male",31,"quantity-sequential",0,0,0.546875,198
"male",22,"quantity-sequential",0,0,0.5,161
"male",30,"quantity-sequential",0,0,0.264705882,110
"female",31,"quantity-integrated",0,0,0.212121212,119
"female",35,"quantity-integrated",1,1,0.733333333,155
"male",26,"quantity-sequential",0,0,0.651515152,250
"female",50,"quantity-sequential",1,1,0.8125,256
"male",26,"quantity-sequential",0,0,0.578125,122
"female",44,"quantity-sequential",0,0,0.5,192
"female",49,"quantity-sequential",0,0,0.209677419,64
"male",25,"quantity-sequential",0,0,0.1,72
"female",31,"quantity-integrated",0,0,0.454545455,227
"female",29,"quantity-integrated",1,4,0.451612903,101
"female",33,"quantity-sequential",0,0,0.24137931,68
"female",28,"quantity-integrated",0,0,0.296875,110
"male",51,"quantity-integrated",1,2,0.848484848,238
"female",51,"quantity-sequential",0,0,0.348484848,360
"female",29,"quantity-sequential",1,2,0.629032258,135
"female",28,"quantity-integrated",0,0,0.571428571,321
"female",43,"quantity-integrated",0,0,0.411764706,146
"female",21,"quantity-integrated",1,2,0.466666667,134
"male",25,"quantity-sequential",0,0,0.272727273,141
"male",31,"quantity-sequential",0,0,0.338709677,239
