"protest","likeability","angry","respeval","sexism"
"collective",4.83333333333333,2,4.25,4.87
"no protest",4.5,1,5.75,4.25
"collective",5.5,3,4.75,5
"collective",5.66666666666667,1,7,5.5
"collective",6.16666666666667,1,6.75,5.62
"individual",6,1,5.5,5.75
"collective",4.66666666666667,2,5,5.12
"no protest",6.5,1,6.25,6.62
"no protest",1,6,3,5.75
"no protest",6.83333333333333,1,5.75,4.62
"collective",5,2,5.25,4.75
"collective",5.66666666666667,5,7,6.12
"no protest",5.83333333333333,2,4.5,4.87
"individual",6.5,1,6.25,5.87
"individual",4.5,1,5,4.87
"no protest",4.83333333333333,1,5.25,4.62
"individual",6.16666666666667,2,5.25,4.5
"collective",4.33333333333333,1,5,5.5
"collective",4.83333333333333,3,4.5,4.25
"individual",5,4,6,4.25
"collective",6.5,1,5.75,5.25
"individual",7,1,6,5
"individual",5.33333333333333,1,5.25,5.75
"collective",5.5,5,4.75,2.87
"collective",7,1,6.5,5.5
"no protest",5.5,5,1.75,5.5
"individual",5,1,5,4.62
"individual",6.83333333333333,1,4.75,4.37
"no protest",4.83333333333333,2,4.25,4.37
"individual",6.66666666666667,1,6.75,5.62
"individual",6,1,6,5.12
"individual",6.33333333333333,1,4.75,4.37
"no protest",5.33333333333333,4,1.75,4.75
"collective",5.5,1,4.75,4.62
"individual",5.83333333333333,2,5.75,5.12
"collective",5.83333333333333,6,5.5,4.5
"collective",6.83333333333333,1,5.5,5.37
"collective",5.5,1,6.25,4.75
"individual",5.33333333333333,2,5.25,4.87
"no protest",5.33333333333333,1,5.75,5.12
"collective",7,1,6.25,5.37
"collective",4.83333333333333,1,4.25,4
"no protest",6.16666666666667,1,5.5,5.62
"no protest",5.5,5,2.5,4.25
"no protest",4.83333333333333,4,2,6.37
"individual",6.33333333333333,2,6,5.25
"no protest",6,4,3.5,6
"collective",5.16666666666667,1,5.25,4.62
"individual",5.83333333333333,2,5.25,4.37
"collective",7,1,5.75,6.12
"collective",6.33333333333333,1,6,3.62
"individual",6.33333333333333,1,6.25,6
"individual",6.33333333333333,1,6.75,7
"individual",5.66666666666667,2,5.5,5.87
"no protest",5.33333333333333,1,5,5.5
"no protest",5.5,6,3,5.12
"collective",4.66666666666667,1,3.75,3.75
"individual",4.66666666666667,4,4,5.25
"individual",3.83333333333333,3,2.5,3.87
"individual",6.83333333333333,1,4.5,5.5
"individual",6.83333333333333,1,5.75,6.37
"collective",7,1,6.5,5.25
"individual",5.16666666666667,1,5,5.5
"no protest",6.83333333333333,1,4.75,4
"individual",6.33333333333333,2,6.5,5.87
"collective",5.5,1,5.75,4.87
"individual",6.66666666666667,1,5.5,4.87
"individual",5.16666666666667,2,5.25,3.5
"collective",6.33333333333333,1,5.5,4.12
"no protest",4.16666666666667,1,5,5.5
"no protest",6,2,4.75,4
"collective",6.5,1,6.25,5.12
"individual",6.33333333333333,1,6.5,4.62
"no protest",3.66666666666667,6,2.5,5.87
"no protest",5.16666666666667,5,4,5
"individual",4.16666666666667,2,1.75,4.87
"collective",5.83333333333333,1,5.25,5.75
"no protest",5.16666666666667,5,2.25,5.25
"no protest",7,1,1.5,4.75
"collective",4,4,3.5,4.37
"collective",6.5,1,6.25,4.5
"no protest",6.5,1,4.5,4.12
"individual",6.33333333333333,1,4.25,6.5
"no protest",7,1,3.25,6.5
"collective",5.66666666666667,2,5.75,4
"collective",6.5,1,6.5,4.25
"individual",5.66666666666667,2,3.25,4.75
"individual",5.66666666666667,2,5.75,5.5
"individual",6.33333333333333,1,4.5,4.75
"no protest",5.83333333333333,2,3.5,4.25
"individual",6.66666666666667,1,5.5,6
"collective",5.16666666666667,3,5.75,4.5
"individual",5,1,5,5.75
"no protest",5,5,6,4.25
"individual",4.5,1,5,4.62
"individual",5.16666666666667,5,4.5,5.62
"collective",6.83333333333333,6,6.5,5
"no protest",2.33333333333333,7,1.5,6.5
"no protest",5.33333333333333,5,3,5.12
"no protest",6.66666666666667,1,5.25,5.62
"collective",7,1,7,5.5
"individual",6,2,5.25,6.5
"individual",5.66666666666667,1,5.5,4.25
"collective",6.5,1,6,6
"no protest",4.83333333333333,1,3.5,4.25
"no protest",6.5,5,4,4.75
"collective",3.66666666666667,1,5.25,4.75
"collective",6,1,4,6
"collective",6,2,5.75,4.5
"collective",7,1,3.75,6.25
"collective",5,1,5,6.62
"no protest",4.5,4,2.75,4.5
"no protest",4.5,5,3.25,4.62
"collective",5.83333333333333,1,6.25,5.75
"collective",4.5,2,5.75,5.12
"collective",4,4,3.75,5.37
"individual",7,1,6.5,6.37
"no protest",4.66666666666667,6,1.75,6.37
"no protest",6.16666666666667,2,5.75,4.75
"collective",7,1,6,5
"no protest",7,1,6,4.12
"no protest",2.33333333333333,6,2.75,5.87
"collective",6.33333333333333,1,5.5,7
"individual",6.83333333333333,1,4,5.5
"no protest",6.16666666666667,2,5,5
"no protest",4.66666666666667,5,2.5,4.37
"no protest",6,1,4.75,5.25
"individual",4.83333333333333,1,4.25,5.25
"individual",6,1,3.5,5.37
