"id","likelihood","curstate","predout","tempdist","age","gender"
1,2,"peace","peace","1yr",39,"female"
1,1,"peace","peace","20yr",39,"female"
2,3,"peace","peace","1yr",33,"male"
2,2,"peace","peace","20yr",33,"male"
3,3,"peace","peace","1yr",20,"male"
3,2,"peace","peace","20yr",20,"male"
4,3,"peace","peace","1yr",19,"male"
4,2,"peace","peace","20yr",19,"male"
5,3,"peace","peace","1yr",22,"female"
5,3,"peace","peace","20yr",22,"female"
6,3,"peace","peace","1yr",21,"male"
6,3,"peace","peace","20yr",21,"male"
7,3,"peace","peace","1yr",28,"female"
7,5,"peace","peace","20yr",28,"female"
8,4,"peace","peace","1yr",37,"male"
8,2,"peace","peace","20yr",37,"male"
9,4,"peace","peace","1yr",32,"female"
9,3,"peace","peace","20yr",32,"female"
10,4,"peace","peace","1yr",18,"male"
10,3,"peace","peace","20yr",18,"male"
11,4,"peace","peace","1yr",46,"male"
11,3,"peace","peace","20yr",46,"male"
12,4,"peace","peace","1yr",42,"female"
12,4,"peace","peace","20yr",42,"female"
13,4,"peace","peace","1yr",33,"male"
13,4,"peace","peace","20yr",33,"male"
14,5,"peace","peace","1yr",43,"female"
14,2,"peace","peace","20yr",43,"female"
15,5,"peace","peace","1yr",18,"male"
15,2,"peace","peace","20yr",18,"male"
16,5,"peace","peace","1yr",23,"female"
16,3,"peace","peace","20yr",23,"female"
17,5,"peace","peace","1yr",21,"male"
17,3,"peace","peace","20yr",21,"male"
18,5,"peace","peace","1yr",39,"female"
18,3,"peace","peace","20yr",39,"female"
19,5,"peace","peace","1yr",36,"male"
19,3,"peace","peace","20yr",36,"male"
20,5,"peace","peace","1yr",38,"male"
20,4,"peace","peace","20yr",38,"male"
21,5,"peace","peace","1yr",32,"female"
21,4,"peace","peace","20yr",32,"female"
22,5,"peace","peace","1yr",20,"female"
22,5,"peace","peace","20yr",20,"female"
23,5,"peace","peace","1yr",32,"male"
23,6,"peace","peace","20yr",32,"male"
24,5,"peace","peace","1yr",30,"female"
24,6,"peace","peace","20yr",30,"female"
25,5,"peace","peace","1yr",31,"female"
25,6,"peace","peace","20yr",31,"female"
26,6,"peace","peace","1yr",40,"male"
26,2,"peace","peace","20yr",40,"male"
27,6,"peace","peace","1yr",18,"male"
27,2,"peace","peace","20yr",18,"male"
28,6,"peace","peace","1yr",26,"female"
28,3,"peace","peace","20yr",26,"female"
29,6,"peace","peace","1yr",29,"female"
29,3,"peace","peace","20yr",29,"female"
30,6,"peace","peace","1yr",18,"female"
30,3,"peace","peace","20yr",18,"female"
31,6,"peace","peace","1yr",29,"male"
31,3,"peace","peace","20yr",29,"male"
32,6,"peace","peace","1yr",63,"male"
32,4,"peace","peace","20yr",63,"male"
33,6,"peace","peace","1yr",21,"female"
33,4,"peace","peace","20yr",21,"female"
34,6,"peace","peace","1yr",55,"male"
34,4,"peace","peace","20yr",55,"male"
35,6,"peace","peace","1yr",44,"female"
35,4,"peace","peace","20yr",44,"female"
36,6,"peace","peace","1yr",50,"female"
36,4,"peace","peace","20yr",50,"female"
37,6,"peace","peace","1yr",35,"male"
37,5,"peace","peace","20yr",35,"male"
