"id","imscore","ratingtype","irtime"
"1",4.25,"prediction",1
"1",4.666666667,"experience",1
"2",3.666666667,"prediction",-4
"2",4.583333333,"experience",-4
"3",3.083333333,"prediction",2
"3",4.333333333,"experience",2
"4",5.083333333,"prediction",8
"4",7,"experience",8
"5",2.916666667,"prediction",2
"5",2.583333333,"experience",2
"6",3,"prediction",4
"6",4.083333333,"experience",4
"7",2.583333333,"prediction",-4
"7",3.166666667,"experience",-4
"8",2.666666667,"prediction",-2
"8",4.333333333,"experience",-2
"9",3.25,"prediction",1
"9",4.916666667,"experience",1
"10",3.333333333,"prediction",6
"10",2.833333333,"experience",6
"11",2,"prediction",-7
"11",2.75,"experience",-7
"12",5.083333333,"prediction",-6
"12",7,"experience",-6
"13",3.083333333,"prediction",-4
"13",4.416666667,"experience",-4
"14",4.333333333,"prediction",4
"14",5.083333333,"experience",4
"15",2.083333333,"prediction",-1
"15",4,"experience",-1
"16",3.75,"prediction",-2
"16",4.916666667,"experience",-2
"17",2.5,"prediction",-3
"17",3.416666667,"experience",-3
"18",4.25,"prediction",-7
"18",4.25,"experience",-7
"19",3,"prediction",1
"19",5.583333333,"experience",1
"20",5.333333333,"prediction",-8
"20",5.666666667,"experience",-8
"21",5,"prediction",0
"21",6.333333333,"experience",0
"22",3.416666667,"prediction",-7
"22",3.833333333,"experience",-7
"23",3.833333333,"prediction",6
"23",5.083333333,"experience",6
"24",2.75,"prediction",-8
"24",4.75,"experience",-8
"25",3.166666667,"prediction",8
"25",1.916666667,"experience",8
"26",3.25,"prediction",5
"26",4.666666667,"experience",5
"27",2.25,"prediction",-6
"27",3.333333333,"experience",-6
"28",3.416666667,"prediction",-1
"28",3.333333333,"experience",-1
"29",2.916666667,"prediction",-3
"29",5.083333333,"experience",-3
"30",3.333333333,"prediction",-4
"30",2.583333333,"experience",-4
"31",2.166666667,"prediction",3
"31",3.5,"experience",3
"32",4.333333333,"prediction",4
"32",5.833333333,"experience",4
"33",3.666666667,"prediction",7
"33",3,"experience",7
"34",5.333333333,"prediction",-5
"34",5.916666667,"experience",-5
"35",3.25,"prediction",2
"35",3.583333333,"experience",2
"36",4.083333333,"prediction",-7
"36",5.25,"experience",-7
"37",4.25,"prediction",0
"37",4.583333333,"experience",0
"38",3.416666667,"prediction",-3
"38",3.333333333,"experience",-3
"39",4.916666667,"prediction",6
"39",4.833333333,"experience",6
"40",2.75,"prediction",-6
"40",3.666666667,"experience",-6
