"condition","mvignette","dog","trolley","wallet","plane","resume","kitten","age","gender"
"cleanliness",5.5,6,3,6,5,6,7,19,"male"
"cleanliness",6,7,5,6,7,6,5,19,"female"
"control",5.33333333333333,7,3,6,7,5,4,19,"female"
"control",5.66666666666667,7,2,6,6,6,7,21,"male"
"cleanliness",4.83333333333333,5,4,7,3,3,7,19,"female"
"control",5.66666666666667,7,4,5,6,5,7,20,"female"
"control",5.33333333333333,4,1,7,7,6,7,20,"female"
"control",4.5,2,3,6,7,5,4,20,"female"
"control",5.16666666666667,3,2,7,6,6,7,19,"male"
"cleanliness",6.83333333333333,7,6,7,7,7,7,20,"female"
"cleanliness",5.83333333333333,7,2,7,5,7,7,23,"female"
"control",6.5,6,5,7,7,7,7,20,"male"
"control",6.5,7,4,7,7,7,7,20,"female"
"control",4.83333333333333,7,4,1,7,3,7,18,"female"
"control",4.83333333333333,6,1,2,7,6,7,22,"male"
"control",6,5,4,7,7,6,7,22,"female"
"cleanliness",5.83333333333333,6,4,7,6,5,7,19,"female"
"cleanliness",6.33333333333333,6,7,6,6,6,7,21,"female"
"control",4.66666666666667,1,1,7,7,7,5,27,"male"
"control",4.83333333333333,7,1,4,5,5,7,19,"male"
"control",5.66666666666667,7,5,7,6,4,5,18,"male"
"control",5.66666666666667,5,4,6,5,7,7,21,"male"
"cleanliness",3.5,2,1,4,6,7,1,19,"male"
"cleanliness",5.83333333333333,4,4,7,7,6,7,20,"female"
"cleanliness",5.16666666666667,7,2,5,4,6,7,18,"male"
"control",5.33333333333333,6,5,5,7,4,5,24,"female"
"cleanliness",6.5,7,4,7,7,7,7,21,"female"
"control",6.33333333333333,6,4,7,7,7,7,19,"male"
"cleanliness",5,6,3,4,6,5,6,21,"male"
"cleanliness",6.5,7,4,7,7,7,7,19,"female"
"cleanliness",6.83333333333333,7,6,7,7,7,7,23,"male"
"control",4.66666666666667,7,4,2,5,3,7,18,"male"
"cleanliness",6,6,5,6,6,7,6,19,"female"
"cleanliness",5.33333333333333,7,2,7,7,4,5,51,"female"
"control",6.33333333333333,7,4,7,7,6,7,18,"female"
"control",5.16666666666667,7,3,6,3,5,7,19,"female"
"control",5.33333333333333,5,3,7,3,7,7,19,"female"
"cleanliness",4.83333333333333,3,2,7,3,7,7,19,"male"
"control",5.5,6,6,6,6,5,4,20,"female"
"control",5.33333333333333,6,3,5,7,5,6,18,"male"
"control",6.33333333333333,6,5,7,6,7,7,19,"female"
"cleanliness",5.5,7,4,7,1,7,7,21,"female"
"control",6.16666666666667,7,3,6,7,7,7,18,"female"
"control",5.66666666666667,7,4,6,7,4,6,23,"male"
