"condition","order","conf_dying","expertise","ease_imagining","gender"
"video","dying first",30,5,3,1
"video","dying first",0,5,4,2
"no video","dying first",30,5,1,1
"video","pilot first",71,5,2,2
"no video","dying first",29,4,5,2
"video","dying first",0,5,5,2
"video","pilot first",10,5,5,1
"no video","dying first",68,3,2,1
"no video","pilot first",0,5,5,2
"video","pilot first",35,5,4,1
"no video","dying first",10,5,5,1
"video","dying first",70,5,4,1
"no video","pilot first",10,5,4,1
"video","pilot first",15,5,4,1
"no video","dying first",30,5,1,2
"no video","pilot first",20,5,4,1
"no video","dying first",5,5,5,1
"video","pilot first",20,5,3,2
"video","pilot first",0,5,5,2
"video","dying first",60,5,3,1
"no video","dying first",11,5,5,1
"video","dying first",1,5,2,2
"no video","pilot first",50,4,2,1
"no video","dying first",20,5,3,1
"no video","pilot first",11,5,3,1
"no video","pilot first",20,5,5,1
"no video","dying first",20,5,5,2
"no video","pilot first",14,5,3,1
"no video","dying first",2,5,5,2
"video","dying first",33,5,4,2
"video","pilot first",10,5,5,2
"video","pilot first",0,5,5,2
"no video","pilot first",13,5,5,2
"video","dying first",20,5,4,1
"video","dying first",14,5,1,2
"no video","pilot first",23,5,2,1
"video","pilot first",53,5,2,2
"video","pilot first",83,5,2,2
"no video","dying first",9,5,4,1
"no video","pilot first",20,5,2,2
"video","dying first",71,5,4,2
"video","pilot first",5,5,2,2
"no video","pilot first",0,5,5,2
"no video","dying first",91,4,3,1
"video","dying first",9,5,2,1
"video","pilot first",15,5,5,2
"no video","pilot first",55,4,2,2
"no video","dying first",21,5,2,2
"video","pilot first",8,5,4,2
"no video","pilot first",76,5,2,1
"no video","pilot first",0,5,4,3
"video","pilot first",6,4,4,2
"no video","dying first",2,5,3,2
"no video","pilot first",100,5,3,2
"video","dying first",17,4,3,2
"video","dying first",95,5,5,2
"no video","pilot first",10,5,5,2
"no video","pilot first",17,5,1,1
"video","dying first",7,5,1,1
"no video","pilot first",37,5,3,1
"no video","pilot first",17,5,1,2
"video","dying first",7,4,5,2
"no video","pilot first",70,4,4,2
