"nerror","adaptation","fontsize","position","id","acuity"
4,"PA","-0.3","1","43","normal"
4,"PA","-0.3","2","43","normal"
4,"PA","-0.3","3","43","normal"
4,"PA","-0.3","4","43","normal"
4,"PA","-0.3","5","43","normal"
3,"AC","-0.3","1","43","normal"
3,"AC","-0.3","2","43","normal"
4,"AC","-0.3","3","43","normal"
4,"AC","-0.3","4","43","normal"
4,"AC","-0.3","5","43","normal"
2,"PA","-0.2","1","43","normal"
2,"PA","-0.2","2","43","normal"
2,"PA","-0.2","3","43","normal"
4,"PA","-0.2","4","43","normal"
4,"PA","-0.2","5","43","normal"
0,"AC","-0.2","1","43","normal"
1,"AC","-0.2","2","43","normal"
1,"AC","-0.2","3","43","normal"
2,"AC","-0.2","4","43","normal"
2,"AC","-0.2","5","43","normal"
1,"PA","-0.1","1","43","normal"
2,"PA","-0.1","2","43","normal"
1,"PA","-0.1","3","43","normal"
2,"PA","-0.1","4","43","normal"
1,"PA","-0.1","5","43","normal"
0,"AC","-0.1","1","43","normal"
0,"AC","-0.1","2","43","normal"
1,"AC","-0.1","3","43","normal"
0,"AC","-0.1","4","43","normal"
0,"AC","-0.1","5","43","normal"
0,"PA","0","1","43","normal"
0,"PA","0","2","43","normal"
0,"PA","0","3","43","normal"
0,"PA","0","4","43","normal"
0,"PA","0","5","43","normal"
0,"AC","0","1","43","normal"
0,"AC","0","2","43","normal"
0,"AC","0","3","43","normal"
0,"AC","0","4","43","normal"
0,"AC","0","5","43","normal"
4,"PA","-0.3","1","22","normal"
4,"PA","-0.3","2","22","normal"
4,"PA","-0.3","3","22","normal"
4,"PA","-0.3","4","22","normal"
4,"PA","-0.3","5","22","normal"
4,"AC","-0.3","1","22","normal"
4,"AC","-0.3","2","22","normal"
4,"AC","-0.3","3","22","normal"
3,"AC","-0.3","4","22","normal"
4,"AC","-0.3","5","22","normal"
2,"PA","-0.2","1","22","normal"
2,"PA","-0.2","2","22","normal"
2,"PA","-0.2","3","22","normal"
3,"PA","-0.2","4","22","normal"
2,"PA","-0.2","5","22","normal"
0,"AC","-0.2","1","22","normal"
2,"AC","-0.2","2","22","normal"
2,"AC","-0.2","3","22","normal"
3,"AC","-0.2","4","22","normal"
2,"AC","-0.2","5","22","normal"
0,"PA","-0.1","1","22","normal"
0,"PA","-0.1","2","22","normal"
0,"PA","-0.1","3","22","normal"
0,"PA","-0.1","4","22","normal"
0,"PA","-0.1","5","22","normal"
0,"AC","-0.1","1","22","normal"
0,"AC","-0.1","2","22","normal"
0,"AC","-0.1","3","22","normal"
0,"AC","-0.1","4","22","normal"
0,"AC","-0.1","5","22","normal"
0,"PA","0","1","22","normal"
0,"PA","0","2","22","normal"
0,"PA","0","3","22","normal"
0,"PA","0","4","22","normal"
0,"PA","0","5","22","normal"
0,"AC","0","1","22","normal"
0,"AC","0","2","22","normal"
0,"AC","0","3","22","normal"
0,"AC","0","4","22","normal"
0,"AC","0","5","22","normal"
4,"PA","-0.3","1","25","normal"
4,"PA","-0.3","2","25","normal"
4,"PA","-0.3","3","25","normal"
4,"PA","-0.3","4","25","normal"
4,"PA","-0.3","5","25","normal"
4,"AC","-0.3","1","25","normal"
4,"AC","-0.3","2","25","normal"
4,"AC","-0.3","3","25","normal"
4,"AC","-0.3","4","25","normal"
3,"AC","-0.3","5","25","normal"
2,"PA","-0.2","1","25","normal"
2,"PA","-0.2","2","25","normal"
4,"PA","-0.2","3","25","normal"
1,"PA","-0.2","4","25","normal"
4,"PA","-0.2","5","25","normal"
0,"AC","-0.2","1","25","normal"
1,"AC","-0.2","2","25","normal"
2,"AC","-0.2","3","25","normal"
1,"AC","-0.2","4","25","normal"
1,"AC","-0.2","5","25","normal"
0,"PA","-0.1","1","25","normal"
1,"PA","-0.1","2","25","normal"
2,"PA","-0.1","3","25","normal"
0,"PA","-0.1","4","25","normal"
1,"PA","-0.1","5","25","normal"
0,"AC","-0.1","1","25","normal"
1,"AC","-0.1","2","25","normal"
2,"AC","-0.1","3","25","normal"
1,"AC","-0.1","4","25","normal"
1,"AC","-0.1","5","25","normal"
0,"PA","0","1","25","normal"
1,"PA","0","2","25","normal"
0,"PA","0","3","25","normal"
0,"PA","0","4","25","normal"
0,"PA","0","5","25","normal"
0,"AC","0","1","25","normal"
1,"AC","0","2","25","normal"
0,"AC","0","3","25","normal"
0,"AC","0","4","25","normal"
2,"AC","0","5","25","normal"
3,"PA","-0.3","1","16","normal"
4,"PA","-0.3","2","16","normal"
4,"PA","-0.3","3","16","normal"
4,"PA","-0.3","4","16","normal"
4,"PA","-0.3","5","16","normal"
3,"AC","-0.3","1","16","normal"
4,"AC","-0.3","2","16","normal"
4,"AC","-0.3","3","16","normal"
4,"AC","-0.3","4","16","normal"
2,"AC","-0.3","5","16","normal"
1,"PA","-0.2","1","16","normal"
2,"PA","-0.2","2","16","normal"
4,"PA","-0.2","3","16","normal"
3,"PA","-0.2","4","16","normal"
3,"PA","-0.2","5","16","normal"
0,"AC","-0.2","1","16","normal"
0,"AC","-0.2","2","16","normal"
2,"AC","-0.2","3","16","normal"
1,"AC","-0.2","4","16","normal"
1,"AC","-0.2","5","16","normal"
0,"PA","-0.1","1","16","normal"
1,"PA","-0.1","2","16","normal"
0,"PA","-0.1","3","16","normal"
0,"PA","-0.1","4","16","normal"
1,"PA","-0.1","5","16","normal"
0,"AC","-0.1","1","16","normal"
0,"AC","-0.1","2","16","normal"
