"prodeval","familiarity","consistency","gender","age"
9,7,"consistent","male",22
8.33333333333333,7,"consistent","female",26
8.66666666666667,7,"consistent","male",35
7.33333333333333,7,"consistent","female",26
9,6,"consistent","male",39
4,5,"consistent","male",34
8.33333333333333,7,"consistent","female",30
8.66666666666667,7,"consistent","male",33
9,4,"consistent","male",24
8.33333333333333,7,"consistent","male",42
8.33333333333333,7,"consistent","female",35
8.33333333333333,6,"consistent","male",57
6,7,"consistent","male",38
5.66666666666667,7,"consistent","male",36
7.66666666666667,7,"consistent","female",33
7.66666666666667,7,"consistent","male",27
6.66666666666667,6,"consistent","female",56
4.66666666666667,5,"consistent","male",54
8,6,"consistent","male",38
6,5,"consistent","male",33
8.66666666666667,7,"consistent","male",51
9,7,"consistent","male",33
9,7,"consistent","female",30
8.33333333333333,7,"consistent","male",58
6,4,"consistent","female",28
7.66666666666667,6,"consistent","female",44
7.33333333333333,7,"consistent","male",21
8,5,"consistent","female",26
9,7,"consistent","male",43
9,7,"consistent","male",34
5.66666666666667,4,"consistent","female",39
7,6,"consistent","male",31
8.33333333333333,7,"consistent","male",33
9,7,"consistent","male",66
7,7,"consistent","male",25
7,5,"consistent","male",36
9,7,"consistent","female",38
8,7,"consistent","female",26
8,7,"consistent","male",49
9,7,"consistent","female",37
8,6,"consistent","female",31
8.33333333333333,7,"consistent","male",31
3.33333333333333,5,"consistent","male",45
5,5,"consistent","male",55
8,6,"consistent","male",20
7,7,"consistent","female",44
3.66666666666667,4,"consistent","female",24
8,7,"consistent","male",41
4.33333333333333,4,"inconsistent","female",21
7.33333333333333,7,"inconsistent","male",36
8,6,"inconsistent","male",37
7.33333333333333,6,"inconsistent","female",30
5,4,"inconsistent","male",36
8.33333333333333,7,"inconsistent","male",32
8.66666666666667,7,"inconsistent","male",51
6.33333333333333,6,"inconsistent","male",33
5.66666666666667,7,"inconsistent","male",31
4.66666666666667,5,"inconsistent","female",38
8,7,"inconsistent","male",34
3,7,"inconsistent","female",38
5,7,"inconsistent","male",29
8.66666666666667,6,"inconsistent","male",40
7.66666666666667,7,"inconsistent","female",22
7,7,"inconsistent","male",24
9,7,"inconsistent","female",36
9,7,"inconsistent","male",41
8.33333333333333,7,"inconsistent","male",47
8.33333333333333,7,"inconsistent","female",33
5.66666666666667,6,"inconsistent","male",40
7.33333333333333,7,"inconsistent","female",27
2.33333333333333,5,"inconsistent","female",32
8,7,"inconsistent","male",44
8,7,"inconsistent","male",43
9,7,"inconsistent","male",51
7,7,"inconsistent","male",26
9,7,"inconsistent","male",40
9,7,"inconsistent","male",60
3.33333333333333,7,"inconsistent","male",25
8,7,"inconsistent","male",37
8.66666666666667,7,"inconsistent","male",38
7.33333333333333,7,"inconsistent","female",35
7.33333333333333,7,"inconsistent","female",34
4.33333333333333,6,"inconsistent","male",21
7.33333333333333,6,"inconsistent","male",34
7,6,"inconsistent","female",33
7.66666666666667,4,"inconsistent","female",35
6,7,"inconsistent","female",68
5,7,"inconsistent","female",27
3.66666666666667,5,"inconsistent","male",43
9,7,"inconsistent","male",27
7,6,"inconsistent","male",31
7.66666666666667,6,"inconsistent","female",30
9,4,"inconsistent","male",35
6,7,"inconsistent","male",28
7,7,"inconsistent","male",49
8.66666666666667,7,"inconsistent","male",20
