"prodeval","fluency","familiarity","consistency","gender","age"
8,6,7,"inconsistent","female",48
7,2,5,"inconsistent","female",37
7.66666666666667,7,4,"inconsistent","male",47
7,5,5,"inconsistent","female",41
4.33333333333333,4.5,1,"consistent","male",32
7.66666666666667,5,5,"consistent","female",23
6,7,6,"consistent","female",25
7,7,5,"consistent","male",45
7,7,3,"inconsistent","male",24
7.66666666666667,7,1,"inconsistent","male",27
7,7,3,"inconsistent","male",32
9,7,1,"consistent","male",22
9,7,7,"consistent","male",66
8,6,1,"consistent","male",57
9,5,5,"consistent","female",76
7,5,3,"consistent","male",28
6.66666666666667,4.5,1,"inconsistent","male",65
6,4.5,3,"inconsistent","male",41
8.33333333333333,6,4,"inconsistent","male",44
7,6,1,"consistent","female",47
5.33333333333333,5,1,"consistent","male",34
7.33333333333333,7,5,"inconsistent","male",25
8,6,1,"inconsistent","male",23
9,6,4,"consistent","male",71
3.33333333333333,3,1,"inconsistent","male",31
3,2.5,4,"inconsistent","female",26
7,4.5,1,"consistent","female",61
6.33333333333333,5.5,3,"consistent","male",29
6.66666666666667,7,1,"consistent","female",32
7,6,5,"inconsistent","male",41
5.33333333333333,3.5,4,"consistent","female",33
5.66666666666667,5,1,"inconsistent","male",29
9,7,5,"consistent","female",53
9,7,4,"inconsistent","male",31
6.66666666666667,6,5,"consistent","male",46
5,5,2,"inconsistent","female",28
9,7,1,"inconsistent","male",32
6,5,4,"inconsistent","female",24
7.33333333333333,7,5,"inconsistent","male",40
8.33333333333333,6,3,"consistent","female",45
8,6,1,"consistent","male",51
9,7,7,"consistent","male",34
5.66666666666667,4,2,"inconsistent","female",53
6.33333333333333,7,3,"inconsistent","male",66
7.66666666666667,7,1,"consistent","female",22
7,5,5,"inconsistent","female",29
7.66666666666667,7,1,"consistent","female",60
4.33333333333333,6,7,"consistent","female",69
8,6,5,"inconsistent","female",28
7,7,4,"consistent","male",28
8.66666666666667,7,6,"consistent","female",28
8,7,5,"inconsistent","female",27
8.33333333333333,7,1,"consistent","female",46
5,4,4,"inconsistent","female",25
6,6.5,5,"consistent","male",26
8,7,1,"consistent","male",42
6,7,1,"inconsistent","male",33
5,7,6,"consistent","male",36
9,6,1,"inconsistent","male",65
5.33333333333333,4,5,"inconsistent","female",42
6,5.5,3,"inconsistent","male",29
8,6,5,"consistent","male",36
6.66666666666667,4,6,"inconsistent","female",28
6.33333333333333,7,2,"consistent","male",36
4.33333333333333,6,5,"inconsistent","male",42
6.33333333333333,5,3,"consistent","male",31
8,7,5,"inconsistent","male",46
8,7,6,"consistent","male",28
6.66666666666667,5.5,5,"inconsistent","male",33
7.33333333333333,4.5,3,"inconsistent","female",31
8.33333333333333,7,5,"consistent","male",28
8,7,1,"inconsistent","female",38
7,5.5,3,"inconsistent","male",30
6.66666666666667,6.5,7,"inconsistent","male",33
6.66666666666667,6,1,"consistent","female",36
7,7,5,"consistent","male",32
4,5.5,1,"inconsistent","male",26
7.33333333333333,6,1,"consistent","female",30
5,4,2,"inconsistent","male",45
7.33333333333333,5,2,"consistent","female",20
5.66666666666667,7,5,"inconsistent","male",26
9,7,7,"consistent","male",29
9,6,6,"consistent","female",36
7,7,3,"inconsistent","male",47
9,7,7,"consistent","male",25
9,7,1,"inconsistent","female",44
8.33333333333333,7,6,"inconsistent","male",33
6,6,6,"inconsistent","female",62
7.33333333333333,4,6,"consistent","male",25
7,5,3,"consistent","female",18
8,6,6,"inconsistent","male",56
6,5,1,"inconsistent","male",46
9,7,4,"consistent","male",33
7,7,1,"consistent","male",55
7.33333333333333,4,5,"inconsistent","male",34
9,6,7,"inconsistent","female",70
4.33333333333333,4.5,3,"consistent","male",23
5.33333333333333,5,2,"consistent","male",21
7,5,6,"inconsistent","male",37
9,7,1,"consistent","male",24
5,5,1,"inconsistent","female",39
6.66666666666667,3,1,"consistent","female",60
8,6,6,"consistent","female",30
5,2,4,"inconsistent","male",53
5,3,4,"inconsistent","female",41
7,6,3,"consistent","male",28
7.33333333333333,5,1,"consistent","female",26
6.33333333333333,5.5,6,"inconsistent","male",48
7.66666666666667,7,2,"consistent","female",24
7,5.5,3,"inconsistent","male",40
5.33333333333333,4.5,2,"consistent","female",32
7.33333333333333,7,6,"inconsistent","female",33
4,3.5,1,"consistent","female",51
