"apprec_resp","apprec_init","age_resp","gender_resp","age_init","gender_init"
4,4,20,"male",20,"male"
5,5,20,"female",24,"female"
5,4,21,"female",21,"female"
4,4,21,"male",20,"male"
5,5,20,"female",20,"female"
5,4,21,"male",20,"male"
5,5,20,"female",20,"female"
5,5,21,"female",22,"female"
5,5,21,"female",21,"female"
5,3,20,"female",20,"female"
5,5,22,"female",22,"female"
5,5,19,"other",18,"female"
5,5,21,"female",22,"female"
5,5,19,"female",20,"female"
5,5,22,"female",22,"female"
5,4,20,"female",21,"female"
5,4,21,"male",22,"male"
4,4,20,"female",20,"female"
5,5,21,"female",21,"female"
5,4,21,"female",21,"female"
5,5,20,"male",20,"male"
5,5,19,"female",20,"female"
5,4,21,"female",21,"female"
5,4,21,"male",21,"female"
4,3,20,"female",19,"female"
5,5,18,"female",19,"female"
5,5,21,"male",20,"female"
5,5,21,"male",20,"female"
5,5,22,"female",21,"female"
5,3,19,"female",22,"male"
5,5,21,"female",21,"female"
5,4,22,"female",21,"female"
5,4,21,"female",21,"female"
5,3,19,"female",19,"female"
3,4,19,"other",19,"female"
3,3,21,"male",21,"male"
3,3,20,"male",19,"female"
4,4,21,"female",21,"female"
5,4,19,"female",19,"female"
5,5,20,"female",20,"female"
5,5,20,"female",21,"female"
5,5,21,"male",22,"male"
5,3,23,"female",21,"female"
5,4,21,"female",19,"female"
5,5,22,"female",21,"female"
5,4,21,"male",21,"male"
5,5,20,"female",20,"female"
4,3,19,"male",20,"male"
5,5,20,"male",21,"male"
5,2,21,"female",21,"female"
5,2,20,"male",21,"male"
5,5,22,"male",22,"female"
5,4,21,"female",21,"female"
3,4,20,"male",20,"female"
4,4,21,"female",21,"female"
3,2,20,"male",21,"male"
5,5,21,"male",20,"male"
5,5,20,"female",19,"male"
5,3,21,"male",20,"male"
5,5,19,"female",20,"female"
5,5,22,"female",21,"female"
5,5,20,"male",20,"male"
5,5,22,"female",21,"female"
5,4,19,"female",19,"female"
5,4,19,"female",20,"female"
3,4,20,"female",20,"female"
5,5,19,"female",19,"female"
