"appreciation","surprise","condition","age","gender"
7,7,"other",20,"female"
6.5,6.5,"self",31,"male"
5,6,"self",37,"male"
5.75,5.5,"other",53,"female"
5.75,5.5,"other",53,"male"
5.5,5,"self",28,"female"
6,4,"self",40,"female"
7,7,"other",42,"female"
6.25,6,"other",21,"female"
7,7,"self",40,"female"
5.75,6.5,"self",31,"male"
7,6,"other",40,"male"
7,6.5,"self",26,"female"
7,7,"other",34,"female"
5.75,7,"self",23,"female"
7,7,"other",21,"male"
6.75,6,"self",21,"female"
7,6.5,"other",33,"female"
6,6,"self",37,"male"
5,5.5,"other",48,"male"
7,6,"other",23,"female"
6,6,"self",41,"female"
7,7,"self",27,"female"
7,5,"other",21,"female"
7,5.5,"other",21,"male"
5.5,7,"self",19,"female"
6,7,"other",23,"male"
6.75,7,"self",21,"female"
6,4.5,"self",46,"female"
7,4.5,"other",24,"female"
7,6.5,"other",23,"female"
6,5.5,"self",25,"female"
5.5,2,"self",23,"female"
6,7,"other",33,"female"
7,4,"self",46,"female"
7,7,"other",33,"female"
7,4,"self",22,"female"
7,7,"other",27,"male"
7,7,"other",43,"male"
5.75,7,"self",20,"female"
7,6.5,"other",23,"female"
7,6,"self",26,"female"
7,7,"self",20,"female"
6.25,5,"other",51,"male"
7,6.5,"self",20,"female"
5.5,6.5,"other",30,"male"
6,6,"other",44,"female"
4,6,"self",51,"male"
7,6,"self",19,"female"
7,7,"other",25,"female"
7,7,"other",26,"female"
7,7,"other",35,"male"
5.5,7,"self",18,"female"
3.5,7,"self",33,"female"
7,5.5,"self",20,"female"
7,7,"other",23,"female"
7,7,"other",21,"female"
7,6.5,"other",27,"female"
4.5,4,"self",21,"male"
7,6,"other",33,"female"
5.25,7,"self",22,"female"
6.5,6.5,"self",46,"male"
7,6.5,"other",20,"female"
7,6,"other",23,"female"
5.5,6,"self",36,"male"
7,7,"other",28,"female"
7,7,"self",23,"female"
5.75,5,"self",33,"male"
7,5.5,"self",21,"female"
6,7,"other",35,"male"
4,4,"self",19,"male"
7,7,"other",25,"female"
6.75,4,"other",23,"female"
6.5,7,"self",18,"male"
6.75,5.5,"self",19,"female"
6.5,6.5,"other",20,"female"
7,6.5,"self",19,"female"
7,7,"other",31,"female"
7,7,"other",36,"female"
5.5,6.5,"self",47,"male"
7,5.5,"other",18,"female"
6.25,6,"self",23,"female"
7,6.5,"other",22,"female"
6.25,7,"self",24,"female"
7,7,"other",20,"female"
7,6,"self",54,"male"
7,7,"other",31,"male"
7,6,"self",28,"male"
5.5,4,"self",36,"female"
7,7,"other",25,"female"
7,5.5,"other",24,"female"
7,7,"self",23,"female"
6,6,"other",30,"female"
7,7,"self",18,"other"
5,6.5,"self",20,"female"
7,7,"other",23,"female"
6.25,7,"other",40,"female"
2.5,6.5,"self",28,"female"
6.5,7,"other",26,"female"
6.25,6,"self",31,"female"
7,6.5,"other",35,"male"
6,4,"self",34,"female"
6.5,7,"self",20,"female"
7,6.5,"other",27,"female"
5,6.5,"self",30,"female"
6,6.5,"other",45,"male"
7,7,"other",23,"female"
7,5,"self",37,"female"
7,6,"other",21,"female"
7,7,"other",37,"male"
6.75,6,"self",21,"female"
7,4,"self",29,"female"
7,7,"other",22,"female"
7,6,"other",30,"female"
7,6,"self",41,"female"
7,7,"other",26,"female"
7,7,"self",31,"female"
6,7,"other",26,"female"
6.25,6,"other",29,"female"
7,7,"other",22,"female"
6,7,"self",76,"male"
6.5,6,"other",23,"female"
6.25,6,"self",24,"female"
5.5,5.5,"self",50,"male"
7,6.5,"self",20,"female"
5,6,"self",19,"female"
5,6.5,"other",22,"male"
5.75,5.5,"self",27,"female"
5.25,5,"self",51,"female"
6.75,6.5,"other",20,"male"
7,7,"other",34,"male"
7,5.5,"self",22,"female"
7,7,"self",19,"female"
7,7,"other",20,"female"
7,6.5,"self",20,"female"
4.75,5.5,"self",62,"female"
7,7,"other",28,"female"
7,5,"self",22,"female"
7,7,"other",34,"female"
7,7,"other",23,"female"
7,7,"self",19,"female"
6.75,6,"other",53,"male"
6.75,7,"other",65,"female"
6.5,7,"self",35,"female"
7,6.5,"other",33,"female"
5.5,5,"self",21,"female"
6,3,"self",31,"female"
7,7,"self",31,"female"
7,6,"other",24,"female"
7,7,"other",22,"female"
7,7,"other",47,"male"
7,6.5,"self",18,"female"
5.75,7,"self",29,"male"
6.5,6.5,"other",34,"male"
7,6,"self",25,"female"
2.75,1,"self",18,"male"
7,7,"other",25,"female"
6.5,7,"self",23,"female"
7,7,"other",28,"female"
5.5,6,"other",39,"female"
7,6.5,"self",26,"female"
7,5,"other",21,"female"
7,6,"other",40,"female"
7,7,"self",49,"female"
7,5.5,"self",19,"female"
5.75,7,"other",26,"male"
6.5,6,"self",26,"male"
7,6,"other",22,"female"
4.75,7,"other",19,"female"
7,7,"other",25,"female"
6.5,6.5,"self",52,"male"
6,5.5,"self",42,"female"
7,7,"self",28,"female"
6,7,"other",19,"female"
6,7,"self",22,"female"
7,5,"other",27,"female"
6.25,6.5,"self",42,"female"
5.25,5.5,"other",28,"male"
7,5.5,"self",18,"female"
7,7,"other",34,"male"
7,2.5,"other",22,"female"
7,7,"other",23,"female"
7,7,"self",20,"female"
6,7,"self",23,"female"
7,4,"other",36,"male"
6,7,"self",18,"female"
7,7,"other",19,"female"
4.5,4.5,"self",33,"male"
7,5.5,"other",18,"female"
7,6.5,"other",21,"female"
7,5.5,"self",31,"male"
5.25,6.5,"self",20,"female"
6,5,"self",21,"female"
6.5,5.5,"self",21,"female"
7,7,"other",18,"female"
6.5,6,"other",20,"female"
6.5,7,"self",27,"female"
7,1,"other",27,"female"
7,7,"other",25,"female"
7,7,"self",24,"female"
7,1,"self",37,"female"
5.5,5.5,"self",27,"female"
7,7,"other",20,"female"
7,7,"other",24,"male"
6.75,7,"other",20,"female"
7,5.5,"self",19,"female"
7,7,"other",26,"female"
3.25,2.5,"self",20,"female"
7,6,"other",19,"female"
7,5.5,"self",23,"female"
6.5,7,"self",51,"female"
7,6.5,"other",33,"female"
7,4,"other",26,"male"
7,5,"self",24,"female"
7,6,"self",27,"female"
6.75,7,"self",24,"female"
7,7,"other",22,"female"
7,7,"other",18,"female"
7,7,"self",24,"female"
2.5,6.5,"self",22,"female"
6.25,5,"other",26,"male"
6.25,3,"self",26,"female"
7,5,"other",27,"female"
7,7,"other",25,"female"
7,7,"self",33,"female"
7,3.5,"self",36,"female"
7,6.5,"self",23,"female"
6.5,6.5,"other",18,"female"
7,6,"self",20,"female"
6.5,6.5,"other",22,"female"
7,6,"other",54,"female"
6,6,"other",23,"female"
4.75,1,"self",46,"female"
4,4.5,"self",34,"male"
7,5.5,"other",41,"female"
7,7,"self",34,"female"
7,5,"other",32,"female"
7,7,"other",23,"female"
6.75,6.5,"self",23,"female"
7,4,"self",23,"female"
6.75,6.5,"self",18,"female"
6.5,6,"self",56,"female"
7,7,"other",22,"female"
7,6,"other",33,"female"
6.75,7,"other",70,"female"
7,5,"other",32,"female"
6,5,"other",51,"male"
7,7,"self",33,"male"
5.5,7,"self",31,"male"
7,5,"self",31,"female"
5,6.5,"other",20,"female"
7,5,"other",22,"female"
7,6,"self",35,"male"
7,7,"other",35,"female"
6,7,"self",21,"female"
7,6,"other",21,"female"
3,7,"self",52,"female"
6,6,"other",23,"female"
7,7,"other",29,"female"
6,6.5,"self",29,"female"
7,5,"self",26,"female"
7,5,"self",25,"female"
7,6,"other",27,"female"
7,7,"other",46,"male"
7,7,"other",26,"female"
7,7,"self",22,"male"
7,4,"other",23,"female"
5.75,7,"other",18,"female"
5,7,"self",30,"female"
6,4.5,"self",21,"female"
7,7,"other",18,"female"
6,5,"self",28,"female"
6,5.5,"self",21,"male"
6,7,"self",23,"female"
5.75,6,"other",19,"female"
6,5.5,"self",20,"male"
7,6,"other",24,"female"
5.75,6.5,"other",29,"male"
5.5,6,"other",28,"male"
7,7,"other",20,"female"
6.5,5.5,"self",19,"female"
7,7,"other",18,"other"
6.75,5.5,"self",32,"female"
6.5,6.5,"self",19,"female"
6.25,6,"self",28,"female"
5.75,7,"self",50,"female"
3.75,4,"self",19,"female"
7,6,"other",23,"female"
7,7,"other",56,"female"
6,5,"other",22,"female"
7,7,"other",22,"female"
6,7,"self",35,"female"
7,7,"other",30,"female"
6.75,5,"self",29,"female"
5.25,2.5,"self",22,"female"
7,7,"other",18,"female"
7,7,"other",23,"female"
6.25,6,"self",20,"female"
7,7,"self",30,"female"
5.5,6,"self",18,"female"
7,6.5,"other",32,"female"
7,6,"self",43,"male"
6,5.5,"other",22,"male"
6,7,"self",28,"male"
6,7,"other",69,"female"
7,7,"other",37,"female"
6,6,"other",25,"female"
7,6.5,"self",21,"female"
7,7,"self",31,"male"
6.75,7,"self",45,"male"
7,6,"self",25,"female"
5,7,"self",31,"female"
6.25,7,"other",24,"female"
7,7,"other",23,"female"
7,7,"self",28,"female"
7,7,"other",50,"female"
6.75,7,"self",25,"female"
7,7,"other",22,"female"
7,5,"other",22,"female"
7,6,"other",31,"female"
7,7,"other",55,"female"
7,5.5,"self",37,"female"
7,7,"self",33,"female"
6.75,7,"other",22,"female"
7,4.5,"self",37,"female"
7,7,"other",24,"female"
5.75,7,"other",26,"female"
7,6,"self",20,"female"
4.25,7,"other",28,"female"
6,5,"other",27,"female"
5.5,4,"other",22,"female"
6,6.5,"self",28,"female"
7,5,"self",35,"female"
6.75,5.5,"other",71,"female"
6.75,7,"self",19,"female"
7,7,"self",22,"female"
6,6,"other",31,"female"
6,5.5,"other",22,"other"
6.5,6.5,"self",25,"female"
7,7,"self",20,"male"
6,4,"self",34,"male"
7,3.5,"other",22,"female"
7,7,"other",24,"female"
3.5,2,"self",57,"female"
6,7,"other",31,"male"
4.25,6,"self",19,"female"
7,7,"other",27,"female"
4,4.5,"other",33,"female"
4.25,6.5,"self",22,"female"
7,6.5,"self",21,"female"
7,5,"self",25,"female"
7,7,"other",23,"female"
6.75,7,"other",18,"female"
6,5.5,"self",22,"male"
7,7,"other",24,"female"
7,7,"self",22,"female"
7,6,"other",21,"female"
6,6,"self",21,"female"
6.5,3.5,"other",38,"female"
5,6.5,"self",20,"female"
7,4.5,"other",18,"female"
5.75,7,"other",20,"female"
6.75,4,"self",28,"male"
7,5.5,"self",50,"male"
7,6,"other",20,"female"
7,7,"self",21,"female"
6.75,7,"self",27,"female"
7,7,"self",20,"female"
7,6,"other",21,"female"
6,5,"other",25,"female"
6,6.5,"self",18,"female"
7,7,"self",20,"female"
7,7,"self",34,"female"
7,7,"other",25,"female"
7,7,"self",23,"female"
7,7,"other",25,"male"
5.5,6,"other",23,"female"
6.75,7,"self",25,"female"
7,5.5,"other",30,"female"
6.25,5,"self",30,"male"
7,7,"other",20,"female"
6.5,6,"other",31,"female"
7,7,"self",33,"female"
7,7,"other",25,"female"
4,7,"self",22,"female"
5.75,5.5,"self",42,"male"
7,6,"self",21,"female"
7,7,"self",24,"female"
7,5.5,"self",24,"female"
7,4,"other",19,"female"
6,6,"self",27,"female"
7,7,"other",35,"female"
7,7,"other",55,"female"
5.75,5.5,"self",24,"female"
7,7,"other",68,"female"
6.25,7,"other",30,"female"
7,7,"other",52,"male"
6.75,4,"other",35,"female"
5,3.5,"self",22,"female"
7,7,"other",25,"female"
6.25,5,"other",30,"male"
7,5.5,"self",22,"female"
