"id","lab","taskorder","timing","age","mcorrect","frequency"
"Austria_01","Austria","first","delayed","10yo",3,"sometimes"
"Austria_01","Austria","point-and-name","point-and-name","10yo",4,"sometimes"
"Austria_01","Austria","second","immediate","10yo",4,"sometimes"
"Austria_02","Austria","first","delayed","10yo",4,"sometimes"
"Austria_02","Austria","point-and-name","point-and-name","10yo",4,"sometimes"
"Austria_02","Austria","second","immediate","10yo",5,"sometimes"
"Austria_03","Austria","first","delayed","6yo",4,"usually"
"Austria_03","Austria","point-and-name","point-and-name","6yo",3,"usually"
"Austria_03","Austria","second","immediate","6yo",4,"usually"
"Austria_04","Austria","first","delayed","10yo",5,"sometimes"
"Austria_04","Austria","point-and-name","point-and-name","10yo",5,"sometimes"
"Austria_04","Austria","second","immediate","10yo",5,"sometimes"
"Austria_05","Austria","first","immediate","5yo",2,"usually"
"Austria_05","Austria","point-and-name","point-and-name","5yo",3,"usually"
"Austria_05","Austria","second","delayed","5yo",3,"usually"
"Austria_06","Austria","first","immediate","6yo",2,"never"
"Austria_06","Austria","point-and-name","point-and-name","6yo",3,"never"
"Austria_06","Austria","second","delayed","6yo",1,"never"
"Austria_07","Austria","first","immediate","5yo",3,"usually"
"Austria_07","Austria","point-and-name","point-and-name","5yo",3,"usually"
"Austria_07","Austria","second","delayed","5yo",2,"usually"
"Austria_08","Austria","first","immediate","5yo",1,"usually"
"Austria_08","Austria","point-and-name","point-and-name","5yo",4,"usually"
"Austria_08","Austria","second","delayed","5yo",2,"usually"
"Austria_10","Austria","first","delayed","10yo",5,"usually"
"Austria_10","Austria","point-and-name","point-and-name","10yo",3,"usually"
"Austria_10","Austria","second","immediate","10yo",4,"usually"
"Austria_11","Austria","first","delayed","7yo",4,"usually"
"Austria_11","Austria","point-and-name","point-and-name","7yo",3,"usually"
"Austria_11","Austria","second","immediate","7yo",3,"usually"
"Austria_12","Austria","first","delayed","5yo",3,"usually"
"Austria_12","Austria","point-and-name","point-and-name","5yo",2,"usually"
"Austria_12","Austria","second","immediate","5yo",3,"usually"
"Austria_14","Austria","first","delayed","7yo",3,"usually"
"Austria_14","Austria","point-and-name","point-and-name","7yo",3,"usually"
"Austria_14","Austria","second","immediate","7yo",5,"usually"
"Austria_17","Austria","first","immediate","10yo",5,"usually"
"Austria_17","Austria","point-and-name","point-and-name","10yo",4,"usually"
"Austria_17","Austria","second","delayed","10yo",5,"usually"
"Austria_18","Austria","first","delayed","7yo",3,"usually"
"Austria_18","Austria","point-and-name","point-and-name","7yo",4,"usually"
"Austria_18","Austria","second","immediate","7yo",4,"usually"
"Austria_19","Austria","first","delayed","6yo",4,"never"
"Austria_19","Austria","point-and-name","point-and-name","6yo",4,"never"
"Austria_19","Austria","second","immediate","6yo",2,"never"
"Austria_20","Austria","first","immediate","7yo",3,"usually"
"Austria_20","Austria","point-and-name","point-and-name","7yo",2,"usually"
"Austria_20","Austria","second","delayed","7yo",3,"usually"
"Austria_21","Austria","first","delayed","7yo",5,"usually"
"Austria_21","Austria","point-and-name","point-and-name","7yo",4,"usually"
"Austria_21","Austria","second","immediate","7yo",5,"usually"
"Austria_23","Austria","first","immediate","6yo",3,"usually"
"Austria_23","Austria","point-and-name","point-and-name","6yo",2,"usually"
"Austria_23","Austria","second","delayed","6yo",1,"usually"
"Austria_25","Austria","first","delayed","10yo",4,"usually"
"Austria_25","Austria","point-and-name","point-and-name","10yo",4,"usually"
"Austria_25","Austria","second","immediate","10yo",4,"usually"
"Austria_27","Austria","first","delayed","5yo",3,"usually"
"Austria_27","Austria","point-and-name","point-and-name","5yo",4,"usually"
"Austria_27","Austria","second","immediate","5yo",4,"usually"
"Austria_28","Austria","first","delayed","6yo",4,"usually"
"Austria_28","Austria","point-and-name","point-and-name","6yo",3,"usually"
"Austria_28","Austria","second","immediate","6yo",3,"usually"
"Austria_29","Austria","first","immediate","7yo",4,"usually"
"Austria_29","Austria","point-and-name","point-and-name","7yo",5,"usually"
"Austria_29","Austria","second","delayed","7yo",5,"usually"
"Austria_30","Austria","first","immediate","7yo",3,"usually"
"Austria_30","Austria","point-and-name","point-and-name","7yo",3,"usually"
"Austria_30","Austria","second","delayed","7yo",2,"usually"
"Austria_32","Austria","first","immediate","7yo",4,"usually"
"Austria_32","Austria","point-and-name","point-and-name","7yo",3,"usually"
"Austria_32","Austria","second","delayed","7yo",2,"usually"
"Austria_33","Austria","first","immediate","5yo",3,"usually"
"Austria_33","Austria","point-and-name","point-and-name","5yo",3,"usually"
"Austria_33","Austria","second","delayed","5yo",3,"usually"
"Austria_34","Austria","first","delayed","5yo",4,"usually"
"Austria_34","Austria","point-and-name","point-and-name","5yo",3,"usually"
"Austria_34","Austria","second","immediate","5yo",2,"usually"
"Austria_35","Austria","first","delayed","6yo",2,"usually"
"Austria_35","Austria","point-and-name","point-and-name","6yo",4,"usually"
"Austria_35","Austria","second","immediate","6yo",4,"usually"
"Austria_36","Austria","first","immediate","6yo",5,"sometimes"
"Austria_36","Austria","point-and-name","point-and-name","6yo",3,"sometimes"
"Austria_36","Austria","second","delayed","6yo",3,"sometimes"
"Austria_37","Austria","first","immediate","7yo",3,"usually"
"Austria_37","Austria","point-and-name","point-and-name","7yo",3,"usually"
"Austria_37","Austria","second","delayed","7yo",3,"usually"
"Austria_38","Austria","first","delayed","10yo",4,"usually"
"Austria_38","Austria","point-and-name","point-and-name","10yo",5,"usually"
"Austria_38","Austria","second","immediate","10yo",4,"usually"
"Austria_39","Austria","first","delayed","10yo",3,"usually"
"Austria_39","Austria","point-and-name","point-and-name","10yo",4,"usually"
"Austria_39","Austria","second","immediate","10yo",2,"usually"
"Austria_41","Austria","first","delayed","5yo",2,"never"
"Austria_41","Austria","point-and-name","point-and-name","5yo",2,"never"
"Austria_41","Austria","second","immediate","5yo",1,"never"
"Austria_42","Austria","first","delayed","6yo",3,"usually"
"Austria_42","Austria","point-and-name","point-and-name","6yo",4,"usually"
"Austria_42","Austria","second","immediate","6yo",2,"usually"
"Bristol_1001","Bristol","first","delayed","5yo",1,"sometimes"
"Bristol_1001","Bristol","point-and-name","point-and-name","5yo",3,"sometimes"
"Bristol_1001","Bristol","second","immediate","5yo",4,"sometimes"
"Bristol_1002","Bristol","first","immediate","5yo",2,"never"
"Bristol_1002","Bristol","point-and-name","point-and-name","5yo",1,"never"
"Bristol_1002","Bristol","second","delayed","5yo",2,"never"
"Bristol_1003","Bristol","first","immediate","5yo",1,"never"
"Bristol_1003","Bristol","point-and-name","point-and-name","5yo",3,"never"
"Bristol_1003","Bristol","second","delayed","5yo",1,"never"
"Bristol_2001","Bristol","first","immediate","6yo",4,"usually"
"Bristol_2001","Bristol","point-and-name","point-and-name","6yo",3,"usually"
"Bristol_2001","Bristol","second","delayed","6yo",4,"usually"
"Bristol_2002","Bristol","first","immediate","6yo",2,"usually"
"Bristol_2002","Bristol","point-and-name","point-and-name","6yo",2,"usually"
"Bristol_2002","Bristol","second","delayed","6yo",4,"usually"
"Bristol_2004","Bristol","first","delayed","6yo",1,"sometimes"
"Bristol_2004","Bristol","point-and-name","point-and-name","6yo",2,"sometimes"
"Bristol_2004","Bristol","second","immediate","6yo",1,"sometimes"
