"donate","condition","amount"
0,"open-ended",NA
0,"open-ended",NA
0,"quantity",NA
0,"quantity",NA
0,"quantity",NA
0,"open-ended",NA
0,"quantity",NA
0,"open-ended",NA
0,"quantity",NA
0,"quantity",NA
0,"quantity",NA
1,"open-ended",1
0,"quantity",NA
0,"quantity",NA
1,"quantity",1
0,"open-ended",NA
0,"quantity",NA
0,"open-ended",NA
1,"quantity",3
0,"quantity",NA
0,"open-ended",NA
1,"open-ended",3
1,"quantity",1
0,"quantity",NA
0,"quantity",NA
1,"open-ended",2
1,"open-ended",2
0,"quantity",NA
1,"quantity",2
1,"quantity",2
0,"open-ended",NA
1,"quantity",2
1,"quantity",3
1,"open-ended",1
1,"open-ended",3
0,"open-ended",NA
0,"open-ended",NA
0,"open-ended",NA
1,"quantity",3
0,"open-ended",NA
1,"quantity",3
1,"quantity",3
1,"quantity",1
1,"open-ended",3
1,"quantity",3
1,"quantity",1
0,"open-ended",NA
0,"open-ended",NA
0,"quantity",NA
1,"quantity",3
1,"open-ended",1
0,"open-ended",NA
1,"open-ended",1
0,"quantity",NA
1,"quantity",1
1,"quantity",3
1,"quantity",3
0,"open-ended",NA
1,"open-ended",3
1,"quantity",3
0,"quantity",NA
1,"open-ended",1
1,"open-ended",3
0,"open-ended",NA
0,"open-ended",NA
1,"quantity",3
1,"open-ended",2
1,"open-ended",1
1,"open-ended",3
1,"open-ended",2
1,"quantity",1
1,"open-ended",3
1,"quantity",3
0,"quantity",NA
0,"open-ended",NA
1,"quantity",3
1,"open-ended",1
0,"quantity",NA
0,"open-ended",NA
1,"quantity",1
1,"quantity",1
1,"open-ended",3
0,"open-ended",NA
1,"open-ended",3
0,"open-ended",NA
0,"quantity",NA
1,"open-ended",3
0,"quantity",NA
0,"open-ended",NA
0,"open-ended",NA
1,"open-ended",1
0,"open-ended",NA
1,"quantity",3
1,"quantity",1
1,"quantity",3
1,"quantity",3
0,"open-ended",NA
1,"quantity",3
0,"quantity",NA
0,"quantity",NA
0,"quantity",NA
0,"open-ended",NA
1,"quantity",3
1,"quantity",2
1,"open-ended",2
1,"open-ended",3
0,"open-ended",NA
1,"open-ended",3
0,"open-ended",NA
1,"open-ended",3
0,"quantity",NA
0,"open-ended",NA
1,"open-ended",3
1,"open-ended",3
1,"quantity",1
1,"open-ended",3
0,"quantity",NA
0,"open-ended",NA
1,"open-ended",1
1,"quantity",3
0,"quantity",NA
0,"open-ended",NA
0,"quantity",NA
0,"open-ended",NA
0,"open-ended",NA
1,"open-ended",2
0,"open-ended",NA
0,"open-ended",NA
0,"open-ended",NA
1,"quantity",2
1,"quantity",3
1,"open-ended",2
0,"open-ended",NA
1,"open-ended",3
1,"quantity",1
1,"open-ended",2
0,"open-ended",NA
1,"quantity",1
0,"open-ended",NA
1,"quantity",1
0,"open-ended",NA
1,"open-ended",2
0,"open-ended",NA
1,"open-ended",2
1,"open-ended",1
0,"quantity",NA
0,"open-ended",NA
0,"quantity",NA
0,"quantity",NA
1,"quantity",3
1,"quantity",1
0,"open-ended",NA
0,"open-ended",NA
0,"open-ended",NA
0,"open-ended",NA
0,"open-ended",NA
0,"open-ended",NA
1,"quantity",1
0,"open-ended",NA
0,"open-ended",NA
0,"quantity",NA
1,"open-ended",2
1,"quantity",3
1,"quantity",3
1,"open-ended",1
1,"quantity",1
0,"open-ended",NA
1,"quantity",1
1,"quantity",3
0,"open-ended",NA
1,"open-ended",3
1,"quantity",3
1,"open-ended",1
1,"open-ended",3
1,"quantity",3
