"change","regfocus","fluency","engagement","fairness","dopenness","promem","prevem","gender","age","tenure","hours_week"
"negative","prevention",7,4,1.16666666666667,1.625,3.77777777777778,4.22222222222222,"male",49,21,26
"positive","prevention",4,3.66666666666667,2.5,2.75,4,4.44444444444444,"male",NA,NA,NA
"positive","promotion",2.66666666666667,1.66666666666667,1.66666666666667,2.375,3,3.44444444444444,"female",49,28,26
"positive","prevention",5.66666666666667,4.33333333333333,1.16666666666667,3,3.55555555555556,4.11111111111111,"female",43,22,46
"positive","prevention",5.66666666666667,3.33333333333333,1.33333333333333,1.625,3,2.88888888888889,NA,NA,36,20
"positive","promotion",4,6,1,3,4.66666666666667,4.77777777777778,"female",30,7,25
"negative","prevention",3.66666666666667,2,1.5,1.875,3,4,"female",33,3,42
"positive","promotion",5.66666666666667,4.33333333333333,3,2.75,3.77777777777778,4.77777777777778,"female",48,26,27
"negative","prevention",3,3,2.16666666666667,2.875,4.22222222222222,4.88888888888889,"female",26,2,14
"positive","promotion",6.33333333333333,6.33333333333333,2.66666666666667,2.875,3.22222222222222,4.77777777777778,"female",45,23,44
"positive","promotion",5.66666666666667,2,1.33333333333333,2.375,3.33333333333333,4.77777777777778,"female",49,26,20
"positive","promotion",6.33333333333333,4.66666666666667,2.33333333333333,4.125,3.44444444444444,4.66666666666667,"female",50,27,26
"positive","prevention",2.33333333333333,1.33333333333333,1.16666666666667,1.65,2.77777777777778,3.33333333333333,"female",55,35,40
"negative","promotion",5.66666666666667,4.66666666666667,3,3.5,4.33333333333333,4.44444444444444,"female",41,15,45
"positive","prevention",4,4,3,3,3.88888888888889,4.77777777777778,"female",28,6,25
"negative","prevention",4.33333333333333,4.33333333333333,1,1.5,3.66666666666667,4.33333333333333,"female",50,30,40
"positive","promotion",5.66666666666667,2,1.33333333333333,2.375,3.33333333333333,4.77777777777778,"female",50,26,20
"positive","prevention",2.33333333333333,1.33333333333333,1.16666666666667,1.611,2.77777777777778,3.33333333333333,"female",55,34,40
"negative","promotion",6.33333333333333,7,2.16666666666667,1.375,3.77777777777778,4.55555555555556,"female",46,20,20
"negative","promotion",4,4.33333333333333,4,4.5,4,4.11111111111111,"female",58,35,30
"positive","prevention",2,5,1.33333333333333,2.625,3.22222222222222,3.66666666666667,"female",55,23,24
"negative","promotion",2,3,1,1,3.11111111111111,3.88888888888889,"female",55,30,3
"positive","promotion",2,2.66666666666667,1.33333333333333,2.14285714285714,3.11111111111111,4.88888888888889,"female",52,25,20
"positive","promotion",6,7,1,3.5,4.33333333333333,4.55555555555556,"female",40,20,26
