"prior","post","condition"
100,100,"Boost"
75,-90,"consensus"
25,-50,"BoostPlus"
56,87,"consensus"
60,-40,"Boost"
100,100,"BoostPlus"
63,-40,"BoostPlus"
20,-60,"consensus"
17,15,"Boost"
100,40,"consensus"
80,60,"BoostPlus"
32,-52,"Boost"
39,42,"consensus"
69,8,"BoostPlus"
14,-62,"consensus"
54,58,"Boost"
30,-20,"Boost"
70,-21,"BoostPlus"
24,43,"consensus"
25,0,"consensus"
32,21,"consensus"
60,0,"Boost"
95,95,"consensus"
40,39,"consensus"
53,0,"Boost"
10,-28,"Boost"
65,51,"consensus"
85,65,"Boost"
85,60,"Boost"
35,5,"BoostPlus"
51,-80,"Boost"
75,-73,"consensus"
42,-23,"consensus"
100,100,"Boost"
100,0,"BoostPlus"
90,40,"BoostPlus"
82,83,"Boost"
94,70,"Boost"
21,-61,"consensus"
62,0,"BoostPlus"
100,100,"Boost"
89,67,"BoostPlus"
61,-96,"consensus"
22,20,"BoostPlus"
20,-95,"BoostPlus"
40,-20,"BoostPlus"
10,-12,"Boost"
15,-5,"consensus"
20,0,"consensus"
25,25,"BoostPlus"
21,-75,"BoostPlus"
23,-19,"BoostPlus"
50,0,"Boost"
100,93,"consensus"
100,82,"Boost"
95,95,"Boost"
63,-53,"Boost"
29,29,"Boost"
71,40,"consensus"
62,62,"consensus"
60,-8,"consensus"
14,-32,"BoostPlus"
23,19,"consensus"
25,20,"consensus"
85,85,"Boost"
80,80,"BoostPlus"
82,19,"BoostPlus"
61,86,"BoostPlus"
97,97,"consensus"
30,-71,"BoostPlus"
95,95,"BoostPlus"
20,-61,"BoostPlus"
100,92,"BoostPlus"
90,75,"consensus"
52,50,"BoostPlus"
63,37,"BoostPlus"
32,-89,"BoostPlus"
90,80,"Boost"
76,53,"Boost"
22,-23,"consensus"
100,100,"Boost"
100,31,"consensus"
45,0,"consensus"
82,71,"consensus"
41,-68,"BoostPlus"
53,45,"consensus"
32,20,"Boost"
52,0,"Boost"
62,41,"Boost"
60,-20,"Boost"
56,-42,"consensus"
63,52,"BoostPlus"
70,20,"Boost"
100,64,"Boost"
80,64,"consensus"
20,0,"BoostPlus"
82,82,"consensus"
20,0,"consensus"
93,43,"BoostPlus"
21,-41,"Boost"
20,0,"consensus"
97,21,"consensus"
100,96,"Boost"
22,-72,"Boost"
85,0,"consensus"
41,-20,"BoostPlus"
20,58,"Boost"
70,70,"BoostPlus"
70,65,"BoostPlus"
57,57,"BoostPlus"
24,-73,"Boost"
79,71,"consensus"
11,8,"consensus"
100,100,"Boost"
75,50,"Boost"
40,20,"Boost"
52,-74,"consensus"
16,-16,"consensus"
100,86,"Boost"
85,85,"BoostPlus"
94,93,"BoostPlus"
42,-71,"Boost"
41,-80,"BoostPlus"
85,85,"consensus"
77,-62,"consensus"
50,30,"BoostPlus"
27,-54,"consensus"
20,-50,"Boost"
29,-41,"Boost"
67,5,"consensus"
73,3,"BoostPlus"
80,70,"Boost"
75,0,"BoostPlus"
95,95,"Boost"
