"prior","post","condition","nconsensus","trust"
32,-41,"control",0,5
95,80,"consensus",0,4
32,-21,"BoostPlus",2,6
40,0,"BoostPlus",2,4
46,-15,"consensus",0,4
64,27,"control",0,4
100,0,"control",1,5
90,90,"consensus",1,4
45,45,"consensus",0,5
75,73,"control",0,4
20,20,"control",0,6
21,0,"consensus",1,5
4,44,"BoostPlus",0,4
65,70,"control",0,2
96,0,"consensus",0,5
18,-13,"control",1,5
11,-12,"BoostPlus",1,5
80,-100,"BoostPlus",0,7
20,10,"control",2,5
20,-40,"BoostPlus",1,5
100,-70,"consensus",0,6
100,-85,"BoostPlus",2,6
15,28,"control",1,4
90,40,"control",1,6
100,100,"consensus",0,1
21,-62,"consensus",2,5
84,-21,"consensus",1,2
90,85,"BoostPlus",2,3
69,-52,"consensus",1,5
80,13,"control",0,6
62,-50,"control",1,7
10,-60,"consensus",0,6
33,6,"control",1,5
50,50,"BoostPlus",0,4
3,0,"BoostPlus",1,7
90,43,"control",1,7
88,95,"control",0,6
41,2,"BoostPlus",0,4
100,100,"BoostPlus",1,6
29,13,"control",1,2
50,40,"consensus",0,6
40,-40,"BoostPlus",1,6
90,90,"control",0,1
70,0,"BoostPlus",2,4
39,41,"BoostPlus",1,7
50,40,"control",0,6
90,50,"control",1,7
40,23,"consensus",0,5
100,9,"control",0,4
60,-60,"BoostPlus",0,5
38,-38,"BoostPlus",1,5
33,30,"BoostPlus",0,5
71,51,"consensus",1,5
41,28,"control",2,6
21,-17,"consensus",0,6
80,0,"BoostPlus",0,4
43,-71,"consensus",1,6
20,20,"control",1,5
87,75,"control",1,4
100,100,"consensus",1,3
100,45,"control",0,4
83,-22,"consensus",0,4
62,63,"control",0,4
76,78,"BoostPlus",1,7
100,70,"control",0,5
44,-83,"consensus",2,7
71,77,"consensus",1,5
82,59,"BoostPlus",2,4
18,-35,"control",1,6
100,78,"BoostPlus",1,2
98,100,"consensus",0,7
73,50,"consensus",1,2
71,-75,"BoostPlus",2,6
45,45,"control",1,7
90,-41,"consensus",1,5
43,2,"BoostPlus",2,6
61,-20,"BoostPlus",2,6
90,30,"consensus",1,6
15,80,"BoostPlus",0,4
76,100,"control",0,3
73,42,"BoostPlus",1,4
41,30,"control",1,2
81,0,"consensus",1,5
14,4,"control",0,6
100,100,"consensus",1,7
40,-68,"BoostPlus",1,3
70,35,"control",1,6
100,50,"consensus",0,4
28,60,"consensus",0,5
85,80,"control",1,7
100,100,"BoostPlus",1,6
38,15,"consensus",0,2
100,-2,"consensus",1,4
34,13,"BoostPlus",0,6
83,58,"control",0,6
100,63,"control",0,5
50,20,"BoostPlus",1,6
10,-30,"consensus",1,5
45,41,"control",0,5
17,-35,"BoostPlus",1,6
40,69,"control",0,4
43,19,"consensus",0,6
41,0,"consensus",0,3
77,80,"control",0,3
56,72,"consensus",0,7
100,-51,"consensus",0,4
20,-21,"consensus",1,5
40,19,"control",0,6
10,10,"control",1,6
19,10,"consensus",0,6
46,-4,"consensus",1,5
100,-100,"BoostPlus",0,6
72,74,"BoostPlus",3,2
65,-71,"BoostPlus",2,7
39,22,"consensus",1,6
40,20,"BoostPlus",0,5
42,65,"consensus",0,5
71,60,"BoostPlus",0,7
35,-15,"consensus",1,5
77,80,"control",0,4
97,91,"control",0,1
25,25,"consensus",0,3
65,45,"BoostPlus",1,5
69,69,"consensus",0,2
95,26,"control",1,6
20,-10,"control",1,6
82,75,"control",2,4
60,18,"consensus",1,6
100,19,"control",1,5
80,0,"control",0,3
70,34,"consensus",1,6
94,95,"BoostPlus",1,1
100,-62,"BoostPlus",1,3
90,-90,"consensus",1,4
42,-61,"consensus",0,6
82,82,"control",1,1
79,58,"consensus",0,6
71,82,"BoostPlus",1,4
50,-30,"control",0,5
34,-40,"control",0,5
10,6,"consensus",0,4
97,96,"BoostPlus",1,3
86,-21,"control",0,7
24,85,"BoostPlus",0,6
94,89,"BoostPlus",1,6
30,-80,"BoostPlus",1,7
54,-92,"BoostPlus",2,6
40,0,"consensus",0,6
75,41,"BoostPlus",0,6
50,22,"control",1,3
21,-81,"BoostPlus",0,5
20,20,"control",1,6
19,0,"consensus",1,5
50,0,"BoostPlus",0,7
41,20,"control",0,3
62,-21,"BoostPlus",1,7
33,-39,"consensus",1,6
93,94,"consensus",0,4
43,27,"control",1,5
39,26,"BoostPlus",0,6
20,-60,"BoostPlus",1,6
40,41,"control",0,1
61,0,"control",1,5
85,86,"consensus",0,6
89,58,"BoostPlus",0,3
88,57,"consensus",1,6
95,0,"control",0,6
45,-22,"control",1,6
50,0,"BoostPlus",3,4
8,-83,"control",0,6
40,0,"consensus",1,4
95,94,"control",0,4
33,21,"control",0,6
90,89,"BoostPlus",0,1
95,-42,"BoostPlus",3,6
64,63,"consensus",1,3
2,-38,"control",1,4
21,-71,"consensus",0,5
45,21,"BoostPlus",2,4
85,40,"BoostPlus",0,3
60,-43,"BoostPlus",1,5
65,56,"control",0,4
44,100,"control",0,4
100,75,"BoostPlus",1,3
62,42,"control",2,6
3,-29,"BoostPlus",1,6
5,-15,"control",1,5
52,20,"control",0,4
24,23,"consensus",3,3
82,62,"consensus",1,6
60,60,"control",0,6
100,94,"consensus",0,2
31,23,"BoostPlus",0,5
35,-17,"BoostPlus",1,6
82,20,"consensus",1,6
45,-61,"BoostPlus",1,6
21,-40,"consensus",1,6
46,-18,"consensus",0,5
20,0,"consensus",0,7
76,75,"BoostPlus",2,6
20,-91,"control",1,5
100,-22,"BoostPlus",1,5
50,-90,"consensus",2,7
84,-88,"BoostPlus",0,6
81,81,"control",1,4
41,0,"consensus",2,5
15,0,"control",1,6
70,30,"control",0,6
80,80,"consensus",0,5
100,80,"consensus",1,5
75,-22,"consensus",1,6
56,47,"consensus",0,5
75,40,"control",1,7
100,96,"control",1,1
20,15,"BoostPlus",1,4
71,42,"control",0,2
20,-67,"control",1,5
40,25,"control",1,5
58,-21,"BoostPlus",1,6
40,-26,"control",0,4
84,53,"consensus",0,6
51,-79,"BoostPlus",3,6
72,48,"control",0,6
20,20,"consensus",2,5
64,17,"control",0,5
95,75,"control",1,6
40,-65,"consensus",1,6
40,40,"consensus",0,7
100,100,"consensus",1,1
64,23,"BoostPlus",1,5
100,100,"control",0,6
20,11,"BoostPlus",0,6
70,70,"control",0,4
50,-21,"BoostPlus",1,5
15,0,"control",0,6
40,40,"consensus",1,4
41,38,"control",0,5
40,30,"control",2,4
75,-11,"control",0,5
63,-62,"BoostPlus",1,7
44,10,"BoostPlus",0,5
25,-50,"BoostPlus",1,6
70,25,"consensus",0,5
40,40,"BoostPlus",2,6
100,100,"BoostPlus",0,2
42,26,"control",1,6
60,40,"consensus",1,5
85,50,"BoostPlus",0,5
90,85,"consensus",0,5
83,-62,"consensus",1,4
81,83,"control",1,1
45,44,"control",1,5
85,40,"control",1,6
100,95,"consensus",0,1
50,20,"BoostPlus",1,6
85,100,"BoostPlus",0,5
42,-26,"consensus",1,2
90,89,"control",1,2
39,-40,"consensus",0,5
30,30,"control",1,4
14,-40,"consensus",0,7
100,100,"BoostPlus",2,1
10,3,"consensus",2,6
82,83,"control",0,3
65,80,"control",0,3
20,20,"BoostPlus",0,5
2,-46,"BoostPlus",2,6
33,-18,"consensus",1,6
90,80,"control",0,6
94,13,"BoostPlus",2,5
86,79,"consensus",1,2
63,26,"control",1,3
50,75,"control",0,6
60,21,"consensus",1,5
20,-84,"consensus",1,7
89,33,"BoostPlus",3,7
67,40,"BoostPlus",1,3
80,40,"BoostPlus",0,5
21,20,"control",1,4
21,-2,"consensus",1,5
20,14,"control",1,6
59,-45,"consensus",0,6
90,90,"consensus",1,4
84,85,"control",0,4
60,20,"BoostPlus",1,4
80,29,"control",0,5
40,-41,"BoostPlus",1,5
70,75,"control",0,5
90,50,"consensus",0,4
100,100,"consensus",0,4
86,75,"control",0,4
40,20,"control",0,3
74,12,"BoostPlus",0,6
41,62,"consensus",0,3
41,20,"consensus",0,4
92,60,"control",0,7
53,30,"BoostPlus",1,5
100,68,"BoostPlus",1,7
77,-50,"consensus",1,1
37,69,"control",0,6
1,0,"control",1,7
23,21,"control",1,4
83,0,"control",0,6
20,-41,"control",1,6
90,90,"consensus",1,4
20,20,"control",1,6
20,-82,"BoostPlus",1,7
21,21,"BoostPlus",2,6
61,43,"control",1,5
100,60,"BoostPlus",1,5
60,41,"control",0,2
42,-10,"consensus",1,5
70,50,"consensus",1,6
10,-58,"consensus",0,5
67,0,"control",1,7
95,91,"control",0,4
41,-100,"BoostPlus",2,7
65,65,"control",0,4
100,73,"consensus",1,4
30,-30,"BoostPlus",1,7
21,17,"control",0,4
20,20,"consensus",1,5
81,62,"BoostPlus",0,3
25,-40,"consensus",0,6
64,-93,"BoostPlus",0,4
51,-80,"BoostPlus",2,7
35,60,"BoostPlus",3,7
82,10,"BoostPlus",0,7
100,-75,"BoostPlus",1,6
65,65,"consensus",1,5
100,100,"consensus",2,1
100,-21,"consensus",1,5
33,41,"consensus",0,5
85,85,"control",0,2
20,-90,"consensus",0,6
50,-2,"BoostPlus",3,4
21,21,"consensus",1,5
20,-82,"BoostPlus",2,5
41,41,"consensus",1,5
60,50,"BoostPlus",1,4
100,100,"control",0,3
25,-21,"control",0,6
38,20,"consensus",0,5
40,32,"BoostPlus",0,3
26,9,"control",1,6
50,-83,"BoostPlus",2,6
30,10,"consensus",0,4
80,50,"BoostPlus",3,6
83,83,"control",0,4
1,0,"control",1,6
100,-80,"consensus",2,7
63,-42,"BoostPlus",0,6
40,59,"consensus",1,6
40,0,"control",1,6
88,87,"consensus",1,4
50,70,"BoostPlus",1,5
52,-61,"BoostPlus",0,4
65,-22,"consensus",2,6
62,-60,"control",1,6
62,10,"consensus",1,5
85,40,"control",1,6
95,82,"consensus",1,4
55,-91,"BoostPlus",1,6
57,-24,"BoostPlus",1,7
100,70,"BoostPlus",0,4
20,-85,"control",0,4
85,25,"consensus",2,5
100,90,"control",0,3
100,65,"consensus",0,5
41,60,"consensus",0,4
95,41,"control",2,7
41,-65,"consensus",0,6
65,70,"consensus",0,3
75,-21,"BoostPlus",3,6
62,50,"BoostPlus",0,4
71,70,"control",1,4
82,62,"control",0,1
22,80,"control",2,5
