"purchase","debttype","likelihood"
"discretionary","loan",1
"discretionary","loan",6
"discretionary","loan",9
"need","loan",2
"need","loan",1
"need","loan",6
"discretionary","loan",2.5
"need","loan",8
"need","loan",2
"discretionary","loan",6.5
"discretionary","loan",6
"need","loan",9
"need","loan",5.5
"need","loan",7
"need","loan",7.5
"discretionary","loan",9
"discretionary","loan",2
"discretionary","loan",1
"discretionary","loan",7
"need","loan",5.5
"discretionary","loan",1
"need","loan",3
"discretionary","loan",1
"need","loan",4
"discretionary","loan",9
"discretionary","loan",1.5
"discretionary","loan",1
"need","loan",5
"discretionary","loan",1
"need","loan",3
"need","loan",9
"discretionary","loan",3
"discretionary","loan",3
"discretionary","loan",3
"discretionary","loan",2
"discretionary","loan",4
"discretionary","loan",6
"discretionary","loan",7.5
"need","loan",6
"need","loan",6
"discretionary","loan",1
"discretionary","loan",1
"need","loan",7.5
"discretionary","loan",7
"need","loan",5
"need","loan",9
"discretionary","loan",9
"discretionary","loan",9
"need","loan",8
"need","loan",2
"discretionary","loan",1
"need","loan",2
"need","loan",3.5
"need","loan",7
"discretionary","loan",2
"need","loan",5.5
"need","loan",5
"need","loan",1
"need","loan",2
"discretionary","loan",2
"need","loan",6.5
"need","loan",2
"discretionary","loan",3
"need","loan",7.5
"need","loan",7
"need","loan",9
"discretionary","loan",6
"need","loan",1
"discretionary","loan",1
"discretionary","loan",1
"discretionary","loan",2
"need","loan",2.5
"need","loan",5.5
"discretionary","loan",3
"need","loan",4
"need","loan",7
"need","loan",4
"need","loan",5.5
"discretionary","loan",9
"need","loan",5
"need","loan",1
"discretionary","loan",4
"discretionary","loan",7.5
"need","loan",5.5
"need","loan",1
"need","loan",5.5
"discretionary","loan",5
"need","loan",9
"need","loan",9
"discretionary","loan",6.5
"discretionary","loan",2
"need","loan",1
"need","loan",8
"need","loan",9
"need","loan",3
"discretionary","loan",1
"discretionary","loan",5.5
"need","loan",1.5
"discretionary","loan",6
"discretionary","loan",2
"discretionary","loan",8
"need","loan",9
"need","loan",1
"need","loan",2
"need","loan",7
"need","loan",8
"need","loan",6.5
"need","loan",2.5
"need","loan",5.5
"need","loan",7
"need","loan",6.5
"discretionary","loan",1
"need","loan",4.5
"discretionary","loan",2
"discretionary","loan",6
"need","loan",6
"discretionary","loan",7
"need","loan",2
"need","loan",3
"need","loan",2
"need","loan",4
"discretionary","loan",1
"discretionary","loan",9
"need","loan",1
"need","loan",7.5
"discretionary","loan",2.5
"discretionary","loan",5
"discretionary","loan",2
"need","loan",9
"discretionary","loan",1
"discretionary","loan",9
"need","loan",6
"need","loan",5
"need","loan",9
"need","loan",7.5
"need","loan",7
"need","loan",8.5
"need","loan",6
"need","loan",6
"discretionary","loan",1
"discretionary","loan",1
"discretionary","loan",1
"discretionary","loan",5
"discretionary","loan",1
"discretionary","loan",6
"need","loan",6
"need","loan",7.5
"discretionary","loan",1
"discretionary","loan",1
"need","loan",4
"discretionary","loan",1
"discretionary","loan",9
"discretionary","loan",1
"discretionary","loan",1
"need","loan",5.5
"discretionary","loan",1
"discretionary","loan",1.5
"discretionary","loan",6
"need","loan",1
"need","loan",6.5
"discretionary","loan",1
"discretionary","loan",2
"need","loan",4
"discretionary","loan",7.5
"discretionary","loan",1
"need","loan",3
"need","loan",5.5
"discretionary","loan",1
"discretionary","loan",1
"discretionary","loan",1
"discretionary","loan",5
"need","loan",8
"need","loan",5.5
"discretionary","loan",7
"need","loan",1
"discretionary","loan",1
"need","loan",7.5
"need","loan",3
"discretionary","loan",1
"need","loan",9
"need","loan",9
"discretionary","loan",5
"discretionary","loan",1
"need","loan",1
"discretionary","loan",5.5
"need","loan",1
"need","loan",5
"discretionary","loan",5
"discretionary","loan",2
"need","loan",5.5
"need","loan",3
"discretionary","loan",1
"need","loan",5.5
"need","loan",3
"need","loan",3
"discretionary","loan",1
"discretionary","loan",7.5
"discretionary","loan",9
"discretionary","loan",1
"discretionary","loan",3
"discretionary","loan",5
"need","loan",5.5
"discretionary","loan",1
"need","loan",7.5
"need","loan",5
"discretionary","loan",1
"discretionary","loan",3
"need","loan",8
"need","loan",4.5
"need","loan",9
"need","loan",7
"discretionary","loan",1
"discretionary","loan",1
"need","loan",5
"need","loan",1
"discretionary","loan",1
"need","loan",5
"discretionary","loan",1
"need","loan",1
"discretionary","loan",9
"need","loan",7
"need","loan",1
"discretionary","loan",1
"need","loan",9
"discretionary","loan",1
"need","loan",2.5
"need","loan",9
"discretionary","loan",2
"discretionary","loan",1
"discretionary","loan",1
"need","loan",8
"discretionary","loan",6.5
"discretionary","loan",7
"need","loan",1
"discretionary","loan",3
"need","loan",7
"need","loan",1
"need","loan",6.5
"discretionary","loan",1.5
"discretionary","loan",5
"discretionary","loan",7
"discretionary","loan",2
"need","loan",3
"need","loan",9
"discretionary","loan",1
"need","loan",9
"need","loan",7
"discretionary","loan",1
"need","loan",5.5
"discretionary","loan",4
"discretionary","loan",1
"discretionary","loan",1
"need","loan",6.5
"discretionary","loan",7
"discretionary","loan",7
"discretionary","loan",6.5
"need","loan",6
"discretionary","loan",1
"need","loan",3.5
"need","loan",1
"need","loan",1
"need","loan",6
"discretionary","loan",1
"need","loan",9
"discretionary","loan",3
"discretionary","loan",8
"need","loan",9
"discretionary","loan",8
"need","loan",3
"discretionary","loan",1
"need","loan",5
"discretionary","loan",1
"discretionary","loan",8
"discretionary","loan",2
"need","loan",7
"discretionary","loan",9
"need","loan",9
"need","loan",7.5
"discretionary","loan",9
"need","loan",7.5
"discretionary","loan",3.5
"need","loan",2.5
"discretionary","loan",2
"need","loan",8
"need","loan",4.5
"discretionary","loan",1
"discretionary","loan",4
"need","loan",1
"discretionary","loan",1
"need","loan",5
"need","loan",9
"need","loan",2
"need","loan",7
"need","loan",1
"need","loan",9
"need","loan",6
"need","loan",1
"discretionary","loan",6
"discretionary","loan",1.5
"need","loan",9
"need","loan",6
"discretionary","loan",1
"discretionary","loan",6
"need","loan",6.5
"discretionary","loan",7.5
"discretionary","loan",7
"discretionary","loan",2
"discretionary","loan",1
"need","loan",9
"need","loan",1
"need","loan",9
"need","loan",8
"need","loan",6.5
"discretionary","loan",1
"need","loan",7
"need","loan",7.5
"discretionary","loan",7
"need","loan",7.5
"need","loan",7.5
"need","loan",8
"discretionary","loan",3
"need","loan",9
"need","loan",9
"discretionary","loan",2.5
"need","loan",9
"need","loan",9
"need","loan",7
"need","loan",7.5
"discretionary","loan",1
"discretionary","loan",1
"need","loan",5
"discretionary","loan",1
"need","loan",6.5
"need","loan",5
"discretionary","loan",4.5
"discretionary","loan",7
"discretionary","loan",8.5
"need","loan",2
"discretionary","loan",9
"discretionary","loan",4
"need","loan",9
"need","loan",9
"discretionary","loan",1
"discretionary","loan",1
"discretionary","loan",4
"need","loan",6
"discretionary","loan",9
"discretionary","loan",3
"discretionary","loan",1
"discretionary","loan",3.5
"discretionary","loan",9
"need","loan",6
"need","loan",5
"need","loan",1
"need","loan",6
"discretionary","loan",6
"need","loan",6
"need","loan",2
"discretionary","loan",1
"need","loan",7.5
"need","loan",4.5
"discretionary","loan",2.5
"need","loan",9
"discretionary","loan",7
"discretionary","loan",5
"need","loan",2.5
"need","loan",9
"discretionary","loan",4.5
"discretionary","loan",6
"need","loan",7
"discretionary","loan",9
"discretionary","loan",1.5
"need","loan",3.5
"need","loan",5
"discretionary","loan",3
"discretionary","loan",1
"discretionary","loan",6
"discretionary","loan",3.5
"discretionary","loan",1
"need","loan",9
"need","loan",1
"need","loan",4
"discretionary","loan",3
"discretionary","loan",5.5
"need","loan",4.5
"discretionary","loan",8
"need","loan",5
"discretionary","loan",3
"need","loan",3
"discretionary","loan",1
"need","loan",9
"need","loan",1
"need","loan",4.5
"need","loan",8
"discretionary","loan",1
"discretionary","loan",9
"discretionary","loan",5
"discretionary","loan",7
"discretionary","loan",1
"need","loan",1.5
"discretionary","loan",1
"discretionary","loan",8
"discretionary","loan",6
"discretionary","loan",5
"need","loan",5.5
