"group","score"
"control 1",17
"control 1",14
"control 1",24
"control 1",20
"control 1",24
"control 1",23
"control 1",16
"control 1",15
"control 1",24
"control 2",21
"control 2",23
"control 2",13
"control 2",19
"control 2",13
"control 2",19
"control 2",20
"control 2",21
"control 2",16
"praise",28
"praise",30
"praise",29
"praise",24
"praise",27
"praise",30
"praise",28
"praise",28
"praise",23
"reprove",19
"reprove",28
"reprove",26
"reprove",26
"reprove",19
"reprove",24
"reprove",24
"reprove",23
"reprove",22
"ignore",21
"ignore",14
"ignore",13
"ignore",19
"ignore",15
"ignore",15
"ignore",10
"ignore",18
"ignore",20
