"brand","power","time","percentage"
"national1","500W","4m",73.8
"national1","500W","4m",65.5
"national1","500W","4m30s",70.3
"national1","500W","4m30s",91
"national1","500W","5m",72.7
"national1","500W","5m",81.9
"national1","600W","4m",70.8
"national1","600W","4m",75.3
"national1","600W","4m30s",78.7
"national1","600W","4m30s",88.7
"national1","600W","5m",74.1
"national1","600W","5m",72.1
"national2","500W","4m",73.7
"national2","500W","4m",65.8
"national2","500W","4m30s",93.4
"national2","500W","4m30s",76.3
"national2","500W","5m",45.3
"national2","500W","5m",47.6
"national2","600W","4m",79.3
"national2","600W","4m",86.5
"national2","600W","4m30s",92.2
"national2","600W","4m30s",84.7
"national2","600W","5m",66.3
"national2","600W","5m",45.7
"local","500W","4m",62.5
"local","500W","4m",65
"local","500W","4m30s",50.1
"local","500W","4m30s",81.5
"local","500W","5m",51.4
"local","500W","5m",67.7
"local","600W","4m",82.1
"local","600W","4m",74.5
"local","600W","4m30s",71.5
"local","600W","4m30s",80
"local","600W","5m",64
"local","600W","5m",77
