"id","week","time"
"1","1",26.5
"1","2",27.5
"1","3",26.5
"1","4",27.5
"1","5",26.5
"1","6",28
"1","7",24
"1","8",30.5
"2","1",18
"2","2",15.5
"2","3",18
"2","4",18
"2","5",19
"2","6",18.5
"2","7",21.5
"2","8",17
"3","1",19
"3","2",27.5
"3","3",22.5
"3","4",17
"3","5",19
"3","6",21
"3","7",22.5
"3","8",20
"4","1",16.5
"4","2",16.5
"4","3",16
"4","4",23
"4","5",18.5
"4","6",15.5
"4","7",21.5
"4","8",16
"5","1",22
"5","2",23.5
"5","3",19
"5","4",22.5
"5","5",18
"5","6",27
"5","7",23.5
"5","8",19.5
"6","1",38.5
"6","2",31.5
"6","3",31.5
"6","4",32
"6","5",35.5
"6","6",33.5
"6","7",35
"6","8",29.5
"7","1",18.5
"7","2",17.5
"7","3",15.5
"7","4",17
"7","5",15
"7","6",16
"7","7",17
"7","8",17.5
"8","1",30
"8","2",33.5
"8","3",36
"8","4",31
"8","5",35
"8","6",35
"8","7",32.5
"8","8",31
"9","1",20.5
"9","2",20
"9","3",24
"9","4",24.5
"9","5",20
"9","6",27.5
"9","7",19.5
"9","8",20
"10","1",22
"10","2",17.5
"10","3",25.5
"10","4",16.5
"10","5",22.5
"10","6",28.5
"10","7",21
"10","8",21
"11","1",26.5
"11","2",24
"11","3",23.5
"11","4",26
"11","5",24.5
"11","6",24
"11","7",23.5
"11","8",23
"12","1",15
"12","2",15
"12","3",16.5
"12","4",15.5
"12","5",16
"12","6",15.5
"12","7",15.5
"12","8",16.5
"13","1",33.5
"13","2",38.5
"13","3",35
"13","4",36.5
"13","5",34
"13","6",39
"13","7",40
"13","8",36
"14","1",28.5
"14","2",24.5
"14","3",25.5
"14","4",28.5
"14","5",27
"14","6",22.5
"14","7",21
"14","8",27.5
"15","1",24.5
"15","2",18
"15","3",16
"15","4",16.5
"15","5",18
"15","6",21
"15","7",15
"15","8",15.5
"16","1",35.5
"16","2",36.5
"16","3",35
"16","4",40.5
"16","5",39
"16","6",34.5
"16","7",37.5
"16","8",37.5
"17","1",17.5
"17","2",16.5
"17","3",15
"17","4",17
"17","5",15.5
"17","6",17.5
"17","7",18
"17","8",16
"18","1",30
"18","2",29.5
"18","3",31
"18","4",22.5
"18","5",29.5
"18","6",28.5
"18","7",31
"18","8",31
"19","1",32.5
"19","2",33
"19","3",28
"19","4",36.5
"19","5",30.5
"19","6",32.5
"19","7",28.5
"19","8",32.5
"20","1",17
"20","2",16
"20","3",15
"20","4",16.5
"20","5",17
"20","6",15
"20","7",19.5
"20","8",16.5
"21","1",20
"21","2",18.5
"21","3",17
"21","4",16
"21","5",16
"21","6",16
"21","7",15.5
"21","8",16
"22","1",19
"22","2",18
"22","3",20.5
"22","4",19
"22","5",18
"22","6",19
"22","7",18.5
"22","8",18
"23","1",27
"23","2",27
"23","3",20
"23","4",31
"23","5",30
"23","6",29.5
"23","7",23.5
"23","8",24
"24","1",18.5
"24","2",21.5
"24","3",24
"24","4",23.5
"24","5",17.5
"24","6",19
"24","7",20
"24","8",18.5
"25","1",19.5
"25","2",18.5
"25","3",16
"25","4",18.5
"25","5",17.5
"25","6",17.5
"25","7",16.5
"25","8",15
"26","1",23
"26","2",15.5
"26","3",19.5
"26","4",22.5
"26","5",20
"26","6",22
"26","7",20
"26","8",18
"27","1",24
"27","2",23
"27","3",20
"27","4",19
"27","5",22
"27","6",18.5
"27","7",18.5
"27","8",21.5
"28","1",15.5
"28","2",16.5
"28","3",20.5
"28","4",17
"28","5",17
"28","6",18.5
"28","7",16.5
"28","8",16
"29","1",23.5
"29","2",23
"29","3",24.5
"29","4",20.5
"29","5",24
"29","6",28.5
"29","7",26.5
"29","8",22
"30","1",20.5
"30","2",29
"30","3",25
"30","4",24
"30","5",23.5
"30","6",28
"30","7",18
"30","8",23.5
"31","1",25.5
"31","2",23
"31","3",24.5
"31","4",27
"31","5",24.5
"31","6",28
"31","7",26
"31","8",25
"32","1",23
"32","2",22.5
"32","3",21.5
"32","4",23.5
"32","5",28
"32","6",24.5
"32","7",23.5
"32","8",23.5
"33","1",34.5
"33","2",39
"33","3",34
"33","4",38
"33","5",34
"33","6",38.5
"33","7",35
"33","8",37.5
"34","1",19.5
"34","2",19.5
"34","3",16
"34","4",18.5
"34","5",16
"34","6",16
"34","7",15.5
"34","8",16.5
"35","1",21
"35","2",20.5
"35","3",15.5
"35","4",17.5
"35","5",24
"35","6",22
"35","7",17.5
"35","8",19
"36","1",23
"36","2",15.5
"36","3",17
"36","4",17.5
"36","5",17.5
"36","6",18.5
"36","7",16.5
"36","8",20
"37","1",28.5
"37","2",28.5
"37","3",28.5
"37","4",25.5
"37","5",29.5
"37","6",23
"37","7",27
"37","8",26
"38","1",18
"38","2",21.5
"38","3",15.5
"38","4",15.5
"38","5",18
"38","6",18.5
"38","7",15.5
"38","8",17.5
"39","1",23
"39","2",26
"39","3",21.5
"39","4",24.5
"39","5",21
"39","6",24.5
"39","7",25.5
"39","8",23
"40","1",33.5
"40","2",31.5
"40","3",32.5
"40","4",38
"40","5",30.5
"40","6",34
"40","7",36
"40","8",28
