electrode,Value,epoch,stimuli,participant
Fz,-12.94662654,0,RH,p6_exp2
Fz,-9.408593903,1,RH,p6_exp2
Fz,-2.952517571,2,RH,p6_exp2
Fz,-14.77508845,3,RH,p6_exp2
Fz,-16.61961133,4,RH,p6_exp2
Fz,-14.88932543,5,RH,p6_exp2
Fz,-15.31095186,6,RH,p6_exp2
Fz,-13.11329067,7,RH,p6_exp2
Fz,-24.42372035,8,RH,p6_exp2
Fz,-9.688690199,9,RH,p6_exp2
Fz,-12.13424977,10,RH,p6_exp2
Fz,-12.76826553,11,RH,p6_exp2
Fz,-11.16091113,12,RH,p6_exp2
Fz,-14.71423928,13,RH,p6_exp2
Fz,-5.756549515,14,RH,p6_exp2
Fz,-16.15500342,15,RH,p6_exp2
Fz,-12.88409446,16,RH,p6_exp2
Fz,-18.19789376,17,RH,p6_exp2
Fz,-14.27163154,18,RH,p6_exp2
Fz,-1.862046536,19,RH,p6_exp2
Fz,-6.196080795,20,RH,p6_exp2
Fz,-20.3347903,21,RH,p6_exp2
Fz,-18.58885573,22,RH,p6_exp2
Fz,-17.50298362,23,RH,p6_exp2
Fz,-10.9707786,24,RH,p6_exp2
Fz,-11.19494784,25,RH,p6_exp2
Fz,-17.72885915,26,RH,p6_exp2
Fz,-3.710555173,27,RH,p6_exp2
Fz,-22.00459349,28,RH,p6_exp2
Fz,-25.55182937,29,RH,p6_exp2
Fz,-16.84061506,30,RH,p6_exp2
Fz,-7.028813383,31,RH,p6_exp2
Fz,-21.08803454,32,RH,p6_exp2
Fz,-8.969057857,33,RH,p6_exp2
Fz,-10.27053819,34,RH,p6_exp2
Fz,-5.262484697,35,RH,p6_exp2
Fz,-22.04889955,36,RH,p6_exp2
Fz,-18.73844952,37,RH,p6_exp2
Fz,-11.41342227,38,RH,p6_exp2
Fz,-11.41315097,39,RH,p6_exp2
C3,-8.9226791,0,RH,p6_exp2
C3,-8.587876591,1,RH,p6_exp2
C3,-12.68996651,2,RH,p6_exp2
C3,-14.83703468,3,RH,p6_exp2
C3,-15.81740551,4,RH,p6_exp2
C3,-16.72945948,5,RH,p6_exp2
C3,-22.06872748,6,RH,p6_exp2
C3,-12.10625175,7,RH,p6_exp2
C3,-33.24772988,8,RH,p6_exp2
C3,-29.04383593,9,RH,p6_exp2
C3,-22.32513101,10,RH,p6_exp2
C3,-18.51236156,11,RH,p6_exp2
C3,-12.27115759,12,RH,p6_exp2
C3,-19.40869451,13,RH,p6_exp2
C3,-6.947659467,14,RH,p6_exp2
C3,-11.92903499,15,RH,p6_exp2
C3,-9.360167708,16,RH,p6_exp2
C3,-15.1583004,17,RH,p6_exp2
C3,-9.955597368,18,RH,p6_exp2
C3,-18.49300823,19,RH,p6_exp2
