cond,category_con,price,image,att1,att2,att3,familiarity,Gender,Age
6+6,1,1,1,9,9,9,7,0,22
6+6,1,1,1,8,8,9,7,1,26
6+6,1,1,1,8,9,9,7,0,35
6+6,1,1,1,7,7,8,7,1,26
6+6,1,1,1,9,9,9,6,0,39
6+6,1,1,1,3,5,4,5,0,34
6+6,1,1,1,8,8,9,7,1,30
6+6,1,1,1,9,9,8,7,0,33
6+6,1,1,1,9,9,9,4,0,24
6+6,1,1,1,8,8,9,7,0,42
6+6,1,1,1,8,8,9,7,1,35
6+6,1,1,1,8,8,9,6,0,57
6+6,1,1,1,6,6,6,7,0,38
6+6,1,1,1,5,5,7,7,0,36
6+6,1,1,1,7,7,9,7,1,33
6+6,1,1,1,8,8,7,7,0,27
6+6,1,1,1,7,6,7,6,1,56
6+6,1,1,1,4,4,6,5,0,54
6+6,1,1,1,8,8,8,6,0,38
6+6,1,1,1,7,5,6,5,0,33
6+6,1,1,1,8,9,9,7,0,51
6+6,1,1,1,9,9,9,7,0,33
6+6,1,1,1,9,9,9,7,1,30
6+6,1,1,1,8,9,8,7,0,58
6+6,1,1,1,6,6,6,4,1,28
6+6,1,1,1,7,7,9,6,1,44
6+6,1,1,1,7,7,8,7,0,21
6+6,1,1,1,8,8,8,5,1,26
6+6,1,1,1,9,9,9,7,0,43
6+6,1,1,1,9,9,9,7,0,34
6+6,1,1,1,6,6,5,4,1,39
6+6,1,1,1,6,7,8,6,0,31
6+6,1,1,1,8,8,9,7,0,33
6+6,1,1,1,9,9,9,7,0,66
6+6,1,1,1,6,7,8,7,0,25
6+6,1,1,1,6,7,8,5,0,36
6+6,1,1,1,9,9,9,7,1,38
6+6,1,1,1,9,8,7,7,1,26
6+6,1,1,1,8,8,8,7,0,49
6+6,1,1,1,9,9,9,7,1,37
6+6,1,1,1,8,8,8,6,1,31
6+6,1,1,1,8,8,9,7,0,31
6+6,1,1,1,4,3,3,5,0,45
6+6,1,1,1,5,5,5,5,0,55
6+6,1,1,1,8,8,8,6,0,20
6+6,1,1,1,6,6,9,7,1,44
6+6,1,1,1,3,3,5,4,1,24
6+6,1,1,1,8,8,8,7,0,41
6price + 1,0,1,0,4,6,3,4,1,21
6price + 1,0,1,0,8,7,7,7,0,36
6price + 1,0,1,0,8,8,8,6,0,37
6price + 1,0,1,0,8,7,7,6,1,30
6price + 1,0,1,0,5,5,5,4,0,36
6price + 1,0,1,0,8,8,9,7,0,32
6price + 1,0,1,0,8,9,9,7,0,51
6price + 1,0,1,0,6,6,7,6,0,33
6price + 1,0,1,0,5,4,8,7,0,31
6price + 1,0,1,0,5,2,7,5,1,38
6price + 1,0,1,0,8,8,8,7,0,34
6price + 1,0,1,0,3,3,3,7,1,38
6price + 1,0,1,0,5,5,5,7,0,29
6price + 1,0,1,0,8,9,9,6,0,40
6price + 1,0,1,0,7,7,9,7,1,22
6price + 1,0,1,0,7,6,8,7,0,24
6price + 1,0,1,0,9,9,9,7,1,36
6price + 1,0,1,0,9,9,9,7,0,41
6price + 1,0,1,0,8,8,9,7,0,47
6price + 1,0,1,0,8,8,9,7,1,33
6price + 1,0,1,0,5,5,7,6,0,40
6price + 1,0,1,0,7,8,7,7,1,27
6price + 1,0,1,0,3,3,1,5,1,32
6price + 1,0,1,0,8,8,8,7,0,44
6price + 1,0,1,0,8,8,8,7,0,43
6price + 1,0,1,0,9,9,9,7,0,51
6price + 1,0,1,0,7,6,8,7,0,26
6price + 1,0,1,0,9,9,9,7,0,40
6price + 1,0,1,0,9,9,9,7,0,60
6price + 1,0,1,0,3,3,4,7,0,25
6price + 1,0,1,0,8,7,9,7,0,37
6price + 1,0,1,0,8,9,9,7,0,38
6price + 1,0,1,0,7,7,8,7,1,35
6price + 1,0,1,0,7,6,9,7,1,34
6price + 1,0,1,0,2,2,9,6,0,21
6price + 1,0,1,0,8,7,7,6,0,34
6price + 1,0,1,0,6,6,9,6,1,33
6price + 1,0,1,0,7,8,8,4,1,35
6price + 1,0,1,0,6,6,6,7,1,68
6price + 1,0,1,0,5,5,5,7,1,27
6price + 1,0,1,0,4,3,4,5,0,43
6price + 1,0,1,0,9,9,9,7,0,27
6price + 1,0,1,0,7,7,7,6,0,31
6price + 1,0,1,0,7,7,9,6,1,30
6price + 1,0,1,0,9,9,9,4,0,35
6price + 1,0,1,0,5,5,8,7,0,28
6price + 1,0,1,0,7,6,8,7,0,49
6price + 1,0,1,0,9,8,9,7,0,20
