condition,text,image,int1,int2,int3,att1,att2,att3,familiarity,Fluency,Fluency,Fluency,Gender,Age
1,0,0,6,6,6,7,7,7,7,1,1,1,0,37
1,0,0,6,6,6,7,7,7,6,1,1,1,1,33
1,0,0,7,7,7,9,9,9,7,1,1,1,0,35
1,0,0,5,3,4,4,5,6,5,3,5,4,1,30
1,0,0,5,6,6,8,8,9,6,6,5,5,0,22
1,0,0,6,6,6,9,9,9,6,1,1,1,0,27
1,0,0,6,7,7,8,9,9,7,1,2,2,0,31
1,0,0,6,6,6,8,8,8,7,1,1,1,0,41
1,0,0,6,6,6,8,8,8,7,1,1,1,1,28
1,0,0,7,7,7,9,9,9,7,1,1,1,0,59
1,0,0,5,6,6,9,9,9,5,1,1,1,0,25
1,0,0,5,6,5,6,7,6,5,5,4,5,0,42
1,0,0,6,6,6,8,9,8,5,6,6,6,0,30
1,0,0,3,3,4,3,3,6,5,1,2,1,1,23
1,0,0,6,7,6,8,8,9,6,1,1,1,0,53
1,0,0,3,5,5,4,7,7,4,3,6,4,1,23
1,0,0,4,5,4,7,6,7,6,2,3,2,1,21
1,0,0,2,5,3,3,7,5,4,2,6,4,1,24
1,0,0,6,6,6,8,8,8,6,1,1,1,0,61
1,0,0,2,2,2,5,5,9,6,4,4,4,1,40
1,0,0,4,7,7,8,8,9,3,7,4,6,0,22
1,0,0,3,2,3,5,4,5,6,2,3,2,1,46
1,0,0,7,7,6,8,8,8,7,1,1,1,0,52
1,0,0,5,5,5,7,8,7,6,2,2,2,1,25
1,0,0,5,6,6,8,8,8,6,1,1,1,0,26
1,0,0,3,3,3,6,6,6,4,3,3,4,0,30
1,0,0,1,1,1,5,5,8,2,1,1,1,0,65
1,0,0,6,6,6,7,7,8,6,2,2,2,0,41
1,0,0,6,7,6,9,9,9,7,1,1,1,0,38
1,0,0,5,6,5,7,8,8,7,1,1,1,1,30
1,0,0,1,1,1,5,5,5,5,2,2,2,0,42
1,0,0,7,7,7,9,9,9,7,1,1,1,0,33
1,0,0,7,7,7,9,9,9,7,1,1,1,0,54
1,0,0,3,4,3,6,6,8,5,3,3,3,1,42
1,0,0,3,3,3,8,8,8,6,1,1,1,1,56
1,0,0,6,5,5,6,6,7,5,5,5,6,1,24
1,0,0,6,4,6,6,6,8,7,2,2,2,1,62
1,0,0,3,2,2,8,7,9,7,1,1,1,0,58
1,0,0,4,4,3,6,6,8,7,1,1,1,0,35
1,0,0,4,5,4,7,6,8,6,3,2,2,1,24
1,0,0,7,6,6,8,8,8,7,1,1,1,0,25
1,0,0,6,6,5,9,8,5,4,7,6,7,0,36
1,0,0,4,4,4,7,7,8,6,2,2,2,1,62
1,0,0,5,5,5,6,6,5,7,2,2,2,0,54
1,0,0,7,7,7,7,9,9,7,1,2,2,0,40
1,0,0,6,6,6,8,8,8,7,2,2,2,0,29
1,0,0,6,6,6,9,1,9,7,1,1,1,1,67
1,0,0,6,6,6,8,8,8,6,1,1,1,1,27
1,0,0,1,1,1,5,5,5,7,1,1,1,0,25
1,0,0,2,2,2,7,6,8,7,2,3,3,1,50
1,0,0,1,1,1,5,5,5,5,1,1,1,1,34
0,0,1,6,7,7,9,9,9,7,1,1,1,0,65
0,0,1,3,7,4,6,4,7,4,3,5,5,1,29
0,0,1,6,6,6,8,8,8,7,1,1,1,0,24
0,0,1,3,4,4,8,6,7,4,5,2,2,1,30
0,0,1,1,1,1,5,5,7,5,3,3,3,0,33
0,0,1,2,2,2,5,5,5,5,1,1,1,0,31
0,0,1,6,6,6,9,9,9,7,1,1,1,0,40
0,0,1,2,3,4,6,7,9,7,1,1,1,1,45
0,0,1,7,7,7,8,8,8,7,1,1,1,1,29
0,0,1,5,5,5,7,7,7,4,3,3,3,1,26
0,0,1,5,5,5,8,8,8,6,1,1,1,0,28
0,0,1,6,7,7,8,8,6,3,2,4,3,1,19
0,0,1,6,7,6,8,8,8,7,2,2,2,1,20
0,0,1,5,5,5,8,9,9,6,3,3,3,0,30
0,0,1,6,6,6,8,8,8,6,1,1,1,0,36
0,0,1,6,6,6,9,9,9,7,1,1,1,1,19
0,0,1,5,6,5,8,9,9,7,1,2,1,0,23
0,0,1,7,7,6,8,8,9,7,1,1,1,1,50
0,0,1,5,5,5,7,8,8,5,2,3,2,1,26
0,0,1,4,4,4,7,7,7,4,1,1,1,0,45
0,0,1,6,6,6,8,8,8,7,3,3,3,1,52
0,0,1,7,6,6,8,8,8,7,2,2,2,1,26
0,0,1,1,2,2,6,5,6,5,6,6,6,1,58
0,0,1,7,7,7,9,9,9,1,1,1,1,1,27
0,0,1,5,5,5,5,5,7,7,3,3,3,0,32
0,0,1,5,6,4,8,8,8,7,5,5,6,1,46
0,0,1,6,6,6,8,7,8,6,2, ,2,0,44
0,0,1,6,4,5,8,6,4,7,6,3,5,0,34
0,0,1,1,1,1,4,4,4,5,2,2,2,1,23
0,0,1,4,5,5,6,6,8,4,1,1,1,0,50
0,0,1,2,2,3,6,6,6,6,1,1,1,0,28
0,0,1,3,3,5,8,8,8,7,1,1,1,1,46
0,0,1,2,2,3,3,3,7,6,5,5,6,0,46
0,0,1,2,2,2,8,8,8,7,1,1,1,1,38
0,0,1,5,5,5,7,7,7,6,1,1,1,1,45
0,0,1,6,7,6,6,9,9,7,1,1,1,0,22
0,0,1,6,5,5,7,7,7,5,2,2,2,0,34
0,0,1,7,7,7,9,9,9,7,1,1,1,0,44
0,0,1,3,4,4,7,7,7,5,1,1,1,0,31
0,0,1,6,6,6,9,9,9,7,1,1,1,0,33
0,0,1,3,3,3,5,5,5,6,1,1,1,0,30
0,0,1,7,7,7,9,9,9,7,1,1,1,0,46
0,0,1,7,6,6,9,9,9,7,2,2,2,0,26
0,0,1,5,4,4,8,7,8,6,2,1,1,1,23
0,0,1,5,6,5,7,7,9,7,1,1,1,0,39
0,0,1,3,3,4,6,4,7,7,1,1,1,0,27
0,0,1,4,4,5,7,7,8,7,1,1,1,0,31
0,0,1,5,4,4,7,7,8,4,2,3,3,1,32
0,0,1,5,6,6,5,6,9,7,1,1,1,0,32
0,0,1,4,4,4,6,6,6,1,1,1,1,0,27
0,0,1,6,6,6,9,9,9,7,1,1,1,0,29
0,0,1,5,5,5,5,8,9,7,5,3,3,0,66
1,1,1,6,6,6,8,8,8,7,1,1,1,0,39
1,1,1,2,2,2,5,4,7,6,1,1,1,1,25
1,1,1,4,5,4,8,8,8,7,3,3,3,1,31
1,1,1,5,5,5,6,7,7,5,2,2,2,0,23
1,1,1,4,4,4,6,6,6,5,4,4,4,0,28
1,1,1,7,3,2,7,9,8,6,4,6,3,1,28
1,1,1,1,1,1,6,6,6,7,1,1,1,0,33
1,1,1,7,6,6,9,8,8,6,3,2,1,1,26
1,1,1,5,5,5,7,8,7,7,1,1,1,0,36
1,1,1,5,6,5,8,8,9,6,2,2,2,0,49
1,1,1,6,6,6,8,7,7,6,1,1,1,1,26
1,1,1,4,4,4,5,5,9,6,4,4,4,1,70
1,1,1,7,6,7,5,5,5,7,5,4,4,0,30
1,1,1,5,5,5,8,8,8,5,1,1,1,0,39
1,1,1,2,2,2,5,5,7,6,3,3,3,0,55
1,1,1,6,6,6,9,9,9,7,1,1,1,1,32
1,1,1,4,5,5,7,7,7,5,2,2,2,0,24
1,1,1,4,3,3,4,4,5,4,2,2,3,1,24
1,1,1,6,6,6,8,8,9,6,1,1,1,0,30
1,1,1,4,4,4,8,8,8,5,1,1,1,1,28
1,1,1,5,5,6,8,8,9,7,1,1,1,0,53
1,1,1,4,5,5,5,6,6,5,3,3,3,0,34
1,1,1,5,5,5,6,6,8,5,2,2,2,0,21
1,1,1,5,6,5,8,9,9,6,1,2,1,0,27
1,1,1,3,2,2,6,6,6,5,4,4,4,0,26
1,1,1,3,3,3,5,5,7,7,2,2,2,1,31
1,1,1,6,6,6,8,9,9,7,1,1,1,0,46
1,1,1,6,6,6,8,8,8,7,4,4,4,0,37
1,1,1,4,4,4,5,5,5,4,1,1,1,1,30
1,1,1,6,6,6,9,9,9,6,1,1,1,0,50
1,1,1,6,6,6,7,8,9,6,2,4,3,1,34
1,1,1,7,7,7,9,9,9,7,2,1,1,0,31
1,1,1,4,5,5,8,9,9,5,1,1,1,0,52
1,1,1,6,6,6,8,8,8,7,1,1,1,0,44
1,1,1,5,5,5,9,9,9,7,1,1,1,1,29
1,1,1,5,4,5,6,6,8,5,5,6,5,1,51
1,1,1,3,4,4,7,6,7,6,1,1,1,0,34
