labLocale,age_group,Never,Sometimes,Usually
Austria,10yo,0,1,0
Austria,10yo,0,0,1
Austria,7yo,0,0,1
Austria,5yo,0,0,1
Austria,7yo,0,0,1
Austria,10yo,0,0,1
Austria,7yo,0,0,1
Austria,6yo,1,0,0
Austria,10yo,0,1,0
Austria,7yo,0,0,1
Austria,7yo,0,0,1
Austria,6yo,0,0,1
Austria,10yo,0,0,1
Austria,5yo,0,0,1
Austria,6yo,0,0,1
Austria,7yo,0,0,1
Austria,6yo,0,0,1
Austria,7yo,0,0,1
Austria,7yo,0,0,1
Austria,5yo,0,0,1
Austria,5yo,0,0,1
Austria,6yo,0,0,1
Austria,6yo,0,1,0
Austria,7yo,0,0,1
Austria,10yo,0,0,1
Austria,10yo,0,0,1
Austria,10yo,0,1,0
Austria,5yo,1,0,0
Austria,6yo,0,0,1
Austria,5yo,0,0,1
Austria,6yo,1,0,0
Austria,5yo,0,0,1
Austria,5yo,0,0,1
Bristol,5yo,0,1,0
Bristol,5yo,1,0,0
Bristol,5yo,1,0,0
Bristol,6yo,0,0,1
Bristol,6yo,0,0,1
Bristol,6yo,0,1,0
Bristol,6yo,0,1,0
Bristol,6yo,1,0,0
Bristol,6yo,0,0,1
Bristol,6yo,0,1,0
Bristol,6yo,0,0,1
Bristol,7yo,0,0,1
Bristol,7yo,0,0,1
Bristol,7yo,0,0,1
Bristol,7yo,0,0,1
Bristol,7yo,0,1,0
Bristol,7yo,0,0,1
Bristol,7yo,0,0,1
Bristol,7yo,0,0,1
Bristol,7yo,0,0,1
Bristol,10yo,0,0,1
Bristol,10yo,0,0,1
Bristol,10yo,0,1,0
Bristol,10yo,0,0,1
Bristol,10yo,0,0,1
Bristol,10yo,0,0,1
Bristol,10yo,1,0,0
Bristol,10yo,0,0,1
Bristol,10yo,0,0,1
Bristol,10yo,0,1,0
Cardiff,5yo,0,0,1
Cardiff,5yo,1,0,0
Cardiff,5yo,0,0,1
Cardiff,5yo,0,1,0
Cardiff,6yo,0,0,1
Cardiff,6yo,0,0,1
Cardiff,6yo,0,0,1
Cardiff,7yo,0,0,1
Cardiff,7yo,0,0,1
Cardiff,5yo,1,0,0
Cardiff,7yo,0,0,1
Cardiff,7yo,0,0,1
Cardiff,10yo,0,0,1
Cardiff,10yo,0,0,1
Cardiff,10yo,0,0,1
Cardiff,10yo,0,0,1
Cardiff,10yo,0,0,1
Cardiff,10yo,0,0,1
Cardiff,10yo,0,0,1
Cardiff,10yo,0,0,1
Cardiff,10yo,0,1,0
Cardiff,5yo,0,1,0
Cardiff,6yo,0,0,1
Cardiff,5yo,1,0,0
Cardiff,10yo,0,0,1
Cardiff,7yo,0,0,1
Cardiff,6yo,1,0,0
Cardiff,5yo,0,0,1
Cardiff,10yo,0,0,1
Cardiff,5yo,1,0,0
Cardiff,10yo,0,0,1
Cardiff,6yo,0,0,1
Cardiff,5yo,0,0,1
Cardiff,10yo,0,0,1
Cardiff,6yo,0,0,1
Cardiff,10yo,0,0,1
Cardiff,6yo,0,0,1
Cardiff,5yo,0,1,0
Cardiff,7yo,0,1,0
Cardiff,7yo,0,0,1
Cardiff,7yo,0,0,1
Cardiff,7yo,0,0,1
Cardiff,10yo,0,0,1
Cardiff,7yo,0,0,1
Cardiff,5yo,0,0,1
Cardiff,10yo,0,0,1
Cardiff,5yo,0,0,1
Cardiff,5yo,0,0,1
Cardiff,7yo,0,0,1
Cardiff,7yo,0,0,1
Cardiff,7yo,0,0,1
Cardiff,10yo,0,0,1
Cardiff,6yo,0,0,1
Cardiff,7yo,0,0,1
Cardiff,7yo,0,0,1
Cardiff,10yo,0,0,1
Cardiff,7yo,0,0,1
Cardiff,7yo,0,0,1
Cardiff,6yo,0,0,1
Cardiff,5yo,1,0,0
Cardiff,10yo,0,0,1
Cardiff,5yo,0,0,1
Cardiff,10yo,0,0,1
Cardiff,5yo,0,0,1
Cardiff,6yo,0,0,1
Cardiff,6yo,0,0,1
Cardiff,5yo,0,1,0
Cardiff,6yo,0,1,0
Cardiff,5yo,0,0,1
Costa Rica,10yo,0,0,1
Costa Rica,10yo,1,0,0
Costa Rica,10yo,0,0,1
Costa Rica,10yo,0,0,1
Costa Rica,10yo,0,0,1
Costa Rica,10yo,0,1,0
Costa Rica,10yo,0,1,0
Costa Rica,10yo,0,0,1
Costa Rica,10yo,0,0,1
Costa Rica,10yo,0,0,1
Costa Rica,10yo,1,0,0
Costa Rica,10yo,0,0,1
Costa Rica,10yo,0,0,1
Costa Rica,7yo,0,0,1
Costa Rica,7yo,0,0,1
Costa Rica,7yo,0,1,0
Costa Rica,7yo,0,0,1
Costa Rica,7yo,0,0,1
Costa Rica,7yo,0,0,1
Costa Rica,7yo,1,0,0
Costa Rica,7yo,1,0,0
Costa Rica,7yo,0,0,1
Costa Rica,10yo,0,1,0
Costa Rica,7yo,0,1,0
Costa Rica,7yo,0,1,0
Costa Rica,7yo,0,0,1
