participant_id,labLocale,taskOrder,timing,trial_type,age_group,maxWrong,maxCorrect,prodSpeech_category,producer
Austria.1,Austria,first,delayed,experimental,10yo,5,3,Sometimes,Yes
Austria.1,Austria,point-and-name,point-and-name,point and name,10yo,5,4,Sometimes,Yes
Austria.1,Austria,second,immediate,experimental,10yo,5,4,Sometimes,Yes
Austria.10,Austria,first,delayed,experimental,10yo,5,5,Usually,Yes
Austria.10,Austria,point-and-name,point-and-name,point and name,10yo,5,3,Usually,Yes
Austria.10,Austria,second,immediate,experimental,10yo,5,4,Usually,Yes
Austria.11,Austria,first,delayed,experimental,7yo,5,4,Usually,Yes
Austria.11,Austria,point-and-name,point-and-name,point and name,7yo,5,3,Usually,Yes
Austria.11,Austria,second,immediate,experimental,7yo,5,3,Usually,Yes
Austria.12,Austria,first,delayed,experimental,5yo,5,3,Usually,Yes
Austria.12,Austria,point-and-name,point-and-name,point and name,5yo,5,2,Usually,Yes
Austria.12,Austria,second,immediate,experimental,5yo,5,3,Usually,Yes
Austria.14,Austria,first,delayed,experimental,7yo,5,3,Usually,Yes
Austria.14,Austria,point-and-name,point-and-name,point and name,7yo,5,3,Usually,Yes
Austria.14,Austria,second,immediate,experimental,7yo,5,5,Usually,Yes
Austria.17,Austria,first,immediate,experimental,10yo,5,5,Usually,Yes
Austria.17,Austria,point-and-name,point-and-name,point and name,10yo,5,4,Usually,Yes
Austria.17,Austria,second,delayed,experimental,10yo,5,5,Usually,Yes
Austria.18,Austria,first,delayed,experimental,7yo,5,3,Usually,Yes
Austria.18,Austria,point-and-name,point-and-name,point and name,7yo,5,4,Usually,Yes
Austria.18,Austria,second,immediate,experimental,7yo,5,4,Usually,Yes
Austria.19,Austria,first,delayed,experimental,6yo,5,4,Never,No
Austria.19,Austria,point-and-name,point-and-name,point and name,6yo,5,4,Never,No
Austria.19,Austria,second,immediate,experimental,6yo,5,2,Never,No
Austria.2,Austria,first,delayed,experimental,10yo,5,4,Sometimes,Yes
Austria.2,Austria,point-and-name,point-and-name,point and name,10yo,5,4,Sometimes,Yes
Austria.2,Austria,second,immediate,experimental,10yo,5,5,Sometimes,Yes
Austria.20,Austria,first,immediate,experimental,7yo,5,3,Usually,Yes
Austria.20,Austria,point-and-name,point-and-name,point and name,7yo,5,2,Usually,Yes
Austria.20,Austria,second,delayed,experimental,7yo,5,3,Usually,Yes
Austria.21,Austria,first,delayed,experimental,7yo,3,5,Usually,Yes
Austria.21,Austria,point-and-name,point-and-name,point and name,7yo,5,4,Usually,Yes
Austria.21,Austria,second,immediate,experimental,7yo,5,5,Usually,Yes
Austria.23,Austria,first,immediate,experimental,6yo,5,3,Usually,Yes
Austria.23,Austria,point-and-name,point-and-name,point and name,6yo,5,2,Usually,Yes
Austria.23,Austria,second,delayed,experimental,6yo,5,1,Usually,Yes
Austria.25,Austria,first,delayed,experimental,10yo,5,4,Usually,Yes
Austria.25,Austria,point-and-name,point-and-name,point and name,10yo,5,4,Usually,Yes
Austria.25,Austria,second,immediate,experimental,10yo,5,4,Usually,Yes
Austria.27,Austria,first,delayed,experimental,5yo,5,3,Usually,Yes
Austria.27,Austria,point-and-name,point-and-name,point and name,5yo,5,4,Usually,Yes
Austria.27,Austria,second,immediate,experimental,5yo,5,4,Usually,Yes
Austria.28,Austria,first,delayed,experimental,6yo,5,4,Usually,Yes
Austria.28,Austria,point-and-name,point-and-name,point and name,6yo,5,3,Usually,Yes
