"value","epoch","stimulus","participant"
-6.90087034,2,"RH","9"
-1.402603685,13,"RH","9"
-10.35744599,24,"RH","9"
-7.574691778,35,"RH","9"
-12.78517053,36,"RH","9"
-4.57918146,37,"RH","9"
-8.163074284,38,"RH","9"
-14.29395133,39,"RH","9"
-3.818070104,3,"RH","9"
-10.123162,4,"RH","9"
-3.156812468,6,"RH","9"
-5.727863711,7,"RH","9"
-1.257571146,8,"RH","9"
-0.181493084,9,"RH","9"
-8.107862569,10,"RH","9"
-2.103556786,11,"RH","9"
-8.890128158,14,"RH","9"
-9.007853949,15,"RH","9"
-2.410375697,16,"RH","9"
-12.65289526,17,"RH","9"
-5.121731463,18,"RH","9"
-8.186881747,20,"RH","9"
-8.097405776,21,"RH","9"
-11.57771032,22,"RH","9"
-6.774189169,23,"RH","9"
-12.38270023,25,"RH","9"
-0.699582494,26,"RH","9"
-4.264760679,27,"RH","9"
-12.784828,29,"RH","9"
-7.364656491,30,"RH","9"
-17.8839517,31,"RH","9"
-16.76979584,32,"RH","9"
-18.13414403,34,"RH","9"
-8.080038458,1,"SH","9"
-0.801888574,2,"SH","9"
-8.729021183,13,"SH","9"
-11.0873439,24,"SH","9"
-18.94900623,35,"SH","9"
-1.777285337,36,"SH","9"
-14.01366712,37,"SH","9"
-0.510773974,38,"SH","9"
-4.285400899,39,"SH","9"
-5.052017078,40,"SH","9"
-5.918805122,3,"SH","9"
-11.89438747,4,"SH","9"
-4.400876537,5,"SH","9"
-9.87343141,7,"SH","9"
-10.58545267,8,"SH","9"
-7.455762824,9,"SH","9"
-6.994277078,10,"SH","9"
-9.811263876,11,"SH","9"
-13.74783649,12,"SH","9"
-6.08913444,14,"SH","9"
-9.781654951,15,"SH","9"
-4.043904979,16,"SH","9"
-13.36608958,17,"SH","9"
-13.21515193,18,"SH","9"
-14.77178212,19,"SH","9"
-5.14185325,20,"SH","9"
-15.85047617,21,"SH","9"
-8.802870164,22,"SH","9"
-5.359488872,23,"SH","9"
-11.15415337,26,"SH","9"
-13.39353494,27,"SH","9"
-17.06519705,28,"SH","9"
-2.285229446,29,"SH","9"
-16.22267874,30,"SH","9"
-8.44078961,32,"SH","9"
-4.652934898,33,"SH","9"
-6.008674446,34,"SH","9"
-0.157831323,1,"EH","9"
-5.133290737,2,"EH","9"
-0.124364712,13,"EH","9"
-13.76691022,24,"EH","9"
-16.80975703,35,"EH","9"
-13.16529348,36,"EH","9"
-1.917059236,38,"EH","9"
-4.11592418,39,"EH","9"
-14.19733958,40,"EH","9"
-0.11602282,3,"EH","9"
-6.437810286,4,"EH","9"
-16.76024469,5,"EH","9"
-10.11937434,6,"EH","9"
-13.86771395,7,"EH","9"
-0.235201279,8,"EH","9"
-4.52926671,9,"EH","9"
-8.513701729,10,"EH","9"
-12.39137499,11,"EH","9"
-9.108094461,12,"EH","9"
-6.891934583,14,"EH","9"
-4.677230824,15,"EH","9"
-1.802377656,16,"EH","9"
-2.839719977,17,"EH","9"
-2.187059576,18,"EH","9"
-13.42939855,19,"EH","9"
-3.05402207,20,"EH","9"
-4.727518836,22,"EH","9"
-11.87358951,23,"EH","9"
-4.080152766,25,"EH","9"
-15.23737057,26,"EH","9"
-13.96152017,27,"EH","9"
-3.399039843,28,"EH","9"
-3.782835807,29,"EH","9"
-4.713671513,30,"EH","9"
-1.892965839,31,"EH","9"
-1.333692216,32,"EH","9"
-4.124345625,33,"EH","9"
-2.120527891,34,"EH","9"
-1.51446550551672,1,"RH","10"
-11.8379521196689,2,"RH","10"
-14.0910622213371,24,"RH","10"
-0.315091782480451,36,"RH","10"
-5.69779336291981,37,"RH","10"
-7.90632086560196,38,"RH","10"
-5.26699986454815,40,"RH","10"
-4.94161833333342,3,"RH","10"
-4.00757503738919,5,"RH","10"
-15.942454362206,7,"RH","10"
