"PP","Start.Date","Prior","Prior_cons","Post","Post_cons","GE_Worry","GE_PolSupport","GE_Intention","Justification","ManCheck1","ManCheck2","ManCheck3","ManCheckBP1","ManCheckBP2","ManCheckBP3","BE_useful","BE_apply","ME_fair","ME_biased","ME_trust","ME_accur","ME_wholeStory","ME_factual","ME_factOpinion","OMC1","OMC2","OMC3","OMC4","OMC5","AC","OMC6","TrustScientists","Perc_knowledge","Topic_importance","Pol_affil","Pol_ideo","Nationality","Relig","Nat_heur","Age","Gender_MC","Gender_text","Education","Condition","PP_DS","PPcons_DS","Prior_c","OMCscore","BEscore","MEscore","Pol_affil_n","Pol_ideo_n","Pol_orient","ReadTimeInf","ReadTime_Mes","PracticeClaim1","PracticeClaim2","PracticeClaim3","countPT","countMCBP","MCComb","Consensus_mention_auto","countMC_auto"
"1","14-10-19 07:10",32,36,-41,37,4,5,4,"I look at it this way: Bananas trees can die from a fungus and as a result, not produce any fruit for consumption. At least with adding a disease-resistant strain, the bananas have a chance to mature and become edible. More research needs to be done, but genetically engineered foods can help the plants to survive","Research","Experimentation","Data","","","",NA,NA,2,4,3,4,6,4,4,6,1,6,2,6,2,1,5,2,7,"Democrat","Moderate","United States of America","Yes",6,NA,NA,NA,"Secondary school / GCSE","Control",-73,1,-18.7965179542982,2.33333333333333,NA,3.85714285714286,-1.14191824257574,0,-1.14191824257574,14.857,163.193,"No","No","No",2,NA,"Research Experimentation Data","n",0
"2","14-10-19 07:26",95,34,80,4,6,6,7,"Food  should  not  be tampered with really unless you grow it yourself you do not know what is being done to your food","facts","probablity","research","","","",NA,NA,4,5,4,5,5,4,4,6,2,5,3,4,2,4,4,4,5,"Democrat","Moderate","United States of America","Yes",6,NA,NA,NA,"Undergraduate degree (BA/BSc/other)","Consensus",-15,-30,44.2034820457018,1,NA,4.42857142857143,-1.14191824257574,0,-1.14191824257574,10.41,63.443,"Yes","No","Yes",2,NA,"facts probablity research","n",0
"3","14-10-19 07:29",32,60,-21,91,4,4,4,"After reading the news article about how the genetically modified bananas are created to resist disease, my opinion has slightly changed regarding GMO food. I feel that after more research expanding further on genetically engineered food, I will have a more accurate depiction of what it entails.","examine the source","look at the general scientific consensus","do my own research","Vitamin supplements are good for your heart","It starts with a question - Evidence is gathered - A consensus develops - Evaluate a claim","The evidence is continuously discussed by scientists with the relevant expertise.",7,7,1,1,2,2,2,2,1,7,2,7,1,7,2,1,6,5,6,"Independent","Liberal","United States of America","No",6,NA,NA,NA,"College / A levels","BoostPlus",-53,31,-18.7965179542982,2.83333333333333,7,1.57142857142857,0,-0.923237611897546,-0.923237611897546,35.042,39.362,"No","Yes","No",1,3,"examine the source look at the general scientific consensus do my own research","y",2
"4","14-10-19 07:27",40,25,0,92,5,4,4,"Although scientists don't think that it is worse for health, I still do not personally trust a lot of GE foods because of changes in health that I have seen.","source","how many agree","personal experiences","Vitamin supplements are good for your heart","It starts with a question - Evidence is gathered - A consensus develops - Evaluate a claim","The evidence is continuously discussed by scientists with the relevant expertise.",7,7,2,2,3,3,4,3,3,6,2,6,4,6,2,3,4,4,5,"Independent","Moderate","United States of America","No",7,NA,NA,NA,"College / A levels","BoostPlus",-40,67,-10.7965179542982,1.5,7,2.85714285714286,0,0,0,140.316,96.78,"No","No","Yes",3,3,"source how many agree personal experiences","y",2
"5","14-10-19 07:33",46,82,-15,92,2,5,4,"After reading the article, I thought about it and I don't believe anyone has died from GE food. ","Evidence","Truth","Bias","","","",NA,NA,5,3,3,3,3,4,3,3,4,4,3,4,2,5,4,5,3,"Republican","Moderate","United States of America","No",5,NA,NA,NA,"College / A levels","Consensus",-61,10,-4.79651795429815,-0.166666666666667,NA,3.42857142857143,1.14191824257574,0,1.14191824257574,14,117.072,"No","Yes","Yes",2,NA,"Evidence Truth Bias","n",0
"6","14-10-19 07:35",64,52,27,86,4,3,3,"I think there is merit in developing strains that can help fight off fungus that could destroy a valuable crop.","shows data","demonstrates testing","evaluates testing","","","",NA,NA,2,3,3,4,3,3,3,5,2,5,2,5,2,3,4,2,3,"Republican","Conservative","United States of America","Yes",6,NA,NA,NA,"Graduate degree (MA/MSc/MPhil/other)","Control",-37,34,13.2034820457018,1.33333333333333,NA,3,1.14191824257574,0.923237611897546,2.06515585447329,9.438,54.675,"No","Yes","Yes",2,NA,"shows data demonstrates testing evaluates testing","n",0
"7","14-10-19 07:29",100,30,0,61,5,3,5,"Based on the article, it seems that genetically modifying food can also have benefits, and the scientists experimenting with the modification seem to be treating it as a normal procedure that will produce favorable results and edible food. However, this is just one example that happens to be positive. I believe there are other examples of genetic modification in food that might be negative. Overall, since I'm pretty much ignorant of the science, I don't know either way.","First I check to see if the claim checks out considering what I know about the subject.","Secondly, I check the source. Since most of the examples in this survey were based on a random person's assertion, and not on any kind of hard statistical evidence, I could not tell if they were true.","","","","",NA,NA,6,4,5,5,3,7,4,6,2,7,3,5,2,1,5,1,4,"Strong Democrat","Liberal","United States of America","No",4,NA,NA,NA,"Undergraduate degree (BA/BSc/other)","Control",-100,31,49.2034820457018,2,NA,4.85714285714286,-1.71287736386361,-0.923237611897546,-2.63611497576116,16.097,111.054,"No","No","No",2,NA,"First I check to see if the claim checks out considering what I know about the subject. Secondly, I check the source. Since most of the examples in this survey were based on a random person's assertion, and not on any kind of hard statistical evidence, I could not tell if they were true. ","n",1
"8","14-10-19 07:29",90,90,90,10,7,2,3,"There are many different levels and layers to GE food.  A blanket statement about them all does not allow for an in-depth discussion about them all.  There is good GE food:  that has been tested on more then just the molecular level and hypothesis. There is bad GE food: that has not not been thoroughly tested.  With a broad statement, I wanted to lean more towards the cautionary side.   ","I use general knowledge and past experiences","Research from an accredited source","Look to see where the gain / profit / money is behind the claim and who would benefit.","","","",NA,NA,3,6,4,3,6,4,2,7,5,6,2,6,2,4,4,4,5,"Independent Lean Democrat","Moderate","United States of America","Yes",5,NA,NA,NA,"Undergraduate degree (BA/BSc/other)","Consensus",0,-80,39.2034820457018,1.33333333333333,NA,4,-0.570959121287871,0,-0.570959121287871,10.281,60.821,"No","No","No",2,NA,"I use general knowledge and past experiences Research from an accredited source Look to see where the gain / profit / money is behind the claim and who would benefit.","n",1
"10","14-10-19 07:48",45,19,45,91,5,5,5,"I think non-ge food is better","read claim","rely on gut instinct to evaluate","","","","",NA,NA,4,4,4,4,4,4,4,6,1,5,6,5,2,1,5,4,3,"Republican","Conservative","United States of America","Yes",7,NA,NA,NA,"Doctorate degree (PhD/MD/other)","Consensus",0,72,-5.79651795429815,1.33333333333333,NA,4,1.14191824257574,0.923237611897546,2.06515585447329,5.461,36.848,"No","No","No",2,NA,"read claim rely on gut instinct to evaluate ","n",0
"11","14-10-19 07:49",75,55,73,15,7,6,6,"I believe that genetically engineered food is not normal and we cannot guarantee what they are using to make the genetic food.","Research","Facts","","","","",NA,NA,3,3,3,4,4,3,4,7,1,5,1,6,2,1,4,4,6,"Democrat","Liberal","United States of America","Yes",7,NA,NA,NA,"Undergraduate degree (BA/BSc/other)","Control",-2,-40,24.2034820457018,2.5,NA,3.42857142857143,-1.14191824257574,-0.923237611897546,-2.06515585447329,105.834,23.223,"No","No","No",2,NA,"Research Facts ","n",0
"12","14-10-19 07:51",20,91,20,91,6,2,1,"I think GE itself is a completely neutral concept, and I don't think it's necessarily any different then non GE food. But as for how it's put into practice by the companies growing it, most if it might actually be safe too, but I generally feel cautious about them putting profit over safety, or changing things genetically to make things look or taste better but actually be worse for your health if it's cheaper to do so. ","look for claim being made","see if the reference is legitimate","look up claim to fact check","","","",NA,NA,3,4,3,3,4,3,5,6,2,6,5,6,2,5,6,5,4,"Independent","Very liberal","United States of America","No",2,NA,NA,NA,"Secondary school / GCSE","Control",0,0,-30.7965179542982,1,NA,3.57142857142857,0,-1.84647522379509,-1.84647522379509,11.343,79.499,"No","No","Yes",3,NA,"look for claim being made see if the reference is legitimate look up claim to fact check","n",0
